query,pv,l2,u_ds,p_ds,own_intent,own_leaf,bucket
傻子,593.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
开学季的唯美句子,593.0,K12,U08,0,生成或改写文本,短句文案查询,O 其他
搓手跺脚打一准确生肖,593.0,K12,U09,0,命理解梦与占卜,命理测算与运势查询,K 生肖谜语碎片
热量,593.0,K12,U02,0,残缺或不可独立解释输入,医疗症状原因与处理建议查询,N 其余1–2字碎片(疑似语音截断/未打完)
背影,590.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
词语,590.0,K12,U02,0,残缺或不可独立解释输入,查询字词翻译与语言知识,N 其余1–2字碎片(疑似语音截断/未打完)
只写答案,588.0,K12,U11,0,修改上一轮输出,直接给出答案,C 作答/解题跟进(题目不在文本中)
怎么念,586.0,K12,U13,0,解释含义或识别指称,查询字词翻译与语言知识,E 字词/诗文工具短指令(无对象)
请,586.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
400字,585.0,K12,U13,0,残缺或不可独立解释输入,文本字数查询与控制,F 字数短答/字数询问
这个多少字？,581.0,K12,U13,0,修改上一轮输出,文本字数查询与控制,F 字数短答/字数询问
红岩手抄报,578.0,K12,U09,0,残缺或不可独立解释输入,生成与修改作文类文本,O 其他
秋雨的绝美佳句,577.0,K12,U08,0,生成或改写文本,短句文案查询,O 其他
下,576.0,K12,U13,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
回答,576.0,K12,U13,0,修改上一轮输出,直接给出答案,C 作答/解题跟进(题目不在文本中)
太少了,575.0,K12,U11,0,修改上一轮输出,文本缩短请求,O 其他
换个风格重写这篇作文,574.0,K12,U10,0,修改上一轮输出,生成与修改作文类文本,O 其他
这个谜语还有其他解法吗,570.0,K12,U11,0,修改上一轮输出,直接给出答案,O 其他
5,567.0,K12,U13,0,残缺或不可独立解释输入,查询数字对应信息,G 选项数字/年级短答
列算式,567.0,K12,U13,0,残缺或不可独立解释输入,直接给出答案,C 作答/解题跟进(题目不在文本中)
想,567.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
换一篇,566.0,K12,U11,0,修改上一轮输出,继续或重新生成内容,O 其他
婚姻,565.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
躺下,564.0,K12,U13,0,残缺或不可独立解释输入,查询双腿张开姿势,J 图像编辑/绘图指令碎片
这篇作文有多少字？,564.0,K12,U13,0,生成或改写文本,文本字数查询与控制,F 字数短答/字数询问
<div>修改病句<br/>通过阅读《读不完的大书》，让我爱上了大自然。</div>,561.0,K12,U10,0,生成或改写文本,生成与修改作文类文本,O 其他
沁园春雪,560.0,K12,U02,0,解释含义或识别指称,短词查询,O 其他
红星照耀中国读后感600字,558.0,K12,U10,0,生成或改写文本,生成与修改作文类文本,O 其他
能,558.0,K12,U13,0,无内容社交与情绪表达轮,检索极短通用词,N 其余1–2字碎片(疑似语音截断/未打完)
作批注,557.0,K12,U13,0,修改上一轮输出,整理生成表格与总结,E 字词/诗文工具短指令(无对象)
这个字怎么读？,557.0,K12,U13,0,解释含义或识别指称,查询字词翻译与语言知识,D 识图/指代识别(这是谁/这是什么字…)
算了,548.0,K12,U13,0,无内容社交与情绪表达轮,识别日常口语片段并应答,L 是非/拒绝/情绪回应
这个字念什么？,548.0,K12,U13,0,解释含义或识别指称,查询事物或词语的含义与说明,D 识图/指代识别(这是谁/这是什么字…)
打开,546.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
六,545.0,K12,U13,0,残缺或不可独立解释输入,查询数字对应信息,G 选项数字/年级短答
丈母娘看女婿,541.0,K12,U04,0,按线索查找或获取影音书资源,获取露骨色情内容,O 其他
第,540.0,K12,U13,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
吃,538.0,K12,U13,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
什么,537.0,K12,U13,0,残缺或不可独立解释输入,查询事物或词语的含义与说明,N 其余1–2字碎片(疑似语音截断/未打完)
阅读感想,537.0,K12,U13,0,生成或改写文本,生成与修改作文类文本,E 字词/诗文工具短指令(无对象)
初秋的唯美句子,534.0,K12,U08,0,生成或改写文本,短句文案查询,O 其他
换个风格重写这篇读后感,534.0,K12,U10,0,生成或改写文本,生成与修改作文类文本,O 其他
和,532.0,K12,U13,0,残缺或不可独立解释输入,过滤无意义表情符号与乱码输入,N 其余1–2字碎片(疑似语音截断/未打完)
题目,532.0,K12,U13,0,残缺或不可独立解释输入,直接给出答案,C 作答/解题跟进(题目不在文本中)
女,524.0,K12,U13,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
润色,524.0,K12,U01,0,工具面板单步操作指令,图片视频修改生成,N 其余1–2字碎片(疑似语音截断/未打完)
转身,523.0,K12,U02,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
新老,522.0,K12,U13,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
简单一点,521.0,K12,U11,0,修改上一轮输出,文本缩短请求,O 其他
我想对作文《《红星照耀中国》读后感》进行个性化编辑,520.0,K12,U10,0,生成或改写文本,生成与修改作文类文本,O 其他
<div>将下列句子改为感叹句：</div><div>大自然的声音是美妙的。</div>,519.0,K12,U10,0,生成或改写文本,短句文案查询,O 其他
十,519.0,K12,U13,0,残缺或不可独立解释输入,查询数字对应信息,G 选项数字/年级短答
晚一点,519.0,K12,U13,0,无内容社交与情绪表达轮,文本缩短请求,I 改写/缩短/重做指令碎片
再给我出一个类似的生肖谜语,517.0,K12,U11,0,修改上一轮输出,命理测算与运势查询,K 生肖谜语碎片
寓意,517.0,K12,U02,0,解释含义或识别指称,查询字词翻译与语言知识,N 其余1–2字碎片(疑似语音截断/未打完)
感悟,516.0,K12,U02,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
换一个,515.0,K12,U11,0,修改上一轮输出,继续或重新生成内容,O 其他
性感,512.0,K12,U02,0,残缺或不可独立解释输入,生成突出女性胸部的性感图像,N 其余1–2字碎片(疑似语音截断/未打完)
......一......就......造句,509.0,K12,U10,0,无内容社交与情绪表达轮,识别日常口语片段并应答,O 其他
七,509.0,K12,U13,0,残缺或不可独立解释输入,查询数字对应信息,G 选项数字/年级短答
在吗,508.0,K12,U11,0,残缺或不可独立解释输入,确认性问题解答,N 其余1–2字碎片(疑似语音截断/未打完)
红星照耀中国,505.0,K12,U02,0,残缺或不可独立解释输入,查询军事历史与国际政治话题,O 其他
回复,504.0,K12,U13,0,修改上一轮输出,继续或重新生成内容,I 改写/缩短/重做指令碎片
防溺水手抄报,503.0,K12,U09,0,通用操作与生活指南,生成与修改作文类文本,O 其他
简便运算,502.0,K12,U04,0,残缺或不可独立解释输入,文本缩短请求,O 其他
霎组词,502.0,K12,U08,0,残缺或不可独立解释输入,查询字词翻译与语言知识,O 其他
鼓励学子的金句,499.0,K12,U08,0,生成或改写文本,短句文案查询,O 其他
我想对作文《《红岩》读后感》进行个性化编辑,498.0,K12,U10,1,生成或改写文本,生成与修改作文类文本,O 其他
概括,497.0,K12,U13,0,残缺或不可独立解释输入,整理生成表格与总结,H 属性词短答(价格/年龄/地址…)
概括全文和总结全文的区别,497.0,K12,U04,0,解释含义或识别指称,整理生成表格与总结,O 其他
烂若披锦是什么生肖,497.0,K12,U03,0,命理解梦与占卜,命理测算与运势查询,K 生肖谜语碎片
这句话出自哪里,497.0,K12,U13,0,解释含义或识别指称,查询所在位置与归属地,D 识图/指代识别(这是谁/这是什么字…)
带拼音,495.0,K12,U13,0,残缺或不可独立解释输入,查询字词翻译与语言知识,E 字词/诗文工具短指令(无对象)
水,494.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
谢了,494.0,K12,U11,0,无内容社交与情绪表达轮,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
否,493.0,K12,U13,0,核验真伪、传闻与进展,确认性问题解答,L 是非/拒绝/情绪回应
多少字？,491.0,K12,U13,0,修改上一轮输出,文本字数查询与控制,F 字数短答/字数询问
1,490.0,K12,U13,0,残缺或不可独立解释输入,查询短编号、IP地址及专名,G 选项数字/年级短答
这一题,487.0,K12,U13,0,残缺或不可独立解释输入,直接给出答案,C 作答/解题跟进(题目不在文本中)
怎么,486.0,K12,U13,0,残缺或不可独立解释输入,操作与制作方法查询,N 其余1–2字碎片(疑似语音截断/未打完)
少字,485.0,K12,U13,0,修改上一轮输出,文本字数查询与控制,F 字数短答/字数询问
崩组词,482.0,K12,U08,0,解释含义或识别指称,查询字词翻译与语言知识,O 其他
有病,482.0,K12,U02,0,残缺或不可独立解释输入,医疗症状原因与处理建议查询,N 其余1–2字碎片(疑似语音截断/未打完)
简短一点,482.0,K12,U11,0,修改上一轮输出,文本缩短请求,O 其他
文,478.0,K12,U13,0,残缺或不可独立解释输入,文本字数查询与控制,F 字数短答/字数询问
彩虹的唯美句子,476.0,K12,U08,0,生成或改写文本,短句文案查询,O 其他
播放,476.0,K12,U13,0,残缺或不可独立解释输入,免费影视在线观看查询,J 图像编辑/绘图指令碎片
二年级,472.0,K12,U13,0,残缺或不可独立解释输入,短词查询,G 选项数字/年级短答
暑假,471.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
用更简单的词汇重写一遍,471.0,K12,U11,0,修改上一轮输出,文本缩短请求,O 其他
墙组词,470.0,K12,U08,0,解释含义或识别指称,查询字词翻译与语言知识,O 其他
所以,468.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
作者,467.0,K12,U13,0,残缺或不可独立解释输入,短词查询,H 属性词短答(价格/年龄/地址…)
字少一些,466.0,K12,U11,0,修改上一轮输出,文本字数查询与控制,O 其他
高中,466.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
准,463.0,K12,U13,0,残缺或不可独立解释输入,表达同意或确认,L 是非/拒绝/情绪回应
帮我画 红岩手抄报,463.0,K12,U10,0,生成或编辑非敏感图像,按描述生成图片与Logo设计,O 其他
水调歌头,463.0,K12,U02,0,按线索查找或获取影音书资源,歌词歌曲及音乐信息查询,O 其他
猜生肖,462.0,K12,U13,0,命理解梦与占卜,命理测算与运势查询,K 生肖谜语碎片
谢,462.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
高,462.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
品牌,461.0,K12,U13,0,残缺或不可独立解释输入,短词查询,H 属性词短答(价格/年龄/地址…)
小学,459.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
孙宇晨小作文全文,455.0,K12,U09,0,生成或改写文本,查询孙宇晨与景甜关系及风波,O 其他
丰乳肥臀,454.0,K12,U02,0,索取或生成成人、色情或暴力内容,胸部变大处理,O 其他
哪里,454.0,K12,U13,0,残缺或不可独立解释输入,查询所在位置与归属地,D 识图/指代识别(这是谁/这是什么字…)
两所学校哪个升学率更高,453.0,K12,U13,0,枚举清单或建议推荐,查询学校和教育信息,O 其他
壮组词,451.0,K12,U08,0,枚举清单或建议推荐,查询字词翻译与语言知识,O 其他
补充,451.0,K12,U11,0,残缺或不可独立解释输入,继续或重新生成内容,N 其余1–2字碎片(疑似语音截断/未打完)
简短,450.0,K12,U11,0,修改上一轮输出,文本缩短请求,N 其余1–2字碎片(疑似语音截断/未打完)
啥意思？,449.0,K12,U13,0,解释含义或识别指称,查询事物或词语的含义与说明,E 字词/诗文工具短指令(无对象)
填空,448.0,K12,U13,0,修改上一轮输出,直接给出答案,C 作答/解题跟进(题目不在文本中)
帮我组词,448.0,K12,U10,0,生成或改写文本,归集含“我”字杂项查询,O 其他
这首诗的全文是什么,448.0,K12,U13,0,解释含义或识别指称,查询背景音乐歌名,D 识图/指代识别(这是谁/这是什么字…)
晚上,445.0,K12,U13,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
读书名言名句,445.0,K12,U08,0,生成或改写文本,短句文案查询,O 其他
聊天,444.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
四字词语,443.0,K12,U02,0,生成或改写文本,文本字数查询与控制,O 其他
写作文,442.0,K12,U10,0,生成或改写文本,生成与修改作文类文本,O 其他
缩小,442.0,K12,U13,0,修改上一轮输出,文本缩短请求,I 改写/缩短/重做指令碎片
帮我画 教师节手抄报,441.0,K12,U10,0,生成或编辑非敏感图像,按描述生成图片与Logo设计,O 其他
简爱读后感600字,438.0,K12,U10,0,生成或改写文本,生成与修改作文类文本,O 其他
型号,437.0,K12,U13,0,残缺或不可独立解释输入,品牌型号性价比与口碑比较推荐,H 属性词短答(价格/年龄/地址…)
解释,437.0,K12,U13,0,残缺或不可独立解释输入,查询字词翻译与语言知识,E 字词/诗文工具短指令(无对象)
单选,433.0,K12,U13,0,残缺或不可独立解释输入,文本缩短请求,N 其余1–2字碎片(疑似语音截断/未打完)
小英雄雨来读后感,432.0,K12,U09,0,生成或改写文本,生成与修改作文类文本,O 其他
这是多少字？,432.0,K12,U13,0,解释含义或识别指称,文本字数查询与控制,F 字数短答/字数询问
猜成语,431.0,K12,U01,0,生成或改写文本,查询字词翻译与语言知识,O 其他
表达对人心寒失望的句子,431.0,K12,U09,0,生成或改写文本,短句文案查询,O 其他
亮,430.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
会,430.0,K12,U13,0,残缺或不可独立解释输入,检索极短通用词,N 其余1–2字碎片(疑似语音截断/未打完)
弯腰,428.0,K12,U02,0,索取或生成成人、色情或暴力内容,查询双腿张开姿势,N 其余1–2字碎片(疑似语音截断/未打完)
猜一生肖,427.0,K12,U07,0,命理解梦与占卜,命理测算与运势查询,K 生肖谜语碎片
五,426.0,K12,U02,0,残缺或不可独立解释输入,查询数字对应信息,G 选项数字/年级短答
怎么拼,426.0,K12,U13,0,通用操作与生活指南,操作与制作方法查询,E 字词/诗文工具短指令(无对象)
暑假趣事作文,426.0,K12,U09,0,生成或改写文本,生成与修改作文类文本,O 其他
站立,426.0,K12,U02,0,残缺或不可独立解释输入,查询双腿张开姿势,N 其余1–2字碎片(疑似语音截断/未打完)
二年级下册成长手册家长寄语,425.0,K12,U10,0,生成或改写文本,家长感谢老师话术查询,O 其他
字,423.0,K12,U02,0,残缺或不可独立解释输入,文本字数查询与控制,N 其余1–2字碎片(疑似语音截断/未打完)
数学,423.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
潦草塞责打一生肖,423.0,K12,U09,0,命理解梦与占卜,命理测算与运势查询,K 生肖谜语碎片
简便点,423.0,K12,U11,0,修改上一轮输出,文本缩短请求,O 其他
删除,422.0,K12,U11,0,工具面板单步操作指令,去除图片文字与图标,N 其余1–2字碎片(疑似语音截断/未打完)
名人名言――短句,421.0,K12,U08,0,生成或改写文本,短句文案查询,O 其他
短一点,421.0,K12,U11,0,修改上一轮输出,文本缩短请求,O 其他
翻译,419.0,K12,U01,0,修改上一轮输出,查询字词翻译与语言知识,E 字词/诗文工具短指令(无对象)
跪下,419.0,K12,U13,0,残缺或不可独立解释输入,查询双腿张开姿势,J 图像编辑/绘图指令碎片
价位多少,418.0,K12,U13,0,价格或费用查询,查询价格费用,H 属性词短答(价格/年龄/地址…)
学费多少,417.0,K12,U13,0,价格或费用查询,查询价格费用,H 属性词短答(价格/年龄/地址…)
家长寄语三年级简短,417.0,K12,U10,0,生成或改写文本,家长感谢老师话术查询,O 其他
八月收尾的唯美句子,416.0,K12,U08,0,生成或改写文本,短句文案查询,O 其他
我想对作文《我的心爱之物》进行个性化编辑,416.0,K12,U10,0,生成或改写文本,生成与修改作文类文本,O 其他
初一水平,414.0,K12,U13,0,数值事实与年度政策查询,查询学校和教育信息,G 选项数字/年级短答
复制,412.0,K12,U11,0,残缺或不可独立解释输入,整理生成表格与总结,N 其余1–2字碎片(疑似语音截断/未打完)
时间,412.0,K12,U03,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
80词,411.0,K12,U13,0,残缺或不可独立解释输入,查询数字对应信息,E 字词/诗文工具短指令(无对象)
两个,411.0,K12,U13,0,残缺或不可独立解释输入,短词查询,H 属性词短答(价格/年龄/地址…)
中文意思,411.0,K12,U13,0,解释含义或识别指称,查询字词翻译与语言知识,E 字词/诗文工具短指令(无对象)
给,411.0,K12,U13,0,残缺或不可独立解释输入,检索极短通用词,N 其余1–2字碎片(疑似语音截断/未打完)
返回,411.0,K12,U11,0,残缺或不可独立解释输入,继续或重新生成内容,N 其余1–2字碎片(疑似语音截断/未打完)
少一点,410.0,K12,U11,0,修改上一轮输出,文本缩短请求,O 其他
再简化一下,408.0,K12,U11,0,修改上一轮输出,文本缩短请求,O 其他
岳阳楼记全文,406.0,K12,U09,0,按线索查找或获取影音书资源,生成与修改作文类文本,O 其他
把,406.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
抓捕,406.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
请段续写,405.0,K12,U10,0,修改上一轮输出,继续或重新生成内容,O 其他
多,404.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
也不对,403.0,K12,U11,0,残缺或不可独立解释输入,确认性问题解答,O 其他
帮我续写,403.0,K12,U10,0,修改上一轮输出,继续或重新生成内容,O 其他
招组词,402.0,K12,U08,0,生成或改写文本,查询字词翻译与语言知识,O 其他
从,401.0,K12,U13,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
白色三点式,401.0,K12,U02,0,解释含义或识别指称,性感内衣丝袜查询与生成,O 其他
综合算式,401.0,K12,U02,0,解释含义或识别指称,直接给出答案,C 作答/解题跟进(题目不在文本中)
最喜欢妈妈,399.0,K12,U13,0,残缺或不可独立解释输入,获取露骨色情内容,O 其他
稻草人的好词好句,398.0,K12,U09,0,生成或改写文本,短句文案查询,O 其他
耶,398.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
把句子改得更有诗意些,396.0,K12,U11,0,修改上一轮输出,生成与修改作文类文本,O 其他
教程,396.0,K12,U13,0,残缺或不可独立解释输入,整理生成表格与总结,H 属性词短答(价格/年龄/地址…)
鞭组词,396.0,K12,U08,0,解释含义或识别指称,查询字词翻译与语言知识,O 其他
列式计算,394.0,K12,U13,0,解释含义或识别指称,直接给出答案,C 作答/解题跟进(题目不在文本中)
简爱手抄报,394.0,K12,U09,0,按线索查找或获取影音书资源,文本缩短请求,O 其他
120字,393.0,K12,U13,0,生成或改写文本,文本字数查询与控制,F 字数短答/字数询问
跟读,393.0,K12,U01,0,残缺或不可独立解释输入,整理生成表格与总结,N 其余1–2字碎片(疑似语音截断/未打完)
余组词,392.0,K12,U08,0,残缺或不可独立解释输入,查询字词翻译与语言知识,O 其他
答,392.0,K12,U13,0,残缺或不可独立解释输入,直接给出答案,C 作答/解题跟进(题目不在文本中)
天,391.0,K12,U13,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
句子,390.0,K12,U02,0,修改上一轮输出,短句文案查询,N 其余1–2字碎片(疑似语音截断/未打完)
形容女人有气质,390.0,K12,U08,0,生成或改写文本,短句文案查询,O 其他
六年级,388.0,K12,U13,0,残缺或不可独立解释输入,短词查询,G 选项数字/年级短答
写后续,388.0,K12,U13,0,修改上一轮输出,继续或重新生成内容,E 字词/诗文工具短指令(无对象)
坐下,388.0,K12,U13,0,残缺或不可独立解释输入,查询双腿张开姿势,J 图像编辑/绘图指令碎片
将进酒,388.0,K12,U02,0,按线索查找或获取影音书资源,杂项查询意图识别,O 其他
男,387.0,K12,U13,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
这首诗表达了诗人怎样的情感,387.0,K12,U13,0,生成或改写文本,生成与修改作文类文本,E 字词/诗文工具短指令(无对象)
再简化一点,386.0,K12,U11,0,修改上一轮输出,文本缩短请求,O 其他
跳舞,386.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
800字,385.0,K12,U13,0,生成或改写文本,文本字数查询与控制,F 字数短答/字数询问
扬组词,385.0,K12,U08,0,生成或改写文本,查询字词翻译与语言知识,O 其他
直接报答案,385.0,K12,U11,0,修改上一轮输出,直接给出答案,C 作答/解题跟进(题目不在文本中)
答案。,385.0,K12,U13,0,残缺或不可独立解释输入,直接给出答案,C 作答/解题跟进(题目不在文本中)
请帮我从诗歌原文、诗句分析、诗歌主旨、作者介绍及创作背景等角度来详细讲讲《沁园春·雪》这首诗。,384.0,K12,U04,0,生成或改写文本,生成与修改作文类文本,O 其他
术士,383.0,K12,U02,0,残缺或不可独立解释输入,玄幻同人设定创作与剧情讨论查询,N 其余1–2字碎片(疑似语音截断/未打完)
二年级下册家长寄语怎么写,382.0,K12,U06,0,生成或改写文本,家长感谢老师话术查询,O 其他
红星照耀中国思维导图,382.0,K12,U09,0,按线索查找或获取影音书资源,地图全图查看,O 其他
雨天的唯美句子,382.0,K12,U08,0,生成或改写文本,短句文案查询,O 其他
来源,379.0,K12,U13,0,残缺或不可独立解释输入,短词查询,H 属性词短答(价格/年龄/地址…)
用三年级的方法,379.0,K12,U13,0,生成或改写文本,整理生成表格与总结,C 作答/解题跟进(题目不在文本中)
劳师袭远是什么生肖,378.0,K12,U09,0,核查人物或机构背景,命理测算与运势查询,K 生肖谜语碎片
堤组词,377.0,K12,U08,0,生成或改写文本,查询字词翻译与语言知识,O 其他
"有38根小棒,两人轮流拿,每次只能拿2根",375.0,K12,U13,0,残缺或不可独立解释输入,识别并处理零散口语与叙事片段,O 其他
议论文,374.0,K12,U02,0,生成或改写文本,生成与修改作文类文本,O 其他
切,373.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
读书名言,373.0,K12,U08,0,生成或改写文本,短句文案查询,O 其他
这个多少字,373.0,K12,U13,0,修改上一轮输出,文本字数查询与控制,F 字数短答/字数询问
五个字,372.0,K12,U13,0,生成或改写文本,文本字数查询与控制,F 字数短答/字数询问
到,372.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
放大,372.0,K12,U13,0,残缺或不可独立解释输入,胸部变大处理,J 图像编辑/绘图指令碎片
彩色,371.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
爱的教育读后感,371.0,K12,U10,0,生成或改写文本,生成与修改作文类文本,O 其他
字多一点,370.0,K12,U11,0,修改上一轮输出,文本字数查询与控制,O 其他
指什么生肖,370.0,K12,U13,0,解释含义或识别指称,命理测算与运势查询,K 生肖谜语碎片
抓捕抓捕,369.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,O 其他
再写,368.0,K12,U11,0,修改上一轮输出,继续或重新生成内容,N 其余1–2字碎片(疑似语音截断/未打完)
怎么组词？,368.0,K12,U06,0,生成或改写文本,查询字词翻译与语言知识,O 其他
露腰,367.0,K12,U02,0,索取或生成成人、色情或暴力内容,查询双腿张开姿势,N 其余1–2字碎片(疑似语音截断/未打完)
以“梦想的力量”为题，帮我写一篇作文,366.0,K12,U10,0,生成或改写文本,生成与修改作文类文本,O 其他
思沁复读学校收费标准,366.0,K12,U03,0,价格或费用查询,查询学校和教育信息,O 其他
感谢,365.0,K12,U11,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
点,365.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
我想对作文《《童年》读后感》进行个性化编辑,364.0,K12,U10,1,生成或改写文本,生成与修改作文类文本,O 其他
更短,364.0,K12,U11,0,修改上一轮输出,文本缩短请求,N 其余1–2字碎片(疑似语音截断/未打完)
稍组词,364.0,K12,U08,0,修改上一轮输出,查询字词翻译与语言知识,O 其他
红岩的读后感,364.0,K12,U09,0,生成或改写文本,生成与修改作文类文本,O 其他
能再给我几个生肖谜语吗,364.0,K12,U08,0,枚举清单或建议推荐,命理测算与运势查询,K 生肖谜语碎片
帮我画 八上手抄报,363.0,K12,U10,0,生成或编辑非敏感图像,按描述生成图片与Logo设计,O 其他
形容女人气质优雅漂亮的句子,363.0,K12,U08,0,生成或改写文本,短句文案查询,O 其他
批改作业,363.0,K12,U01,0,残缺或不可独立解释输入,整理生成表格与总结,O 其他
期中学习上百度,362.0,K12,U13,0,前往官方入口或话题聚合页,查询百度及百度AI入口,O 其他
露才扬己的生肖,362.0,K12,U09,0,命理解梦与占卜,命理测算与运势查询,K 生肖谜语碎片
继续往下写,361.0,K12,U10,0,修改上一轮输出,继续或重新生成内容,O 其他
代表什么生肖,360.0,K12,U13,0,命理解梦与占卜,命理测算与运势查询,K 生肖谜语碎片
老板,360.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
《我眼中的妈妈》,359.0,K12,U02,0,按线索查找或获取影音书资源,归集含“我”字杂项查询,O 其他
10个字,357.0,K12,U13,0,生成或改写文本,文本字数查询与控制,F 字数短答/字数询问
（继续）,357.0,K12,U11,0,残缺或不可独立解释输入,继续当前任务,O 其他
嵩山少林寺文武学校招生简章,356.0,K12,U09,0,枚举清单或建议推荐,查询学校和教育信息,O 其他
童年的好词好句,356.0,K12,U08,0,生成或改写文本,短句文案查询,O 其他
举个例子,355.0,K12,U11,0,残缺或不可独立解释输入,整理生成表格与总结,O 其他
尺寸,355.0,K12,U02,0,残缺或不可独立解释输入,短词查询,N 其余1–2字碎片(疑似语音截断/未打完)
烟锁池塘柳对联,355.0,K12,U09,0,生成或改写文本,传统文化与收藏信息查询及古风内容生成,O 其他
谐音,355.0,K12,U02,0,残缺或不可独立解释输入,查询字词翻译与语言知识,N 其余1–2字碎片(疑似语音截断/未打完)
关闭,354.0,K12,U13,0,残缺或不可独立解释输入,去除图片文字与图标,J 图像编辑/绘图指令碎片
理解,354.0,K12,U02,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
这首诗表达了什么情感,354.0,K12,U04,0,解释含义或识别指称,生成与修改作文类文本,E 字词/诗文工具短指令(无对象)
随组词,354.0,K12,U08,0,生成或改写文本,查询字词翻译与语言知识,O 其他
用法,353.0,K12,U13,0,残缺或不可独立解释输入,整理生成表格与总结,H 属性词短答(价格/年龄/地址…)
还行,353.0,K12,U13,0,无内容社交与情绪表达轮,表达同意或确认,L 是非/拒绝/情绪回应
150字,352.0,K12,U11,0,生成或改写文本,文本字数查询与控制,F 字数短答/字数询问
到了,350.0,K12,U13,0,残缺或不可独立解释输入,识别日常口语片段并应答,N 其余1–2字碎片(疑似语音截断/未打完)
