sid,query,kind
n00651,我想了解通宣理肺丸,new
n00652,我想了解通窍鼻炎片,new
n00653,我想了解速效救心丸,new
n00654,我想了解酒精性肝病,new
n00655,我想了解酮康唑乳膏,new
n00656,我想了解酮康唑洗剂,new
n00657,我想了解酮洛芬凝胶,new
n00658,我想了解酮症酸中毒,new
n00659,我想了解醛固酮增多症,new
n00660,我想了解重症肌无力,new
n00661,我想了解重组人表皮生长因子凝胶,new
n00662,我想了解金匮肾气丸,new
n00663,我想了解金锁固精丸,new
n00664,我想了解金黄色葡萄球菌,new
n00665,我想了解铝碳酸镁咀嚼片,new
n00666,我想了解银翘解毒片,new
n00667,我想了解间质性肺病,new
n00668,我想了解间质性膀胱炎,new
n00669,我想了解阿尔茨海默病,new
n00670,我想了解阿昔洛韦乳膏,new
n00671,我想了解阿莫西林克拉维酸钾,new
n00672,我想了解阿莫西林胶囊,new
n00673,我想了解阿达帕林凝胶,new
n00674,我想了解附子理中丸,new
n00675,我想了解雄激素性脱发,new
n00676,我想了解霉菌性阴道炎,new
n00677,我想了解非淋菌性尿道炎,new
n00678,我想了解颈动脉斑块,new
n00679,我想了解颈复康颗粒,new
n00680,我想了解颞下颌关节紊乱,new
n00681,我想了解风寒感冒颗粒,new
n00682,我想了解食管裂孔疝,new
n00683,我想了解香砂六君丸,new
n00684,我想了解香砂六君子丸,new
n00685,我想了解香砂养胃丸,new
n00686,我想了解马尾综合征,new
n00687,我想了解马应龙麝香痔疮膏,new
n00688,我想了解马拉色菌毛囊炎,new
n00689,我想了解马来酸氯苯那敏,new
n00690,我想了解骨髓增生异常综合征,new
n00691,我想了解髋关节滑膜炎,new
n00692,我想了解高同型半胱氨酸血症,new
n00693,我想了解高泌乳素血症,new
n00694,我想了解鱼石脂软膏,new
n00695,我想了解鳞状细胞癌,new
n00696,我想了解麝香壮骨膏,new
n00697,我想了解麦味地黄丸,new
n00698,我想了解麻仁润肠丸,new
n00699,我想了解黄体功能不足,new
n00700,我想了解黄体酮胶囊,new
n00701,我想了解黏液腺囊肿,new
n00702,我想了解鼻中隔偏曲,new
n00703,我想了解鼻后滴漏综合征,new
n00704,我想了解鼻渊通窍颗粒,new
n00705,我想了解龙胆泻肝丸,new
n00706,我想购买在线咨询服务,new
n00707,手术治疗，药物治疗,new
n00708,手脚心发热心里烦躁,new
n00709,抑酸药（如奥美拉唑）,new
n00710,抗甲状腺过氧化物酶抗体高说明什么,new
n00711,护眼灯是不是智商税,new
n00712,报告出现什么结果需要去医院复诊,new
n00713,报告解读，明确病因,new
n00714,报告解读，明确病因，治疗方案,new
n00715,报告解读，治疗方案,new
n00716,担心别人传染给自己,new
n00717,持续呕吐伴精神萎靡,new
n00718,持续情绪低落、特别焦虑，或记忆力明显变差,new
n00719,按需服用（性生活前）,new
n00720,换季咳嗽是感冒还是过敏,new
n00721,换眼角膜的费用大概多少,new
n00722,排便情况、精神状态和脱水表现,new
n00723,"控制良好,规律服用",new
n00724,提前几天模拟开学作息,new
n00725,无痛人流预约留手机号,new
n00726,早上时间紧，给孩子做什么早餐又快又营养,new
n00727,明确病因，咨询药物,new
n00728,明确病因，治疗方案,new
n00729,明确病因，治疗方案，咨询药物,new
n00730,晚上熬夜学习饿了吃什么不长胖,new
n00731,晚上睡觉容易醒或多梦,new
n00732,曲昔派特胶囊副作用大,new
n00733,更准确地评估屈光状态,new
n00734,最近经常熬夜，睡眠不足,new
n00735,月经总是不规律该看什么方向,new
n00736,有且连左肩左臂一起不舒服,new
n00737,有慢性胃炎或幽门螺杆菌感染,new
n00738,"有慢性胃炎或幽门螺杆菌感染,已绝经",new
n00739,"有慢性胃炎或幽门螺杆菌感染,每天久坐超过8小时，且很少运动",new
n00740,有耳垂和没耳垂的区别,new
n00741,有胸闷胸痛且休息后缓解,new
n00742,有高血压糖尿病等慢病,new
n00743,有高血压糖尿病等慢病，正在服用其他治疗药物,new
n00744,未使用任何避孕措施,new
n00745,"未发烧,38度以下",new
n00746,"未发烧,未发烧,38度以下",new
n00747,"未发烧,未发烧,未发烧",new
n00748,杭州市萧山区第一人民医院 副主任医师 汤坚梅医生,new
n00749,柚子有什么功效与作用,new
n00750,植物神经紊乱风险自测,new
n00751,正在服其他药或保健品,new
n00752,正在服用其他治疗药物,new
n00753,"正常,正常,无,无",new
n00754,"正常,正常,正常,正常",new
n00755,正常血压标准是多少,new
n00756,武汉大学中南医院 主治医师 张晶晶医生,new
n00757,武汉市第三医院 副主任医师 李全富医生,new
n00758,每天久坐超过8小时，且很少运动,new
n00759,每天走多少步才算达标运动,new
n00760,水果饭前吃还是饭后吃,new
n00761,汝州市中医院 主治医师 常言欢医生,new
n00762,"没做过,没做过,没做过",new
n00763,"没做过,没有,没有",new
n00764,没有明显诱因，突然出现,new
n00765,河南省中西医结合医院 主任医师 郭泉滢医生,new
n00766,河南省人民医院 主任医师 李英医生,new
n00767,河南省胸科医院 副主任医师 刘欣欣医生,new
n00768,治疗子宫内膜异位症,new
n00769,治疗方案，咨询药物,new
n00770,治疗自身免疫性疾病,new
n00771,治疗良性前列腺增生,new
n00772,流感起病急且症状重,new
n00773,济南市中西医结合医院 主治医师 梁芳医生,new
n00774,济南市中西医结合医院 副主任医师 朱海燕医生,new
n00775,济南市第二妇幼保健院 副主任医师 曹春晶医生,new
n00776,深圳大学附属华南医院 主任医师 傅强医生,new
n00777,湖湘中医肿瘤医院 主任医师 于福壮医生,new
n00778,热射病和普通中暑有什么区别,new
n00779,热量消耗随体重下降,new
n00780,父亲170-180cm，母亲160-170cm,new
n00781,父亲170cm以下，母亲160cm以下,new
n00782,父母长期失眠应该先挂什么科,new
n00783,猕猴桃的功效与作用,new
n00784,理解接纳并给予支持,new
n00785,"瑞舒伐他汀,10mg",new
n00786,生活规律，无明显变化,new
n00787,甲状腺乳腺外科何文山医生,new
n00788,男 21岁 202609/1000_b_image_2099467730191581184_a69783a.jpg,new
n00789,男 30岁 202609/1000_b_image_2099320624411709440_af9e8eb.jpg,new
n00790,男 33岁 202609/1000_b_image_2099463742243385344_af75570.jpg,new
n00791,"男 34岁 202609/1000_b_image_2099269573696643072_a3e04cb.jpg,202609/1000_b_image_2099269573830823936_a1bd5ed.jpg",new
n00792,"男 38岁 202609/1000_b_image_2099484018159349760_aaf0be6.jpg,202609/1000_b_image_2099484018939088896_ac76da2.jpg,202609/1000_b_image_2099484018952019968_abbe1f3.jpg",new
n00793,男 3岁 202609/1000_b_image_2099313151957147648_a5395b2.jpg,new
n00794,男 40岁 202609/1000_b_image_2099387116155396096_af0d373.jpg,new
n00795,"男 45岁 202609/1000_b_image_2099462116585472000_a8af2df.jpg,202609/1000_b_image_2099462117327872000_ae11ceb.jpg,202609/1000_b_image_2099462116602257408_aaca460.jpg,202609/1000_b_image_2099462116623302656_a57f1be.jpg,202609/1000_b_image_2099462116396847104_a6ecc79.jpg,202609/1000_b_image_2099462117017694208_a77742a.jpg",new
n00796,"男 54岁 202609/1000_b_image_2099451281444143104_a3c4265.jpg,202609/1000_b_image_2099451281226223616_a869a4c.jpg,202609/1000_b_image_2099451281398013952_ad52b59.jpg,202609/1000_b_image_2099451281272365056_addb250.jpg,202609/1000_b_image_2099451281897320448_a3b1406.jpg,202609/1000_b_image_2099451281284952064_a8f40e4.jpg",new
n00797,男 55岁 202609/1000_b_image_2099316246938353664_a0176a2.jpg,new
n00798,"男 60岁 202609/1000_b_image_2099318847683919872_aea5847.jpg,202609/1000_b_image_2099318847549513728_a66586b.jpg",new
n00799,"男 61岁 202609/1000_b_image_2099364249954930688_adae658.jpg,202609/1000_b_image_2099364249690947584_ae951ff.jpg",new
n00800,男 75岁 202609/1000_b_image_2099290169092349952_a838e40.jpg,new
n00801,男性艾滋病初期症状，男性艾滋病初期症状都,new
n00802,症状咨询，到院检查,new
n00803,症状咨询，到院检查，报告解读，明确病因，治疗方案,new
n00804,症状咨询，到院检查，明确病因，治疗方案,new
n00805,症状咨询，咨询药物,new
n00806,症状咨询，报告解读,new
n00807,症状咨询，报告解读，明确病因,new
n00808,症状咨询，报告解读，明确病因，治疗方案,new
n00809,症状咨询，报告解读，明确病因，治疗方案，咨询药物,new
n00810,症状咨询，报告解读，治疗方案,new
n00811,症状咨询，明确病因,new
n00812,症状咨询，明确病因，咨询药物,new
n00813,症状咨询，明确病因，治疗方案,new
n00814,症状咨询，明确病因，治疗方案，咨询药物,new
n00815,症状咨询，治疗方案,new
n00816,症状咨询，治疗方案，咨询药物,new
n00817,痛风、高尿酸或慢性肾病,new
n00818,白天很困是不是睡眠障碍,new
n00819,白带增多、发黄或有异味,new
n00820,白带正常，无明显变化,new
n00821,百香果的功效与作用及食用方法,new
n00822,百香果的功效和作用,new
n00823,盐酸二甲双胍片的功效与作用,new
n00824,盐酸左氧氟沙星片一次吃几粒尿路感染,new
n00825,盐酸替扎尼定片的副作用和功能,new
n00826,目前吸烟，或曾累计吸烟超过10年,new
n00827,看近处时视物清晰且无明显不适,new
n00828,眼睛干涩看东西模糊,new
n00829,短时间内体重下降明显,new
n00830,石榴的功效与作用及营养价值,new
n00831,磷酸奥司他韦胶囊的作用与功效,new
n00832,秋天干燥孩子吃什么好,new
n00833,"秋季孩子容易""上火""吃什么",new
n00834,秋季开学传染病防控指南,new
n00835,秋季换季养生小知识,new
n00836,稍微活动就容易出虚汗,new
n00837,稍微活动就心慌气短,new
n00838,稍微活动就气喘吁吁,new
n00839,突然心慌、有濒死感,new
n00840,第一次处破了女14分钟还疼,new
n00841,精神分裂症风险自测,new
n00842,"精神好,正常,正常",new
n00843,糖化血红蛋白高说明什么,new
n00844,"糖尿病,心脏病、高血压或脑卒中",new
n00845,糖尿病人饭后血糖多少算正常,new
n00846,糖尿病吃什么食物最好,new
n00847,糖尿病周围神经病变,new
n00848,紧急避孕药（事后服用）,new
n00849,经尿道前列腺电切术,new
n00850,经常熬夜或睡眠不好,new
n00851,经常熬夜或睡眠不足,new
n00852,经常熬夜，睡眠不足,new
n00853,经常生气或情绪压抑,new
n00854,给孩子补充流失营养,new
n00855,维生素b1作用和功效,new
n00856,维生素b6功效与作用,new
n00857,维生素c作用和功效,new
n00858,缺乏运动或久坐不动,new
n00859,网上问诊和线下挂号哪个更快,new
n00860,美瞳线带尾巴和不带尾巴区别,new
n00861,老人最近体重掉得快要先查什么,new
n00862,老人最近总忘事是正常衰老还是痴呆前兆,new
n00863,老人死前的征兆和异常,new
n00864,老年人眼睛看不清是老花还是白内障,new
n00865,老年痴呆症前兆表现,new
n00866,耳朵听到别人说话有回音，嚼口香糖时能缓解,new
n00867,聊城市人民医院 主任医师 林凯医生,new
n00868,"职工医保,一线城市",new
n00869,肚子痛一阵一阵的痛什么原因,new
n00870,肠息肉切除以后几天能正常吃饭,new
n00871,肠胃功能紊乱吃什么调理最快,new
n00872,肺结节吃什么消结节最快最好,new
n00873,肾小球滤过率年龄参照表,new
n00874,肾衰竭的早期症状表现,new
n00875,胃疼上腹部正中隐痛可要当心了,new
n00876,胆结石多少mm以上建议手术,new
n00877,背书记不住，吃什么对脑子好,new
n00878,胸闷胸痛、心慌、头晕，或手脚麻木无力,new
n00879,脂蛋白a多高算严重,new
n00880,脑供血不足的头晕特点,new
n00881,脚后跟疼痛的原因和解决方法,new
n00882,脸上突然长了很多痘痘,new
n00883,腰椎间盘突出最好的治疗方法,new
n00884,腰椎间盘突出症风险自测,new
n00885,腰肌劳损的主要症状,new
n00886,膝盖前方（髌骨周围）,new
n00887,膝盖正前方（髌骨周围）,new
n00888,自慰达到高潮的方法,new
n00889,荨麻疹暗示身体哪里出问题了,new
n00890,藕粉对女人有什么好处,new
n00891,血压150/90算不算高血压,new
n00892,血压正常是多少标准,new
n00893,血糖高吃什么最好降的快,new
n00894,血糖高有什么症状和感觉,new
n00895,补充DHA、EPA,new
n00896,补肾吃什么东西效果最好,new
n00897,西安市中医医院 主任医师 李艳梅医生,new
n00898,"西梅的功效与作用,一天吃几颗",new
n00899,试管婴儿那个医院成功率高,new
n00900,说话声音小懒得开口,new
n00901,请帮我出几道健康减肥的题目,new
n00902,请帮我出几道开学不焦虑的题目,new
n00903,请帮我出几道开学护眼的题目,new
n00904,请帮我出几道开学换季健康的题目,new
n00905,请帮我出几道开学焦虑相关的题目,new
n00906,请帮我出几道开学饮食健康相关的题目,new
n00907,请您一定记住，不要多说任何一个字，只要回复是和不是就可以。一定切记！,new
n00908,谷氨酰基转移酶高说明什么问题,new
n00909,谷维素片一般吃几天能见效,new
n00910,走出抑郁的最佳方法,new
n00911,超敏c反应蛋白高说明什么问题,new
n00912,超过30分钟没睡着,new
n00913,超过30分钟还没睡着,new
n00914,超过半年或从未接种,new
n00915,身高体重标准对照表,new
n00916,躺在床上超过30分钟没睡着,new
n00917,躺在床上超过30分钟还没睡着,new
n00918,轮状病毒和诺如病毒区别,new
n00919,轻度（不影响日常活动）,new
n00920,轻度（不影响日常）,new
n00921,轻度（不影响活动）,new
n00922,轻度（不影响进食）,new
n00923,轻度，不影响日常活动,new
n00924,轻微，不影响日常活动,new
n00925,辣条薯片对孩子身体有什么影响,new
n00926,辽宁中医药大学附属第四医院 主治医师 马自明医生,new
n00927,辽宁省肿瘤医院 主任医师 屈艳丽医生,new
n00928,过度节食导致腹水有多危险,new
n00929,这些习惯加速皮肤衰老,new
n00930,这几种屁可能是癌的征兆,new
n00931,退热后整体症状明显改善,new
n00932,适合糖尿病患者的不升糖主食,new
n00933,适合糖尿病患者食用,new
n00934,逍遥丸的作用与功能主治,new
n00935,逐步过渡到清淡饮食,new
n00936,郑州大学第一附属医院 主任医师 杨道科医生,new
n00937,郑州大学第三附属医院 副主任医师 高桂香医生,new
n00938,郑州大学附属郑州中心医院 副主任医师 潘中平医生,new
n00939,郑州市中医院 副主任医师 王广成医生,new
n00940,郑州市妇幼保健院 主任医师 马翠霞医生,new
n00941,"都不是,没有,没有",new
n00942,"都不是,都不是,都不是",new
n00943,酒石酸唑吡坦片危害,new
n00944,重庆两江新区人民医院 主任医师 蔡志友医生,new
n00945,长寿老人的作息习惯,new
n00946,长期吃素也可能高血脂,new
n00947,长期熬夜、睡眠不足,new
n00948,长期熬夜或睡眠不足,new
n00949,长期熬夜或睡眠不足，缺乏运动或久坐不动,new
n00950,阳光型抑郁症有多可怕,new
n00951,阵发性剧痛，夜间加重，冷热刺激痛,new
n00952,阿司匹林+氯吡格雷,new
n00953,"阿司匹林,氯吡格雷",new
n00954,阿司匹林的用途功效,new
n00955,阿司匹林等抗血小板药,new
n00956,阿尔茨海默病或帕金森病,new
n00957,"阿托伐他汀,10mg",new
n00958,"阿托伐他汀,20mg",new
n00959,阿托伐他汀钙片作用与功效,new
n00960,"阿莫西林,克拉霉素",new
n00961,阿莫西林的主治功能,new
n00962,青岛市市立医院 副主任医师 林玉江医生,new
n00963,静脉曲张突然肿痛是不是危险了,new
n00964,颈椎功能障碍指数自测,new
n00965,颈椎病脑子每天蒙蒙的不清醒,new
n00966,颈肩腰背疼痛、关节肿胀，或疼痛向手臂或腿部放射,new
n00967,"食欲减退,体重下降",new
n00968,餐后2小时血糖标准一览表,new
n00969,餐后饱胀、上腹胀痛,new
n00970,饭后半小时到一小时,new
n00971,"饮食控制,运动锻炼",new
n00972,饮食生冷或暴饮暴食,new
n00973,首都医科大学附属北京中医医院 副主任医师 宫晶书医生,new
n00974,首都医科大学附属北京友谊医院 副主任医师 谭小蕖医生,new
n00975,香砂养胃丸与香砂六君丸区别,new
n00976,驻马店市第一人民医院 主治医师 段春红医生,new
n00977,高中生熬夜靠什么续命不伤身,new
n00978,高温与暴雨交替时家庭健康管理要注意什么,new
n00979,高温橙色预警外出要注意什么,new
n00980,高考前一个月吃什么状态最好,new
n00981,"高血压,糖尿病,高血脂",new
n00982,高血压平时饮食要注意什么,new
n00983,高血脂会出现什么症状,new
n00984,黄精吃了对人有什么好处,new
n00985,黄精药材有什么功效,new
n00986,"鼻塞,流涕,打喷嚏",new
n00987,"鼻塞,流涕,打喷嚏,鼻痒",new
n00988,鼻塞流涕等感冒症状,new
c00000,我是不是有点提前焦虑症。,calibration
c00001,8月4号结束，18号又来了，经期也是7天，但是量少了。,calibration
c00002,前2个月做的胃镜，幽门螺杆菌，吃了14天药，还是反酸,calibration
c00003,睡觉晚上凌晨3点大概会咳20声，,calibration
c00004,八十四三斤吃几片布洛芬,calibration
c00005,唇周成簇小水疱伴刺痛,calibration
c00006,分泌物多，尿频尿急,calibration
c00007,"吃奶正常,哭声正常,不清楚",calibration
c00008,白带量多，发黄/灰白，有腥臭味,calibration
c00009,孩子左侧鼻孔里面好像有个肉疙瘩,calibration
c00010,拉完后马上用热水洗澡，一切正常了,calibration
c00011,"动就剧痛,身体扭转着摔的",calibration
c00012,思博海盐酸多奈哌齐片,calibration
c00013,六味木香胶囊的作用与功效,calibration
c00014,饭店白酒杯，吃先锋第五天,calibration
c00015,今天上午去看的眼压，,calibration
c00016,小孩发烧了9天了吃阿奇霉素要吃几天,calibration
c00017,有的时候胃里会感觉难受有点热的感,calibration
c00018,我还打过九价疫苗,calibration
c00019,牙龈肿痛，牙齿碰到才疼，牙龈对应的下颚摸着有点肿还疼,calibration
c00020,格华止二甲双胍和二甲双胍恩格列净的区别,calibration
c00021,"白天饭后和晚上躺下发作,都没有",calibration
c00022,胃蛋白酶片功效与作用,calibration
c00023,腿是一摁一个坑，然后嗯，犯困就是整天的吧,calibration
c00024,霰粒肿的治疗方法,calibration
c00025,想了解四川大学华西峨眉医院的相关信息，包括专家挂号流程、预约挂号技巧以及挂号的相关费用。,calibration
c00026,异常凝血酶原800多危险不,calibration
c00027,"心率快但节奏不乱,都没有",calibration
c00028,就有10膝盖发软小便比较多。吃饭或者是喝一些东西的时候溃疡特别疼。,calibration
c00029,我用舌头顶住后槽牙能感觉疼,calibration
c00030,服用复代文10年以上了，从1/3片开始的逐渐加量，现在是一粒，一天一次。没有其它症状,calibration
c00031,女性乳房正中间痛,calibration
c00032,全麻手术插管四小时几天能说话,calibration
c00033,"外翻,咔哒声,明显疼痛",calibration
c00034,阿替卡因肾上腺素,calibration
c00035,水飞蓟宾葡甲胺片的副作用,calibration
c00036,有下肢肌肉酸酸痛无力,calibration
c00037,孩子脸颊小红点，良性皮肤血管瘤观察,calibration
c00038,非常非常熟悉的人都叫不上名字,calibration
c00039,硬膜囊受压程度不清楚，只是隐隐有时能感觉到,calibration
c00040,多次肺炎/扁桃体炎,calibration
c00041,我是每天一次，开始每天半包三克，后来每天一包六克,calibration
c00042,走路会左右㨪感觉，走不稳。2天前去神经内科（眩晕科）看病，医生检查后说没有耳石症，症状也不像是前庭功能问题，给医生看了去年11月份体检脑血管影像，医生说轻度狭窄，有一处是中度狭窄（但医生看后说中度那里他看了也还不到中度的程度），医生说不至于脑供血不足呀,calibration
c00043,我平时还会给他蒸点鸡蛋羹里加一根海参,calibration
c00044,"几个大水疱,没破,发白",calibration
c00045,主要是舌中间裂痕好多年了，豆包说不能完全恢复,calibration
c00046,血脂五项检查费用,calibration
c00047,格华止和一般的二甲双胍区别,calibration
c00048,肩周炎崖姜配方外用,calibration
c00049,查出有3条抗酸结核杆菌,calibration
c00050,肿有软些，也有小点，但走路还是很痛就不放心,calibration
c00051,"刚确诊未治疗,70多岁",calibration
c00052,午后热一会就恢复正常，但体温不高,calibration
c00053,这两个月我吃了维生素C，来月经大腿的淤青好了很多，就是出血点偶尔出现几个，手臂，脖子，胸部，还是好了这里那里又出，我看我脸上也有好几个小的红点，不仔细盯着看根本看不见，但是有出血点，一直在那里，没有好过脸上的，然后在月经结束的第2天才去复查，所有检查都正常的，就是血小板平均体积偏高一点点，凝血四项正常，血小板125,calibration
c00054,到底有没有舔了女人乳房感染艾滋的案例,calibration
c00055,妇科支原体妇科乳酸杆菌,calibration
c00056,风热感冒后期发汗咽喉痛,calibration
c00057,黑豆煮水坚持喝一个月的好处,calibration
c00058,头皮屑一块一块的像结痂,calibration
c00059,欣可来胞磷胆碱钠片的作用与功效,calibration
c00060,我出现仰上翻已经眼上翻已经快两年了,calibration
c00061,特异性IgE阳性,calibration
c00062,医生开的药有倍他洛克,calibration
c00063,阑尾炎手术后饮食注意事项,calibration
c00064,我现在小升初因为搬家然后和小学同学不在同一个学校 我上课觉得喘不上气，然后坐着不动心里像有炸弹要爆炸了一样 很难受,calibration
c00065,从小养的猫，平时跟它玩的时候都有被咬有咬,calibration
c00066,有慢性萎缩性胃炎伴糜,calibration
c00067,左胳膊疼有时又像抽筋一样,calibration
c00068,胸部增强CT，双肺有片索影，条索影，双肺实性结节，大者直径约5mm。,calibration
c00069,你好刘接受。我现在就在你们医院我家属确诊了肝癌晚期,calibration
c00070,以前不咳嗽，这几天晚上咳嗽厉害，早上咳嗽,calibration
c00071,症状影响夜间睡眠,calibration
c00072,塞来昔布止痛药一般吃多久能停药,calibration
c00073,"抬臂时不痛,左肩后侧",calibration
c00074,手抖是因为血糖低,calibration
c00075,"复合制剂,钙铁锌口服液",calibration
c00076,内裤粘血洗不干净,calibration
c00077,70岁老人腰下到脚后跟的筋痛最佳治疗方法,calibration
c00078,第五跖骨骨折距今有18天,calibration
c00079,"有分泌物,没做过检查",calibration
c00080,住院饮食无法控制血糖,calibration
c00081,咳嗽了一声有空空声音,calibration
c00082,"多个溃疡,整个溃疡面颜色偏淡红、灰白色",calibration
c00083,医生让加2片我吃后6小时难受，又减去了，一周中午没吃，今天中午又加一片，目前没有不舒服口干有点,calibration
c00084,郸城县中医院乳腺检查结果3级,calibration
c00085,了解药物适用人群,calibration
c00086,肛门口到前列腺的距离,calibration
c00087,尪痹片，洛索洛芬钠片，盐酸乙哌立松片，甲钴胺胶囊,calibration
c00088,支原体衣原体感染,calibration
c00089,我更年期这两三年睡眠都都不好,calibration
c00090,午餐是两个鸡大腿无皮的大概半斤，油麦菜半斤，杂粮饭2两,calibration
c00091,左腿急需手术，疼痛，无钱治疗,calibration
c00092,为啥激光烧掉了 没有组织可送,calibration
c00093,杭州市红十字会医院 主任医师 陈望强医生,calibration
c00094,"基本上一直在，初三上学期挺好的，整个人一学期学习挺有动力，其他不清楚。哦，现在是高二下学期,少于6小时",calibration
c00095,吃了补气药和肉苁蓉和三七就不累也不慌了。,calibration
c00096,如果当初去洛阳正骨医院颌面外科做鼻骨复位是不是就会好一些,calibration
c00097,工作劳累或用脑过度,calibration
c00098,耳朵里有嗡嗡鸣响声，记忆力明显减退健忘,calibration
c00099,那卵泡从19x18经过3天阴超示内见混合16x15，是大破口破卵还是慢渗破卵,calibration
c00100,医生您好，患者持续一月，有用药，68岁，男,calibration
c00101,中微子天文学应用,calibration
c00102,脊椎发热腰部腾部发热,calibration
c00103,容易心烦急躁或睡眠差,calibration
c00104,血压清晨高压140低压80中午就可能是血压100高压低压60但是没有心跳那些症状没有忽冷忽热一天有几次,calibration
c00105,医生告诉早上吃一片替米沙坦氢氯赛琴和一片硝苯地平缓释2和半片洛尔，然后血压就是120/85早^_^晚上说吃一片替米沙坦氢氯赛琴,calibration
c00106,时候三四天，有的时候四五天，有的时候五六天，这样,calibration
c00107,糠酸莫米松乳膏的功效,calibration
c00108,人民权威专家两可，正主任从头到尾反对开刀，说开刀他不看了！,calibration
c00109,腰间盘突出是不是就是椎间盘,calibration
c00110,右肋下疼痛警惕三种病症,calibration
c00111,乙流已经发烧6天了,calibration
c00112,膝关节有明显弹响,calibration
c00113,低密度脂蛋白1.7总胆固醇4.4血糖5.7,calibration
c00114,氨基酸葡萄糖胶囊说明书,calibration
c00115,糖尿病人煮小米粥多久合适,calibration
c00116,不是阴道瘙痒，是偶尔外阴瘙痒,calibration
c00117,盐酸左氧氟沙星胶囊的用法与用量尿路感染,calibration
c00118,喝完猪蹄汤吃啥不堵母乳,calibration
c00119,一离开冷水就火辣辣的痛,calibration
c00120,女人性饥饿的8大征兆,calibration
c00121,是不是不能沾酒的边了,calibration
c00122,主要是拔牙受影响，麻药不好打,calibration
c00123,我吃他丁两年多了,calibration
c00124,刚喝两天粥没有排便,calibration
c00125,有一个假牙处偶尔刷牙有血,calibration
c00126,撤退性出血一擦就没有,calibration
c00127,"活动时疼,腰臀僵硬",calibration
c00128,轻微，仅外观变化,calibration
c00129,鼻塞，咽通，今天晚上吐的黑绿色浓痰,calibration
c00130,总是手掌到小臂疼的厉害,calibration
c00131,"胸片正常,肺功能正常,睡眠监测正常,支气管炎",calibration
c00132,我这前俩月骨折，做完手术转到回龙观血血管外科，我想回去复查一下。,calibration
c00133,我是老人，是八点吃的益生菌，完了之后那个呃，九点半吃氯吡格雷，而这之间能加上b12和叶酸。,calibration
c00134,"直接切开,每天坚持活动",calibration
c00135,"包皮外表面其他地方,不清楚",calibration
c00136,查出肝囊肿三吃三不吃,calibration
c00137,小孩最近一个月老是要喝水，昨天做了一个检测指标很高,calibration
c00138,脱皮部位有点起皱,calibration
c00139,白天容易犯困，小便发黄，手心发热,calibration
c00140,就是洗澡后受凉往后牙齿最后边攻,calibration
c00141,我查完了，没有血清蛋百,calibration
c00142,使用避孕套后立即出现,calibration
c00143,只会看症状直接选方,calibration
c00144,我在医院告诉医生，吃寒凉的药和食物，刺激的东西都会拉肚子，结果医生开的中药，我熬了，喝了肚济这个地方就不舒服，好像吃了冷的东西一样，温和疼，拉大便，大便带渣稀，我看开方单里面有12克生栀子，我想可能是这个生栀的问题，,calibration
c00145,上腹胀满、打嗝反酸,calibration
c00146,耳石症最慢多久恢复,calibration
c00147,胸骨疼痛伴放射至后背肩颈处疼痛（疼痛居右边），偶有反酸烧心现象,calibration
c00148,服整肠生一般为几天一疗程,calibration
c00149,是我受力后骨折处酸痛，想想是不是骨痂线轻微损伤，不是诊断结论,calibration
c00150,牙齿表面可见黑洞或变色,calibration
c00151,"和血肌酐、尿蛋白一起查,都没有",calibration
c00152,"完整的一整块,已经干放超过1小时",calibration
c00153,术前血压一直不高，术后四年了血压一直,calibration
c00154,腰椎已做钢钉固定手术第五天,calibration
c00155,的9月5号开始四联疗法第二天开始过敏，手上先发密集小水泡，后来脚上背上手臂上都出现，放弃了，后面治疗肯定要换药，提前了解一下各种抗生素的过敏反应,calibration
c00156,整个腹部和下腹部,calibration
c00157,"坐姿或躺姿,都没有",calibration
c00158,杭州市中医院看失眠专家,calibration
c00159,"做过B超,无肝癌或肝硬化家族史",calibration
c00160,白带明显增多，呈豆腐渣样,calibration
c00161,"做过妇科检查,无发热,无白带异常",calibration
c00162,我怕药物干扰梅毒特异性抗体延迟窗口期延迟，停药十三天时间很短，体内水平还没恢复正常,calibration
c00163,治疗皮肤真菌感染,calibration
c00164,侧边头疼一阵一阵的,calibration
c00165,例假刚结束一周又出血,calibration
c00166,"随时随地,恶心,想吐,冒冷汗",calibration
c00167,有齿痕，舌苔有点黄，不发红,calibration
c00168,胃溃疡或消化道疾病,calibration
c00169,"有烦躁易怒,无口干口苦,无大便干结,无乳房肿块",calibration
c00170,超敏C反应蛋白48→26,calibration
c00171,"长时间看电子屏幕,胀痛感",calibration
c00172,医说说不用忌口尖锐湿疣是不是要忌口,calibration
c00173,肝移植23天之后，脾周有20 mm×6mm的积液,calibration
c00174,微创手术从那里打孔,calibration
c00175,枳实消痞丸副作用,calibration
c00176,左眼轻点右眼重，近看有点一重，远看有点轻,calibration
c00177,现在我去找医生开了药吃三周多了一天一次,calibration
c00178,明天去中山医院肾脏专科,calibration
c00179,矶酐8月份93：3，9月份97,calibration
c00180,名中医李乾构，提出治脾、治胃十五法，擅长治疗脾胃病,calibration
c00181,分泌物呈黄色脓性,calibration
c00182,"对啥都提不起劲,不清楚,舍曲林,都不是",calibration
c00183,痒的时候我挠了才看的出来，不挠看不出来,calibration
c00184,婴儿体温正常范围,calibration
c00185,昨晚八点半喝了三百毫升水，大概十一点15分睡觉,calibration
