key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音1k_排名,主导意图,主导意图占比%,盲评一致性,风险标注,user_need
3,药品与药企信息查询,用户查询药品、药企、药店或药物相关对象的说明、品类、名单、排名等信息，获得对应答案或相关资料即满足。,708,1.608,114,1.14,0.95,1.368,0.847,165,1.65,1.418,1.919,0.982,152,1.52,1.298,1.779,1.342,205,2.05,1.79,2.347,1.759,16,1.67,1.031,2.696,2.403,25,2.505,1.702,3.672,2.22,19,1.781,1.143,2.764,1.503,12,1.2,0.688,2.086,1.2,8.44,0.7089,0.6749,12.21,1.0259,0.9766,11.25,0.9452,0.8998,15.17,1.2746,1.2133,12.36,1.0384,0.9885,18.53,1.5575,1.4827,13.17,1.1071,1.0539,8.88,0.7461,0.7102,8,,,助手随机1k,2025搜索,1.365,2.2,32,21,28,16,21,15,10,26,查询物品或活动的功效与作用,32.6,4.0,True,用户查询药品、药企、药店或药物相关对象的说明、品类、名单、排名等信息，获得对应答案或相关资料即满足。
40,检查项目及指标查询,用户想了解某项医学检查或体检包含哪些具体项目、主要看哪些指标，以及相关费用或准备要求，获得对应检查的明确说明后即满足。,685,1.556,121,1.21,1.014,1.444,0.95,219,2.19,1.921,2.496,1.379,113,1.13,0.941,1.357,0.887,197,1.97,1.716,2.261,1.887,2,0.209,0.057,0.758,0.121,19,1.904,1.222,2.954,2.05,4,0.375,0.146,0.96,0.558,10,1.0,0.544,1.831,1.0,12.12,0.7777,0.9694,21.93,1.4073,1.7541,11.32,0.7263,0.9053,19.72,1.2659,1.5779,2.09,0.1342,0.1672,19.06,1.2234,1.5249,3.75,0.2409,0.3003,10.01,0.6426,0.801,8,,,2025搜索随机1w,助手头部1k,1.981,10.49,30,16,31,18,38,20,29,27,查询疾病或医学术语的定义、病因与症状,37.8,4.0,,用户想了解某项医学检查或体检包含哪些具体项目、主要看哪些指标，以及相关费用或准备要求，获得对应检查的明确说明后即满足。
16,中成药丸剂功效与作用查询,用户查询某一中成药丸剂后，得到该药的功效、作用、主治及相关注意事项，即得到满足。,663,1.506,212,2.12,1.856,2.422,2.467,67,0.67,0.528,0.85,1.097,236,2.36,2.081,2.677,2.783,53,0.53,0.405,0.693,0.668,13,1.357,0.795,2.308,0.863,8,0.802,0.407,1.574,1.11,58,5.436,4.228,6.963,4.819,16,1.6,0.987,2.583,1.6,14.25,1.4078,1.1404,4.5,0.4448,0.3603,15.87,1.5672,1.2695,3.56,0.3519,0.285,9.12,0.901,0.7298,5.39,0.5322,0.4311,36.54,3.609,2.9234,10.76,1.0623,0.8605,8,,,助手语音头部1k,2026搜索随机1w,4.906,10.26,15,34,14,35,25,29,5,22,查询物品或活动的功效与作用,88.5,4.0,True,用户查询某一中成药丸剂后，得到该药的功效、作用、主治及相关注意事项，即得到满足。
43,查询医学术语及检查结果含义,用户希望系统对给定的医学术语、检查项目或结果（如阳性、结节、早搏等）给出清晰且可核验的中文含义说明，获得后即满意。,659,1.497,199,1.99,1.734,2.283,1.597,136,1.36,1.151,1.606,1.765,194,1.94,1.688,2.23,1.439,120,1.2,1.005,1.433,1.314,1,0.104,0.018,0.589,0.076,2,0.2,0.055,0.728,0.171,1,0.094,0.017,0.529,0.091,6,0.6,0.275,1.303,0.6,26.58,1.3295,2.1261,18.16,0.9084,1.4527,25.91,1.2961,2.0727,16.02,0.8016,1.2818,1.39,0.0697,0.1115,2.68,0.1339,0.2141,1.25,0.0626,0.1001,8.01,0.4008,0.6409,8,,,2025搜索,助手语音头部1k,1.897,21.24,19,27,18,26,40,37,37,33,查询疾病或医学术语的定义、病因与症状,82.7,4.0,True,用户希望系统对给定的医学术语、检查项目或结果（如阳性、结节、早搏等）给出清晰且可核验的中文含义说明，获得后即满意。
13,查询物品作用与功效,用户想知道某种物质、药物或物品的作用、功效、用途或主治信息，在获得该对象的明确作用说明、功效或用途信息后即满足。,645,1.465,210,2.1,1.837,2.4,2.078,71,0.71,0.563,0.895,3.088,229,2.29,2.015,2.603,2.557,65,0.65,0.51,0.828,1.041,13,1.357,0.795,2.308,0.905,10,1.002,0.545,1.835,0.854,32,2.999,2.132,4.203,2.101,15,1.5,0.911,2.46,1.5,16.66,1.4335,1.3327,5.63,0.4846,0.4505,18.17,1.5632,1.4532,5.16,0.4436,0.4124,10.76,0.9261,0.861,7.95,0.6838,0.6357,23.79,2.0468,1.9028,11.9,1.0237,0.9517,8,,,助手语音头部1k,2026搜索随机1w,2.349,4.61,17,33,15,33,25,26,8,23,查询物品或活动的功效与作用,99.2,4.0,True,用户想知道某种物质、药物或物品的作用、功效、用途或主治信息，在获得该对象的明确作用说明、功效或用途信息后即满足。
30,疾病症状查询,用户输入某种疾病或健康问题名称后，获得该疾病或健康问题的主要症状和表现列表即可满足。,581,1.32,253,2.531,2.24,2.857,3.55,37,0.37,0.269,0.51,1.924,250,2.501,2.212,2.825,3.394,24,0.24,0.161,0.357,0.167,11,1.148,0.642,2.044,0.816,6,0.601,0.276,1.305,0.512,0,0.0,0.0,0.359,0.0,0,0.0,0.0,0.383,0.0,34.24,1.9172,2.7392,5.01,0.2803,0.4005,33.83,1.8945,2.7067,3.25,0.1818,0.2598,15.54,0.8699,1.2429,8.13,0.4555,0.6508,0.0,0.0,0.0,0.0,0.0,0.0,6,助手语音头部1k / 助手语音1k,,2025搜索,助手语音头部1k,2.531,inf,13,39,11,41,28,31,40,40,查询疾病或医学术语的定义、病因与症状,91.6,4.0,,用户输入某种疾病或健康问题名称后，获得该疾病或健康问题的主要症状和表现列表即可满足。
31,查询病症与物品图片,用户给出某个病症、症状或物品名称，希望看到能清晰展示其外观或结构的图片；获得与对象匹配的图片即满足。,511,1.161,158,1.58,1.354,1.844,1.6,74,0.74,0.59,0.928,1.887,171,1.71,1.474,1.984,1.572,81,0.81,0.652,1.006,0.668,15,1.566,0.951,2.567,3.787,3,0.301,0.102,0.88,0.256,2,0.187,0.051,0.681,0.099,7,0.7,0.339,1.438,0.7,20.81,1.3613,1.6647,9.74,0.6375,0.7795,22.52,1.4733,1.8017,10.67,0.6978,0.8533,20.62,1.3488,1.6494,3.96,0.2589,0.3167,2.47,0.1615,0.1975,9.22,0.603,0.7374,8,,,2026搜索,助手语音头部1k,1.523,9.12,23,32,26,29,22,35,34,32,查询疾病或医学术语的定义、病因与症状,57.1,4.0,,用户给出某个病症、症状或物品名称，希望看到能清晰展示其外观或结构的图片；获得与对象匹配的图片即满足。
21,查询穴位与身体部位位置图,用户输入某个穴位或身体部位名称后，获得该穴位或部位的准确位置图及简要定位说明即满足。,497,1.129,137,1.37,1.16,1.618,1.266,79,0.79,0.634,0.983,0.908,183,1.83,1.586,2.112,1.536,72,0.72,0.572,0.906,0.629,7,0.731,0.354,1.501,0.565,4,0.401,0.156,1.026,0.342,6,0.562,0.258,1.221,0.336,9,0.9,0.474,1.702,0.9,18.76,1.2136,1.5008,10.82,0.6997,0.8652,25.06,1.6211,2.0047,9.86,0.6377,0.7886,10.0,0.6472,0.8003,5.49,0.355,0.439,7.7,0.498,0.6159,12.32,0.7971,0.9857,8,,,2026搜索,助手随机1k,1.43,4.57,28,30,21,32,33,33,24,29,查询疾病或医学术语的定义、病因与症状,61.6,3.0,,用户输入某个穴位或身体部位名称后，获得该穴位或部位的准确位置图及简要定位说明即满足。
29,疾病症状表现查询,用户提出某个疾病或健康状况名称（如冠心病、哮喘、贫血、抑郁症）并询问其症状或表现后，获得该疾病或状况对应的典型症状、主要表现及必要的危害说明，即满足。,449,1.02,144,1.44,1.225,1.693,1.526,67,0.67,0.528,0.85,1.855,147,1.47,1.252,1.726,1.486,53,0.53,0.405,0.693,0.913,20,2.088,1.355,3.203,1.394,3,0.301,0.102,0.88,0.256,5,0.469,0.2,1.092,0.313,10,1.0,0.544,1.831,1.0,18.08,1.412,1.4462,8.41,0.6569,0.6727,18.45,1.4414,1.4763,6.65,0.5196,0.5322,26.2,2.0467,2.0962,3.77,0.2947,0.3018,5.88,0.4594,0.4705,12.55,0.9804,1.0041,8,,,助手头部1k,助手随机1k,1.787,6.95,25,34,30,35,17,35,27,27,查询疾病或医学术语的定义、病因与症状,98.0,4.0,True,用户提出某个疾病或健康状况名称（如冠心病、哮喘、贫血、抑郁症）并询问其症状或表现后，获得该疾病或状况对应的典型症状、主要表现及必要的危害说明，即满足。
39,查询身体排泄与分泌物异常原因,用户描述了尿液、粪便、排气或分泌物等身体排泄/分泌异常表现，得到该表现可能的医学原因及是否需要就医的说明后即满足。,399,0.906,83,0.83,0.67,1.028,0.812,102,1.02,0.841,1.237,0.502,80,0.8,0.643,0.995,0.771,103,1.03,0.85,1.248,1.225,5,0.522,0.223,1.216,0.405,10,1.002,0.545,1.835,1.025,7,0.656,0.318,1.348,0.411,9,0.9,0.474,1.702,0.9,12.28,0.9159,0.9824,15.09,1.1253,1.207,11.84,0.8828,0.9469,15.24,1.1363,1.2189,7.72,0.5758,0.6176,14.82,1.1054,1.1858,9.7,0.7238,0.7764,13.31,0.9929,1.065,8,,,2026搜索随机1w,助手头部1k,0.508,1.97,37,28,37,28,35,26,23,29,描述自身症状求归因或鉴别,82.2,4.0,True,用户描述了尿液、粪便、排气或分泌物等身体排泄/分泌异常表现，得到该表现可能的医学原因及是否需要就医的说明后即满足。
28,症状及健康影响查询,用户输入某种疾病、身体状况、暴露或医疗干预后，获得其典型症状、表现、不良反应或健康危害信息，即得到满足。,395,0.897,142,1.42,1.206,1.672,1.485,48,0.48,0.362,0.636,0.542,153,1.53,1.308,1.79,1.479,40,0.4,0.294,0.544,0.996,5,0.522,0.223,1.216,0.303,2,0.2,0.055,0.728,0.171,1,0.094,0.017,0.529,0.044,4,0.4,0.156,1.024,0.4,28.14,1.5828,2.2515,9.51,0.5349,0.7609,30.32,1.7054,2.4259,7.93,0.4458,0.6341,10.34,0.5816,0.8274,3.97,0.2233,0.3177,1.86,0.1044,0.1486,7.93,0.4458,0.6341,8,,,2026搜索,助手语音头部1k,1.437,16.33,26,38,27,38,35,37,37,37,查询疾病或医学术语的定义、病因与症状,91.1,4.0,,用户输入某种疾病、身体状况、暴露或医疗干预后，获得其典型症状、表现、不良反应或健康危害信息，即得到满足。
38,身体部位疼痛原因查询,用户输入某个身体部位或人群的疼痛症状后，希望获得该疼痛可能的常见原因、诱因或相关疾病说明。,363,0.825,97,0.97,0.796,1.182,1.026,78,0.78,0.625,0.972,0.401,104,1.04,0.859,1.259,1.037,76,0.76,0.608,0.95,0.835,2,0.209,0.057,0.758,0.095,4,0.401,0.156,1.026,0.427,2,0.187,0.051,0.681,0.146,0,0.0,0.0,0.383,0.0,22.32,1.1765,1.7853,17.94,0.9459,1.4353,23.93,1.2614,1.9142,17.48,0.9216,1.3985,4.8,0.2532,0.3842,9.22,0.486,0.7375,4.31,0.2273,0.3449,0.0,0.0,0.0,7,助手语音1k,,2026搜索,助手语音1k,1.04,inf,34,31,33,31,38,33,34,40,描述自身症状求归因或鉴别,90.4,4.0,,用户输入某个身体部位或人群的疼痛症状后，希望获得该疼痛可能的常见原因、诱因或相关疾病说明。
34,口腔不适原因与解决方法查询,用户获得口苦、口干、口臭、口腔溃疡等口腔不适的可能原因与解决方法后即满意。,328,0.745,65,0.65,0.51,0.828,0.714,86,0.86,0.697,1.061,0.414,72,0.72,0.572,0.906,0.76,79,0.79,0.634,0.983,0.635,7,0.731,0.354,1.501,0.55,8,0.802,0.407,1.574,0.939,3,0.281,0.096,0.823,0.166,8,0.8,0.406,1.571,0.8,11.54,0.8725,0.9232,15.27,1.1542,1.2212,12.78,0.9665,1.0226,14.02,1.0602,1.1218,12.97,0.9806,1.0376,14.23,1.0758,1.1383,4.99,0.3773,0.3993,14.2,1.0736,1.136,8,,,2025搜索随机1w,助手语音头部1k,0.579,3.06,39,29,39,30,33,29,31,31,描述自身症状求归因或鉴别,82.3,4.0,True,用户获得口苦、口干、口臭、口腔溃疡等口腔不适的可能原因与解决方法后即满意。
33,查询皮肤瘙痒起疹原因,获得针对所述身体部位瘙痒、红疙瘩/红疹等皮肤症状的可能原因解释，并在明确询问时获得治疗或用药建议后，用户感到满意。,295,0.67,73,0.73,0.581,0.917,0.744,67,0.67,0.528,0.85,0.358,61,0.61,0.475,0.783,0.632,63,0.63,0.493,0.805,0.607,17,1.775,1.111,2.823,2.11,6,0.601,0.276,1.305,0.512,3,0.281,0.096,0.823,0.392,5,0.5,0.214,1.165,0.5,12.59,1.0895,1.0076,11.56,0.9998,0.9246,10.52,0.9104,0.842,10.87,0.9401,0.8694,30.61,2.6479,2.4488,10.37,0.8971,0.8297,4.85,0.4195,0.388,8.62,0.7461,0.69,8,,,助手头部1k,助手语音头部1k,1.493,6.31,38,34,41,34,20,31,31,36,描述自身症状求归因或鉴别,75.9,4.0,True,获得针对所述身体部位瘙痒、红疙瘩/红疹等皮肤症状的可能原因解释，并在明确询问时获得治疗或用药建议后，用户感到满意。
27,查询癌症早期症状和前兆,用户输入某种癌症或疾病名称后，获得该疾病早期症状和前兆的具体表现，即认为满足。,258,0.586,90,0.9,0.733,1.105,1.282,34,0.34,0.243,0.475,0.147,87,0.87,0.706,1.072,1.153,28,0.28,0.194,0.404,0.451,13,1.357,0.795,2.308,1.124,2,0.2,0.055,0.728,0.256,1,0.094,0.017,0.529,0.063,3,0.3,0.102,0.878,0.3,20.73,1.5359,1.6588,7.83,0.5801,0.6265,20.04,1.4847,1.6035,6.45,0.4777,0.516,31.26,2.3153,2.5005,4.62,0.3419,0.3693,2.16,0.1599,0.1727,6.91,0.5118,0.5528,8,,,助手头部1k,助手语音头部1k,1.263,14.48,36,41,35,39,25,37,37,38,查询疾病或医学术语的定义、病因与症状,91.1,3.0,,用户输入某种癌症或疾病名称后，获得该疾病早期症状和前兆的具体表现，即认为满足。
