key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音1k_排名,主导意图,主导意图占比%,家族内部一致,家族审计意见
53,金融行情数据查询,用户希望获得所查询的2025年或2026年股票、商品价格、汇率、利率、国债、公司业绩与公告等金融数据或趋势预测，看到对应时间点或区间的具体数值、公告内容或结论即满足。,481,1.095,17,0.17,0.106,0.272,0.104,136,1.36,1.151,1.606,0.834,10,0.1,0.054,0.184,0.04,216,2.16,1.893,2.464,0.611,7,0.737,0.357,1.513,0.314,56,5.674,4.395,7.296,5.699,7,0.7,0.339,1.438,0.394,32,3.2,2.276,4.482,3.2,1.21,0.1553,0.0965,9.64,1.2422,0.7716,0.71,0.0913,0.0567,15.32,1.9729,1.2255,5.23,0.673,0.418,40.24,5.1823,3.219,4.96,0.6394,0.3971,22.69,2.9228,1.8155,8,,,助手随机1k,2026搜索,5.574,56.73,44,27,43,18,30,3,27,10,查询个股与公司层面的消息、公告与进度,30.1,是,
51,查询具体标的最新价格行情,用户查询某个商品、加密货币、股票或期货品种的最新价格或行情，获得该标的今日最新价格或行情即满足。,458,1.042,135,1.35,1.142,1.596,1.268,57,0.57,0.44,0.738,1.41,145,1.45,1.234,1.704,1.521,73,0.73,0.581,0.917,1.127,20,2.105,1.367,3.229,2.237,9,0.912,0.48,1.724,0.777,15,1.5,0.911,2.46,1.205,4,0.4,0.156,1.024,0.4,14.97,1.2953,1.1979,6.32,0.5468,0.5057,16.08,1.3911,1.2865,8.1,0.7003,0.6476,23.35,2.0195,1.8677,10.11,0.8747,0.809,16.63,1.4389,1.3307,4.44,0.3837,0.3549,8,,,助手头部1k,助手语音1k,1.705,5.26,19,38,18,39,15,29,16,43,查询可报价品种实时行情与价格,89.3,是,
45,查询黄金价格与涨跌,用户查询指定时间和所指市场下的最新黄金价格或近期涨跌数据。,455,1.036,150,1.5,1.28,1.758,10.375,38,0.38,0.277,0.521,0.676,148,1.48,1.261,1.736,11.969,45,0.45,0.336,0.602,1.196,34,3.579,2.572,4.96,11.859,7,0.709,0.344,1.457,0.604,24,2.4,1.618,3.546,6.94,9,0.9,0.474,1.702,0.9,13.16,1.4487,1.053,3.33,0.3669,0.2667,12.99,1.4292,1.0388,3.95,0.4345,0.3158,31.4,3.4558,2.5118,6.22,0.6848,0.4978,21.06,2.3174,1.6844,7.9,0.869,0.6317,8,,,助手头部1k,2025搜索随机1w,3.199,9.42,18,43,17,44,8,35,12,29,查询可报价品种实时行情与价格,87.3,是,
42,人民币及货币信息查询,用户在查询人民币、外币、数字货币或纸币硬币时，获得对应货币的图片、汇率、符号、真伪或面额等具体信息即满足。,425,0.967,112,1.12,0.932,1.346,0.952,115,1.15,0.959,1.379,1.198,52,0.52,0.397,0.681,0.409,107,1.07,0.886,1.291,0.652,8,0.842,0.427,1.653,0.909,7,0.709,0.344,1.457,0.604,3,0.3,0.102,0.878,0.25,21,2.1,1.378,3.189,2.1,14.34,1.158,1.1472,14.72,1.1888,1.1777,6.66,0.5376,0.5326,13.7,1.1061,1.0958,10.78,0.8705,0.8624,9.08,0.7331,0.7263,3.84,0.3101,0.3072,26.88,2.1709,2.1506,8,,,助手语音1k,助手语音头部1k,1.8,7.0,23,29,26,29,26,35,34,16,查询汇率并换算外币金额,45.2,是,
46,查询股票代码与指数信息,用户输入股票或指数代码/名称，希望获取该代码对应标的的行情、公司或股吧资讯、可购买产品等匹配信息。,420,0.956,130,1.3,1.096,1.542,0.708,48,0.48,0.362,0.636,0.556,163,1.63,1.4,1.898,1.0,45,0.45,0.336,0.602,1.046,5,0.526,0.225,1.226,0.238,5,0.507,0.217,1.18,0.432,19,1.9,1.22,2.948,1.582,5,0.5,0.214,1.165,0.5,17.83,1.3601,1.4262,6.58,0.5021,0.5265,22.35,1.7052,1.7881,6.17,0.4707,0.4936,7.22,0.5506,0.5773,6.95,0.5299,0.5557,26.05,1.9875,2.0841,6.86,0.523,0.5484,8,,,助手语音头部1k,2026搜索随机1w,1.45,4.22,20,41,16,44,34,38,14,39,查询可报价品种实时行情与价格,79.8,是,
49,查询科技股与科创板信息,用户查询科技类股票或科创板相关标的（个股、板块、基金/ETF）的行情、概念、公告、上市条件或交易规则，以获得该标的或板块的具体事实信息。,418,0.951,47,0.47,0.354,0.625,0.366,69,0.69,0.546,0.872,0.776,73,0.73,0.581,0.917,0.679,168,1.68,1.446,1.951,2.07,13,1.368,0.801,2.327,0.589,30,3.04,2.137,4.306,2.763,9,0.9,0.474,1.702,0.727,9,0.9,0.474,1.702,0.9,4.81,0.4941,0.3846,7.06,0.7252,0.5645,7.47,0.7673,0.5973,17.18,1.7658,1.3745,13.99,1.4383,1.1196,31.08,3.1947,2.4868,9.2,0.9459,0.7363,9.2,0.9459,0.7363,8,,,助手随机1k,2025搜索,2.569,6.47,34,34,22,22,19,6,23,29,查询可报价品种实时行情与价格,30.9,是,
55,个人征信报告查询与影响咨询,用户想了解个人征信/信用报告的内容、查询或打印渠道，以及欠费停机、贷款、业务查询等行为是否会影响个人征信。,381,0.867,61,0.61,0.475,0.783,0.406,170,1.7,1.465,1.973,1.081,27,0.27,0.186,0.393,0.139,103,1.03,0.85,1.248,0.409,5,0.526,0.225,1.226,0.404,9,0.912,0.48,1.724,0.777,1,0.1,0.018,0.564,0.056,5,0.5,0.214,1.165,0.5,10.8,0.7035,0.8641,30.1,1.9603,2.4078,4.78,0.3114,0.3825,18.24,1.1877,1.4588,9.32,0.6069,0.7454,16.14,1.0515,1.2915,1.77,0.1153,0.1416,8.85,0.5766,0.7082,8,,,2025搜索随机1w,助手语音头部1k,1.6,17.0,30,21,32,31,34,29,39,39,解释金融术语与交易/业务规则,22.3,是,
8,支付方式使用与设置查询,用户希望获取微信支付、支付宝、云闪付、连连支付、财付通等支付方式的开通、绑定、使用场景、关闭或扣款取消的具体操作步骤。,366,0.833,38,0.38,0.277,0.521,0.231,161,1.61,1.381,1.876,0.6,14,0.14,0.083,0.235,0.047,123,1.23,1.032,1.466,0.382,3,0.316,0.107,0.924,0.132,11,1.114,0.623,1.985,2.504,2,0.2,0.055,0.726,0.139,14,1.4,0.836,2.336,1.4,5.95,0.4562,0.4758,25.19,1.9326,2.0155,2.19,0.1681,0.1753,19.25,1.4765,1.5398,4.94,0.3791,0.3953,17.44,1.3378,1.3952,3.13,0.2401,0.2504,21.91,1.6805,1.7526,8,,,2025搜索随机1w,2026搜索,1.47,11.5,39,22,41,25,38,27,36,22,获取银行/支付业务办理步骤与所需资料,36.1,是,
39,查询借款平台正规性,当用户希望核实某个借款或贷款平台是否正规，或获得正规且易通过、利息更低的借款平台推荐时，其需求被满足。,345,0.785,98,0.98,0.805,1.193,0.478,95,0.95,0.778,1.16,0.783,37,0.37,0.269,0.51,0.142,92,0.92,0.751,1.127,0.372,13,1.368,0.801,2.327,0.859,4,0.405,0.158,1.037,0.432,1,0.1,0.018,0.564,0.05,5,0.5,0.214,1.165,0.5,17.52,1.2482,1.4018,16.98,1.2098,1.3586,6.61,0.4712,0.5292,16.45,1.1716,1.3157,24.46,1.7426,1.957,7.24,0.5161,0.5796,1.79,0.1273,0.143,8.94,0.6367,0.7151,8,,,助手头部1k,助手语音头部1k,1.268,13.68,24,32,27,33,19,41,39,39,核验机构平台与金融信息来源的真伪资质,49.0,是,
62,建设银行网点与服务查询,用户希望获取中国建设银行网点、联系电话、营业时间、银行卡或业务办理等具体信息。,345,0.785,27,0.27,0.186,0.393,0.368,158,1.58,1.354,1.844,0.495,16,0.16,0.099,0.26,0.129,116,1.16,0.968,1.389,0.29,3,0.316,0.107,0.924,0.135,5,0.507,0.217,1.18,0.432,8,0.8,0.406,1.571,0.494,12,1.2,0.688,2.086,1.2,4.51,0.3439,0.3605,26.37,2.012,2.1093,2.67,0.2038,0.2136,19.36,1.4772,1.5486,5.27,0.4021,0.4216,8.45,0.6451,0.6763,13.35,1.0188,1.068,20.03,1.5281,1.602,8,,,2025搜索随机1w,2026搜索,1.42,9.87,41,23,40,28,38,38,24,25,查询机构联系方式、网点信息及号码归属,55.1,是,
59,贷款提前还款查询,用户需要知道贷款或分期产品能否提前还款、如何申请、提前还款金额如何计算，以及还款后日期、月供或材料如何调整，以便办理并完成提前还款。,314,0.715,20,0.2,0.13,0.309,0.07,144,1.44,1.224,1.693,0.503,8,0.08,0.041,0.158,0.032,129,1.29,1.087,1.531,0.386,1,0.105,0.019,0.594,0.029,8,0.811,0.411,1.591,0.691,1,0.1,0.018,0.564,0.061,3,0.3,0.102,0.878,0.3,4.62,0.2799,0.3699,33.29,2.0148,2.6631,1.85,0.1119,0.148,29.82,1.8049,2.3857,2.43,0.1473,0.1947,18.74,1.1341,1.499,2.31,0.1399,0.1849,6.94,0.4198,0.5548,8,,,2025搜索随机1w,2026搜索,1.36,18.0,43,25,44,24,44,32,39,44,获取银行/支付业务办理步骤与所需资料,26.8,是,
60,花呗操作查询,用户提出花呗额度、借款、还款、逾期协商、提现或关闭等具体问题后，获得针对该问题的明确规则、操作步骤或处理建议即可满足。,299,0.681,47,0.47,0.354,0.625,0.35,128,1.28,1.078,1.52,0.644,22,0.22,0.145,0.333,0.124,82,0.82,0.661,1.017,0.208,2,0.211,0.058,0.764,0.108,5,0.507,0.217,1.18,0.518,4,0.4,0.156,1.024,0.167,9,0.9,0.474,1.702,0.9,9.78,0.6907,0.7823,26.63,1.8808,2.1301,4.58,0.3233,0.3662,17.06,1.2049,1.3646,4.38,0.3093,0.3503,10.54,0.7444,0.843,8.32,0.5877,0.6657,18.72,1.3224,1.4977,8,,,2025搜索随机1w,助手头部1k,1.069,6.08,34,28,34,36,41,38,31,29,获取银行/支付业务办理步骤与所需资料,27.1,是,
52,查询金融业务数值与代码,用户查询某个金融业务对象（利率、费用、额度、股票代码、行号、概念等）的具体数值、代码或简短定义。,296,0.674,16,0.16,0.099,0.26,0.076,100,1.0,0.823,1.215,0.564,8,0.08,0.041,0.158,0.02,123,1.23,1.032,1.466,0.386,4,0.421,0.164,1.078,0.157,29,2.938,2.053,4.188,2.504,1,0.1,0.018,0.564,0.067,15,1.5,0.911,2.46,1.5,2.15,0.2375,0.1723,13.46,1.4843,1.0768,1.08,0.1188,0.0862,16.56,1.8256,1.3245,5.67,0.625,0.4534,39.55,4.361,3.1639,1.35,0.1484,0.1077,20.19,2.2264,1.6152,8,,,助手随机1k,2026搜索,2.858,36.72,45,31,44,25,36,7,39,21,查询利率、费率、限额并试算利息/还款,51.0,是,
41,查询美元兑日元汇率,用户想要查询美元兑日元的当前汇率或按该汇率换算后的金额；得到对应汇率数字或换算结果即满足。,248,0.564,60,0.6,0.467,0.772,0.722,43,0.43,0.319,0.579,0.581,64,0.64,0.502,0.816,0.825,54,0.54,0.414,0.704,0.502,6,0.632,0.29,1.371,0.299,1,0.101,0.018,0.572,0.086,11,1.1,0.615,1.959,0.822,9,0.9,0.474,1.702,0.9,12.14,1.0631,0.9712,8.7,0.7618,0.6959,12.95,1.1339,1.0359,10.92,0.9566,0.8739,12.78,1.1189,1.0222,2.05,0.1795,0.164,22.25,1.9487,1.7803,18.21,1.5944,1.4566,8,,,助手语音头部1k,助手随机1k,0.999,10.86,31,42,24,42,33,45,19,29,查询汇率并换算外币金额,85.1,是,
61,贷款月供计算,用户提供贷款金额、期限、利率和还款方式后，希望系统计算出每月应还金额（月供）。,222,0.505,7,0.07,0.034,0.144,0.052,101,1.01,0.832,1.226,0.354,1,0.01,0.002,0.057,0.005,78,0.78,0.625,0.972,0.199,3,0.316,0.107,0.924,0.184,19,1.925,1.236,2.987,1.641,1,0.1,0.018,0.564,0.039,12,1.2,0.688,2.086,1.2,1.29,0.1386,0.1035,18.67,1.9988,1.4933,0.18,0.0198,0.0148,14.42,1.5436,1.1532,5.84,0.625,0.4669,35.58,3.8096,2.8462,1.85,0.1979,0.1479,22.18,2.3748,1.7742,8,,,助手随机1k,2026搜索,1.915,192.48,46,30,46,37,38,19,39,25,查询利率、费率、限额并试算利息/还款,71.6,是,
67,查询人寿保险业务信息,用户查询人寿保险公司的联系方式、网点、产品条款、保单状态及退保理赔流程等信息，以便联系保险公司或办理相关保险业务。,209,0.476,42,0.42,0.311,0.567,0.264,68,0.68,0.537,0.861,0.229,17,0.17,0.106,0.272,0.095,67,0.67,0.528,0.85,0.199,2,0.211,0.058,0.764,0.514,2,0.203,0.056,0.736,0.173,5,0.5,0.214,1.165,0.433,6,0.6,0.275,1.303,0.6,12.16,0.8831,0.9732,19.69,1.4294,1.5753,4.92,0.3574,0.3939,19.4,1.4084,1.5522,6.1,0.4425,0.4877,5.87,0.426,0.4694,14.48,1.0511,1.1583,17.37,1.2613,1.39,8,,,2025搜索随机1w,2026搜索,0.51,4.0,37,35,39,40,41,42,29,37,查询机构联系方式、网点信息及号码归属,25.8,是,
