key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2025搜索随机1w_条数,2025搜索随机1w_占比%,2025搜索随机1w_95CI低%,2025搜索随机1w_95CI高%,2025搜索随机1w_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,2026搜索随机1w_条数,2026搜索随机1w_占比%,2026搜索随机1w_95CI低%,2026搜索随机1w_95CI高%,2026搜索随机1w_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音头部1k_条数,助手语音头部1k_占比%,助手语音头部1k_95CI低%,助手语音头部1k_95CI高%,助手语音头部1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2025搜索随机1w_均衡归属%,2025搜索随机1w_指数,2025搜索随机1w_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,2026搜索随机1w_均衡归属%,2026搜索随机1w_指数,2026搜索随机1w_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音头部1k_均衡归属%,助手语音头部1k_指数,助手语音头部1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2025搜索随机1w_排名,2026搜索_排名,2026搜索随机1w_排名,助手头部1k_排名,助手随机1k_排名,助手语音头部1k_排名,助手语音1k_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
OTHER_INTENT__1,OTHER_INTENT__1,,302,0.687,11,0.11,0.061,0.197,0.041,144,1.44,1.224,1.693,0.522,4,0.04,0.016,0.103,0.011,116,1.16,0.968,1.389,0.368,4,0.421,0.164,1.078,1.51,12,1.216,0.697,2.113,1.036,1,0.1,0.018,0.564,0.039,10,1.0,0.544,1.831,1.0,2.01,0.1601,0.1604,26.24,2.0949,2.0996,0.73,0.0582,0.0583,21.14,1.6875,1.6913,7.67,0.6125,0.6139,22.16,1.7687,1.7727,1.82,0.1455,0.1458,18.23,1.4548,1.458,8,,,2025搜索随机1w,2026搜索,1.4,36.0,45,22,50,29,34,23,32,32,查询保险相关业务,36.8,平安保险雇主责任险 / 中国人寿雇主责任险 / 车险查询报价
RESOLVE_BARE_ENTITY__6,RESOLVE_BARE_ENTITY__6,,289,0.658,104,1.04,0.859,1.259,0.75,64,0.64,0.502,0.816,0.263,45,0.45,0.337,0.602,0.202,48,0.48,0.362,0.636,0.142,12,1.263,0.724,2.195,1.295,2,0.203,0.056,0.736,0.432,10,1.0,0.544,1.831,0.877,4,0.4,0.156,1.024,0.4,19.0,1.5813,1.5196,11.69,0.9729,0.935,8.22,0.6842,0.6575,8.77,0.7297,0.7012,23.07,1.9203,1.8454,3.7,0.308,0.296,18.26,1.5202,1.4609,7.3,0.6081,0.5844,8,,,助手头部1k,助手随机1k,1.061,6.23,17,44,19,47,16,46,12,46,查询保险相关业务,47.8,元保保险 / 商业养老保险 / 中国人保
COMPARISON_DECISION__1,COMPARISON_DECISION__1,,288,0.656,25,0.25,0.169,0.369,0.13,100,1.0,0.823,1.215,0.371,6,0.06,0.028,0.131,0.018,111,1.11,0.923,1.335,0.304,12,1.263,0.724,2.195,1.265,21,2.128,1.396,3.231,1.9,1,0.1,0.018,0.564,0.083,12,1.2,0.688,2.086,1.2,3.52,0.3814,0.2813,14.06,1.5255,1.125,0.84,0.0915,0.0675,15.61,1.6933,1.2488,17.76,1.9269,1.4211,29.92,3.2457,2.3937,1.41,0.1525,0.1125,16.88,1.8306,1.35,8,,,助手随机1k,2026搜索,2.068,35.46,36,34,44,30,16,17,32,22,计算存贷款利息,11.8,等额本息和等额本金哪个划算 / 等额本息和等额本金哪个更划算 / 委比和量比哪个更准确
CONTACT_BRANCH_LOOKUP__1,CONTACT_BRANCH_LOOKUP__1,,285,0.649,117,1.17,0.977,1.401,1.019,29,0.29,0.202,0.416,1.066,98,0.98,0.805,1.193,0.423,32,0.32,0.227,0.451,0.28,3,0.316,0.107,0.924,0.277,2,0.203,0.056,0.736,0.173,0,0.0,0.0,0.383,0.0,4,0.4,0.156,1.024,0.4,31.81,1.804,2.5448,7.88,0.447,0.6306,26.64,1.5109,2.1314,8.7,0.4933,0.6959,8.58,0.4868,0.6867,5.51,0.3124,0.4407,0.0,0.0,0.0,10.87,0.6166,0.8699,7,助手语音头部1k,,2025搜索,助手语音头部1k,1.17,inf,14,51,10,52,39,46,40,46,查询电话号码归属,94.0,95588主动来电一般都是什么原因 / 95566来电不接没事吧 / 95126一般打过来干嘛的
ENTITY_IDENTITY_CHECK__1,ENTITY_IDENTITY_CHECK__1,,276,0.628,22,0.22,0.145,0.333,0.114,78,0.78,0.625,0.972,0.485,40,0.4,0.294,0.544,0.132,118,1.18,0.986,1.411,0.608,4,0.421,0.164,1.078,0.249,5,0.507,0.217,1.18,0.432,1,0.1,0.018,0.564,0.039,8,0.8,0.406,1.571,0.8,4.99,0.3503,0.3994,17.7,1.2416,1.4157,9.08,0.6368,0.7261,26.77,1.8783,2.1417,9.55,0.6702,0.7642,11.49,0.8064,0.9195,2.27,0.1592,0.1815,18.15,1.2734,1.452,8,,,2026搜索随机1w,助手语音头部1k,1.08,11.8,38,37,20,28,34,39,32,35,股票行情与选股建议查询,31.9,科技股是哪些板块的股票 / 液冷龙头股 / 太阳能发电企业股票有哪些
RESOLVE_BARE_ENTITY__1,RESOLVE_BARE_ENTITY__1,,268,0.61,80,0.8,0.643,0.995,0.719,67,0.67,0.528,0.85,0.39,32,0.32,0.227,0.451,0.161,59,0.59,0.458,0.76,0.195,11,1.158,0.648,2.061,1.677,2,0.203,0.056,0.736,0.173,12,1.2,0.688,2.086,0.916,5,0.5,0.214,1.165,0.5,14.71,1.3117,1.1765,12.31,1.0984,0.9852,5.88,0.5246,0.4706,10.84,0.9672,0.8675,21.28,1.8982,1.7026,3.72,0.3322,0.298,22.06,1.9672,1.7645,9.19,0.8197,0.7352,8,,,助手语音头部1k,助手随机1k,0.997,5.92,19,42,21,44,19,46,9,42,查询贷款信息,42.5,拍拍贷 / 贷款 / 房贷计算器
OTHER_INTENT__2,OTHER_INTENT__2,,263,0.599,116,1.16,0.968,1.39,1.197,22,0.22,0.145,0.333,5.887,51,0.51,0.388,0.67,0.417,22,0.22,0.145,0.333,0.072,33,3.474,2.484,4.838,1.859,1,0.101,0.018,0.572,0.086,7,0.7,0.339,1.438,0.5,11,1.1,0.615,1.959,1.1,15.5,1.9382,1.24,2.94,0.3675,0.2351,6.81,0.852,0.5451,2.94,0.3675,0.2351,46.41,5.8028,3.7125,1.35,0.1692,0.1083,9.35,1.1693,0.7481,14.7,1.8375,1.1756,8,,,助手头部1k,助手随机1k,3.372,34.29,15,54,16,55,4,53,17,26,蚂蚁庄园今日答案查询,98.9,蚂蚁庄园的正确答案 / 蚂蚁庄园答案每日更新 / 蚂蚁庄园今日答案
CONCEPT_EXPLAIN__1,CONCEPT_EXPLAIN__1,,253,0.576,28,0.28,0.194,0.404,0.117,112,1.12,0.932,1.346,0.6,10,0.1,0.054,0.184,0.026,86,0.86,0.697,1.061,0.288,0,0.0,0.0,0.403,0.0,9,0.912,0.48,1.724,0.777,0,0.0,0.0,0.383,0.0,8,0.8,0.406,1.571,0.8,6.88,0.4863,0.5502,27.51,1.9449,2.2004,2.46,0.1737,0.1965,21.12,1.4934,1.6896,0.0,0.0,0.0,22.39,1.5835,1.7915,0.0,0.0,0.0,19.65,1.3892,1.5717,6,助手头部1k / 助手语音头部1k,,2025搜索随机1w,助手头部1k,1.12,inf,33,27,35,36,55,27,40,35,查询保险相关业务,35.2,买了保险什么时候退保比较好 / 保付和支付宝是一回事吗 / 车辆保险有几种
TXN_ISSUE__5,TXN_ISSUE__5,,251,0.571,5,0.05,0.021,0.117,0.025,122,1.22,1.023,1.455,0.356,5,0.05,0.021,0.117,0.01,105,1.05,0.868,1.269,0.282,0,0.0,0.0,0.403,0.0,5,0.507,0.217,1.18,0.518,0,0.0,0.0,0.383,0.0,9,0.9,0.474,1.702,0.9,1.32,0.0875,0.1059,32.3,2.1354,2.5843,1.32,0.0875,0.1059,27.8,1.8379,2.2242,0.0,0.0,0.0,13.41,0.8867,1.0731,0.0,0.0,0.0,23.83,1.5753,1.9065,6,助手头部1k / 助手语音头部1k,,2025搜索随机1w,助手头部1k,1.22,inf,53,26,46,32,55,39,40,33,金融业务操作与问题处理方法查询,18.7,分期乐买吖超市卡退款成功率高吗 / 付了付了吗 / 淘宝我微信付的款退款他不会给我退到支付宝里吧
OTHER_INTENT__5,OTHER_INTENT__5,,248,0.564,31,0.31,0.219,0.44,0.137,99,0.99,0.814,1.204,0.956,9,0.09,0.047,0.171,0.038,76,0.76,0.608,0.95,0.216,11,1.158,0.648,2.061,0.736,9,0.912,0.48,1.724,0.777,2,0.2,0.055,0.726,0.15,11,1.1,0.615,1.959,1.1,5.62,0.5493,0.4494,17.94,1.7538,1.4348,1.63,0.1595,0.1305,13.77,1.3464,1.1015,20.98,2.0512,1.6782,16.52,1.6154,1.3216,3.62,0.3543,0.2899,19.93,1.9487,1.5943,8,,,助手头部1k,2026搜索,1.068,12.86,30,35,38,38,19,27,27,26,查询价格与金额,31.5,10元人民币背面图案 / 这张卡多少钱？ / 谁要充电就投币
ENTITY_VERIFY__2,ENTITY_VERIFY__2,,235,0.535,35,0.35,0.252,0.486,0.196,108,1.08,0.895,1.302,0.673,10,0.1,0.054,0.184,0.031,66,0.66,0.519,0.839,0.218,4,0.421,0.164,1.078,0.169,8,0.811,0.411,1.591,1.382,0,0.0,0.0,0.383,0.0,4,0.4,0.156,1.024,0.4,9.16,0.6545,0.7328,28.26,2.0191,2.2608,2.62,0.187,0.2094,17.27,1.2339,1.3816,11.02,0.7872,0.8814,21.21,1.5153,1.6967,0.0,0.0,0.0,10.47,0.7478,0.8373,7,助手语音头部1k,,2025搜索随机1w,助手语音头部1k,1.08,inf,28,29,35,42,34,32,40,46,查询转账与账户业务可行性,13.6,安盛天平车险有哪些缺点 / 支付宝爱租机是监管机吗 / 为什么莫名收到海科融通399押金短信
TXN_ISSUE__1,TXN_ISSUE__1,,223,0.508,7,0.07,0.034,0.144,0.021,103,1.03,0.85,1.248,0.317,5,0.05,0.021,0.117,0.019,88,0.88,0.715,1.083,0.206,3,0.316,0.107,0.924,0.179,6,0.608,0.279,1.32,0.691,0,0.0,0.0,0.383,0.0,11,1.1,0.615,1.959,1.1,1.73,0.1379,0.1382,25.41,2.0292,2.0327,1.23,0.0985,0.0987,21.71,1.7337,1.7367,7.79,0.6221,0.6232,15.0,1.1977,1.1997,0.0,0.0,0.0,27.14,2.1671,2.1709,7,助手语音头部1k,,助手语音1k,助手语音头部1k,1.1,inf,51,33,46,35,39,33,40,26,查询贷款信息,25.6,这种是不是分期不能用了 / 贷款不还 / 银行贷款放款是不是月底和月初都弄不出来
HOWTO_OPERATE__3,HOWTO_OPERATE__3,,211,0.48,16,0.16,0.099,0.26,0.053,105,1.05,0.868,1.269,0.427,7,0.07,0.034,0.144,0.019,68,0.68,0.537,0.861,0.187,2,0.211,0.058,0.764,0.898,6,0.608,0.279,1.32,0.518,0,0.0,0.0,0.383,0.0,7,0.7,0.339,1.438,0.7,4.6,0.3332,0.3681,30.19,2.1863,2.4149,2.01,0.1458,0.161,19.55,1.4159,1.5639,6.05,0.4384,0.4842,17.48,1.2658,1.3981,0.0,0.0,0.0,20.12,1.4575,1.6099,7,助手语音头部1k,,2025搜索随机1w,助手语音头部1k,1.05,inf,39,32,41,41,47,33,40,38,查询保险相关业务,35.1,买保险留电话入口 / 小学里面的那种360的那种保险去医院怎样的情况下 / 保单的价值怎样查
NEWS_EVENT__5,NEWS_EVENT__5,,209,0.476,4,0.04,0.016,0.103,0.011,49,0.49,0.371,0.647,0.278,5,0.05,0.021,0.117,0.043,107,1.07,0.886,1.291,0.331,5,0.526,0.225,1.226,0.218,26,2.634,1.804,3.832,2.677,1,0.1,0.018,0.564,0.044,12,1.2,0.688,2.086,1.2,0.65,0.0841,0.0524,8.02,1.03,0.6415,0.82,0.1051,0.0655,17.51,2.2493,1.4009,8.61,1.1064,0.6891,43.11,5.5375,3.4488,1.64,0.2102,0.1309,19.64,2.5225,1.571,8,,,助手随机1k,2025搜索,2.594,65.84,54,46,46,31,27,15,32,22,金融行情数据查询,47.4,豪威集团二季度业绩预告 / 中科仪2026中报 / 杭电股份2026年目标价预测是多少
MARKET_MOVEMENT_EXPLAIN__1,MARKET_MOVEMENT_EXPLAIN__1,,205,0.467,7,0.07,0.034,0.144,0.022,56,0.56,0.432,0.726,0.273,5,0.05,0.021,0.117,0.017,99,0.99,0.814,1.204,2.594,1,0.105,0.019,0.594,0.05,27,2.736,1.887,3.951,2.504,1,0.1,0.018,0.564,0.05,9,0.9,0.474,1.702,0.9,1.27,0.15,0.1016,10.16,1.2001,0.8129,0.91,0.1072,0.0726,17.96,2.1217,1.4372,1.91,0.2256,0.1528,49.64,5.8626,3.9712,1.81,0.2143,0.1452,16.33,1.9288,1.3065,8,,,助手随机1k,2026搜索,2.686,54.71,51,45,46,34,52,13,32,33,股票行情与选股建议查询,57.1,新股上市前5天不设涨跌幅 / 阳光电源股票为什么暴跌 / 为什么花呗额度突然降了
CONTACT_BRANCH_LOOKUP__5,CONTACT_BRANCH_LOOKUP__5,,191,0.435,26,0.26,0.178,0.381,0.206,71,0.71,0.563,0.895,0.315,10,0.1,0.054,0.184,0.044,65,0.65,0.51,0.828,0.169,0,0.0,0.0,0.403,0.0,6,0.608,0.279,1.32,0.518,1,0.1,0.018,0.564,0.039,12,1.2,0.688,2.086,1.2,7.17,0.5982,0.5734,19.57,1.6331,1.5656,2.76,0.23,0.2205,17.92,1.4951,1.4333,0.0,0.0,0.0,16.76,1.3983,1.3405,2.76,0.23,0.2205,33.08,2.7603,2.6461,7,助手头部1k,,助手语音1k,助手头部1k,1.2,inf,35,40,35,43,55,33,32,22,银行信息查询,59.7,银行早上几点上班 / 秦农银行周天上班不 / 黄骅农业银行周六下午几点下班
RESOLVE_BARE_ENTITY__4,RESOLVE_BARE_ENTITY__4,,176,0.401,56,0.56,0.432,0.727,0.513,21,0.21,0.137,0.321,0.078,57,0.57,0.44,0.738,0.66,25,0.25,0.169,0.369,0.084,2,0.211,0.058,0.764,0.479,0,0.0,0.0,0.388,0.0,11,1.1,0.615,1.959,1.605,4,0.4,0.156,1.024,0.4,16.97,1.3982,1.3576,6.36,0.5242,0.509,17.27,1.423,1.3817,7.57,0.6241,0.6059,6.38,0.5255,0.5103,0.0,0.0,0.0,33.33,2.7459,2.6661,12.12,0.9985,0.9695,7,助手随机1k,,助手语音头部1k,助手随机1k,1.1,inf,23,55,14,53,47,58,10,46,证券股票信息查询,94.9,广发证券官网 / 长江证券 / 方正证券
NEWS_EVENT__2,NEWS_EVENT__2,,174,0.396,16,0.16,0.099,0.26,0.049,42,0.42,0.311,0.567,0.273,27,0.27,0.186,0.393,0.067,75,0.75,0.599,0.939,0.526,2,0.211,0.058,0.764,0.272,6,0.608,0.279,1.32,0.518,0,0.0,0.0,0.383,0.0,6,0.6,0.275,1.303,0.6,5.3,0.4041,0.4241,13.91,1.0605,1.1131,8.95,0.6818,0.7157,24.85,1.8937,1.9878,6.97,0.5316,0.558,20.14,1.5349,1.6111,0.0,0.0,0.0,19.88,1.515,1.5902,7,助手语音头部1k,,2026搜索随机1w,助手语音头部1k,0.75,inf,39,49,25,39,47,33,40,40,股票行情与选股建议查询,21.3,房地产信贷迎来重磅新政策 / 下周一股市最新预测 / 海兰信昨天公告利好吗
ENTITY_VERIFY__1,ENTITY_VERIFY__1,,165,0.376,58,0.58,0.449,0.749,0.282,45,0.45,0.336,0.602,0.493,23,0.23,0.153,0.345,0.082,34,0.34,0.243,0.475,0.14,3,0.316,0.107,0.924,0.368,1,0.101,0.018,0.572,0.086,0,0.0,0.0,0.383,0.0,1,0.1,0.018,0.564,0.1,27.4,1.5447,2.192,21.25,1.1982,1.7003,10.86,0.6125,0.8691,16.06,0.9053,1.2847,14.92,0.8408,1.1932,4.79,0.2698,0.3828,0.0,0.0,0.0,4.72,0.2663,0.3778,7,助手语音头部1k,,2025搜索,助手语音头部1k,0.58,inf,22,48,28,50,39,53,40,52,查询借款平台正规性,90.3,期货哪个平台最正规 / 哈啰借钱是正规网贷吗 / 易恒易货是正规平台吗
INVEST_ADVICE__3,INVEST_ADVICE__3,,155,0.353,28,0.28,0.194,0.404,0.182,19,0.19,0.122,0.297,0.105,30,0.3,0.21,0.428,0.134,55,0.55,0.423,0.715,0.195,6,0.632,0.29,1.371,0.243,6,0.608,0.279,1.32,0.604,3,0.3,0.102,0.878,0.122,8,0.8,0.406,1.571,0.8,7.65,0.7938,0.6122,5.19,0.5385,0.4153,8.2,0.8504,0.6559,15.03,1.5589,1.2023,17.26,1.7902,1.3807,16.61,1.7231,1.3289,8.2,0.8503,0.6558,21.86,2.2676,1.7488,8,,,助手语音1k,2025搜索随机1w,0.61,4.21,33,56,23,45,24,33,24,35,股票行情与选股建议查询,85.2,长鑫存储概念龙头股票 / AI应用股有哪些 / 股市哪些板块是人工智能板块
TXN_ISSUE__4,TXN_ISSUE__4,,152,0.346,3,0.03,0.01,0.088,0.011,78,0.78,0.625,0.972,0.266,2,0.02,0.005,0.073,0.006,54,0.54,0.414,0.704,0.156,5,0.526,0.225,1.226,0.73,5,0.507,0.217,1.18,0.432,0,0.0,0.0,0.383,0.0,5,0.5,0.214,1.165,0.5,1.03,0.0867,0.0827,26.87,2.2545,2.1496,0.69,0.0578,0.0551,18.6,1.5608,1.4882,18.13,1.5213,1.4505,17.45,1.4642,1.3961,0.0,0.0,0.0,17.22,1.4452,1.3779,7,助手语音头部1k,,2025搜索随机1w,助手语音头部1k,0.78,inf,56,37,52,46,27,39,40,42,查询转账与账户业务可行性,61.2,工行转账出现9078是怎么回事 / 工商银行动账提醒收费吗 / 工商银行转账显示成功却没有到账
DEBT_DISTRESS__1,DEBT_DISTRESS__1,,134,0.305,15,0.15,0.091,0.247,0.07,71,0.71,0.563,0.895,0.273,2,0.02,0.005,0.073,0.003,41,0.41,0.302,0.556,0.097,3,0.316,0.107,0.924,0.308,1,0.101,0.018,0.572,0.086,0,0.0,0.0,0.383,0.0,1,0.1,0.018,0.564,0.1,8.3,0.4919,0.6642,39.29,2.3278,3.1431,1.11,0.0656,0.0885,22.69,1.3442,1.815,17.47,1.0354,1.398,5.61,0.3322,0.4485,0.0,0.0,0.0,5.53,0.3279,0.4427,7,助手语音头部1k,,2025搜索随机1w,助手语音头部1k,0.71,inf,41,40,52,49,39,53,40,52,个人征信报告查询与影响咨询,23.1,农商银行破产贷款怎么办 / 农商银行破产贷款怎么办 / 花呗借呗上征信吗
NEWS_EVENT__3,NEWS_EVENT__3,,103,0.234,1,0.01,0.002,0.057,0.002,46,0.46,0.345,0.613,0.146,1,0.01,0.002,0.057,0.002,48,0.48,0.362,0.636,0.134,0,0.0,0.0,0.403,0.0,6,0.608,0.279,1.32,0.518,0,0.0,0.0,0.383,0.0,1,0.1,0.018,0.564,0.1,0.6,0.0427,0.048,27.58,1.9621,2.2064,0.6,0.0427,0.048,28.78,2.0474,2.3023,0.0,0.0,0.0,36.45,2.593,2.9158,0.0,0.0,0.0,6.0,0.4265,0.4796,6,助手头部1k / 助手语音头部1k,,助手随机1k,助手头部1k,0.608,inf,58,47,55,47,55,33,40,52,金融行情数据查询,25.2,国寿新鸿福分红型 / 中色股份分红政策有何变化 / 金发科技什么时候分红
TXN_ISSUE__2,TXN_ISSUE__2,,89,0.203,9,0.09,0.047,0.171,0.048,36,0.36,0.26,0.498,0.217,3,0.03,0.01,0.088,0.011,33,0.33,0.235,0.463,0.088,6,0.632,0.29,1.371,0.912,2,0.203,0.056,0.736,0.173,0,0.0,0.0,0.383,0.0,0,0.0,0.0,0.383,0.0,5.47,0.4444,0.438,21.89,1.7771,1.7516,1.82,0.1481,0.146,20.07,1.629,1.6056,38.41,3.1177,3.0729,12.32,1.0003,0.9859,0.0,0.0,0.0,0.0,0.0,0.0,6,助手语音头部1k / 助手语音1k,,助手头部1k,助手语音头部1k,0.632,inf,48,50,51,51,24,46,40,57,银行卡业务查询与办理指导,53.9,农业银行账户被冻结账户余额为0 / 工商银行9920能自动解冻吗 / 银行卡会因为一笔钱分开几天取，而被冻结吗
INVEST_ADVICE__4,INVEST_ADVICE__4,,82,0.187,4,0.04,0.016,0.103,0.013,11,0.11,0.061,0.197,0.205,6,0.06,0.028,0.131,0.018,25,0.25,0.169,0.369,0.125,20,2.105,1.367,3.229,1.01,11,1.114,0.623,1.985,1.209,2,0.2,0.055,0.726,0.194,3,0.3,0.102,0.878,0.3,0.96,0.2144,0.0766,2.63,0.5894,0.2105,1.44,0.3215,0.1149,5.98,1.3395,0.4785,50.37,11.2796,4.0294,26.66,5.9712,2.1331,4.78,1.0716,0.3828,7.18,1.6073,0.5742,8,,,助手头部1k,2025搜索,2.065,52.62,54,57,44,53,8,24,27,51,查询金价,29.3,2026年银价预测是多少 / 我认为黄金还会回调到4100美元附近 / 金盘科技为什么跌得这么厉害
NEWS_EVENT__4,NEWS_EVENT__4,,79,0.18,10,0.1,0.054,0.184,0.035,28,0.28,0.194,0.404,0.159,1,0.01,0.002,0.057,0.002,21,0.21,0.137,0.321,0.093,4,0.421,0.164,1.078,0.16,14,1.418,0.847,2.367,1.468,0,0.0,0.0,0.383,0.0,1,0.1,0.018,0.564,0.1,3.94,0.5562,0.3151,11.03,1.5572,0.8821,0.39,0.0556,0.0315,8.27,1.1679,0.6615,16.58,2.3416,1.3264,55.85,7.8883,4.4684,0.0,0.0,0.0,3.94,0.5561,0.315,7,助手语音头部1k,,助手随机1k,助手语音头部1k,1.418,inf,46,52,55,57,34,21,40,52,股票行情与选股建议查询,59.5,飞乐音响重组的可能性有多大 / 京投发展重组 / 爱丽家居重组可能性有多大
STATUS_DECODE__1,STATUS_DECODE__1,,52,0.118,2,0.02,0.005,0.073,0.014,24,0.24,0.161,0.357,0.1,0,0.0,0.0,0.038,0.0,22,0.22,0.145,0.333,0.053,3,0.316,0.107,0.924,0.304,1,0.101,0.018,0.572,0.086,0,0.0,0.0,0.383,0.0,0,0.0,0.0,0.383,0.0,2.23,0.169,0.1784,26.75,2.0277,2.1402,0.0,0.0,0.0,24.52,1.8587,1.9619,35.2,2.6681,2.8161,11.29,0.856,0.9035,0.0,0.0,0.0,0.0,0.0,0.0,5,2026搜索 / 助手语音头部1k / 助手语音1k,,助手头部1k,2026搜索,0.316,inf,57,53,57,55,39,53,40,57,查询金融术语含义,28.8,工商银行转账提示4972 / 黑色借记卡 / 农行批量扣费300什么意思
SEEK_CREDIT_WORKAROUND__1,SEEK_CREDIT_WORKAROUND__1,,27,0.061,8,0.08,0.041,0.158,0.029,11,0.11,0.061,0.197,0.037,0,0.0,0.0,0.038,0.0,4,0.04,0.016,0.103,0.016,1,0.105,0.019,0.594,0.031,2,0.203,0.056,0.736,0.259,0,0.0,0.0,0.383,0.0,1,0.1,0.018,0.564,0.1,12.54,1.302,1.0035,17.24,1.7899,1.3795,0.0,0.0,0.0,6.27,0.6509,0.5016,16.5,1.7128,1.3201,31.77,3.2972,2.5412,0.0,0.0,0.0,15.68,1.6272,1.2541,6,2026搜索 / 助手语音头部1k,,助手随机1k,2026搜索,0.203,inf,50,57,57,58,52,46,40,52,个人征信报告查询与影响咨询,63.0,征信烂急用钱5000有哪些平台 / 苹果手机借钱小额1000到3000 / 悟空借钱征信差能借到钱吗
