block,domain,key,value,detail
B 统一13类Δ·界面,人物,生成与编辑,0.0,"0.00%→0.00% [-0.04,+0.43] sig=False"
B 统一13类Δ·界面,人物,会话与系统指令,0.45,"0.00%→0.45% [+0.17,+1.15] sig=True"
B 统一13类Δ·界面,人物,违规或灰色内容,0.9,"0.67%→1.57% [+0.24,+1.96] sig=True"
B 统一13类Δ·界面,人物,无法判定,8.83,"0.95%→9.79% [+7.04,+10.97] sig=True"
B 统一13类Δ·深度,人物,导航直达,0.1,"0.11%→0.21% [-0.45,+0.66] sig=False"
B 统一13类Δ·深度,人物,裸实体,-46.56,"57.93%→11.37% [-50.27,-42.63] sig=True"
B 统一13类Δ·深度,人物,事实与数值,16.11,"4.84%→20.95% [+13.16,+19.08] sig=True"
B 统一13类Δ·深度,人物,解释与介绍,5.58,"9.79%→15.37% [+2.55,+8.60] sig=True"
B 统一13类Δ·深度,人物,核实与动态,5.29,"11.02%→16.32% [+2.15,+8.42] sig=True"
B 统一13类Δ·深度,人物,办事与操作,0.11,"0.00%→0.11% [-0.33,+0.59] sig=False"
B 统一13类Δ·深度,人物,个案判断与建议,1.99,"0.11%→2.11% [+1.09,+3.12] sig=True"
B 统一13类Δ·深度,人物,清单与推荐,12.8,"2.25%→15.05% [+10.36,+15.34] sig=True"
B 统一13类Δ·深度,人物,获取现成内容,1.23,"2.14%→3.37% [-0.30,+2.78] sig=False"
B 统一13类Δ·深度,人物,生成与编辑,0.95,"0.00%→0.95% [+0.33,+1.79] sig=True"
B 统一13类Δ·深度,人物,会话与系统指令,0.5,"0.45%→0.95% [-0.33,+1.38] sig=False"
B 统一13类Δ·深度,人物,违规或灰色内容,2.43,"1.57%→4.00% [+0.92,+4.00] sig=True"
B 统一13类Δ·深度,人物,无法判定,-0.52,"9.79%→9.26% [-3.24,+2.17] sig=False"
B 统一13类Δ·界面+深度,人物,导航直达,-1.55,"1.76%→0.21% [-1.87,-0.95] sig=True"
B 统一13类Δ·界面+深度,人物,裸实体,-41.46,"52.83%→11.37% [-43.56,-39.07] sig=True"
B 统一13类Δ·界面+深度,人物,事实与数值,15.72,"5.23%→20.95% [+13.21,+18.45] sig=True"
B 统一13类Δ·界面+深度,人物,解释与介绍,-18.7,"34.07%→15.37% [-21.05,-16.10] sig=True"
B 统一13类Δ·界面+深度,人物,核实与动态,15.44,"0.87%→16.32% [+13.22,+17.93] sig=True"
B 统一13类Δ·界面+深度,人物,办事与操作,0.05,"0.06%→0.11% [-0.07,+0.53] sig=False"
B 统一13类Δ·界面+深度,人物,个案判断与建议,2.11,"0.00%→2.11% [+1.37,+3.23] sig=True"
B 统一13类Δ·界面+深度,人物,清单与推荐,12.8,"2.25%→15.05% [+10.64,+15.23] sig=True"
B 统一13类Δ·界面+深度,人物,获取现成内容,2.07,"1.30%→3.37% [+1.06,+3.43] sig=True"
B 统一13类Δ·界面+深度,人物,生成与编辑,0.95,"0.00%→0.95% [+0.50,+1.79] sig=True"
B 统一13类Δ·界面+深度,人物,会话与系统指令,0.95,"0.00%→0.95% [+0.50,+1.79] sig=True"
B 统一13类Δ·界面+深度,人物,违规或灰色内容,3.33,"0.67%→4.00% [+2.24,+4.78] sig=True"
B 统一13类Δ·界面+深度,人物,无法判定,8.31,"0.95%→9.26% [+6.62,+10.33] sig=True"
B 跨领域一致·深度,—,个案判断与建议 升,5/5,金融、医疗、教育、影视、人物
B 跨领域一致·深度,—,事实与数值 升,4/5,医疗、教育、影视、人物
B 跨领域一致·深度,—,导航直达 降,4/5,金融、医疗、教育、影视
B 跨领域一致·深度,—,核实与动态 升,5/5,金融、医疗、教育、影视、人物
B 跨领域一致·深度,—,裸实体 降,5/5,金融、医疗、教育、影视、人物
B 跨领域一致·深度,—,解释与介绍 升,4/5,金融、教育、影视、人物
B 跨领域一致·界面,—,会话与系统指令 升,4/5,医疗、教育、影视、人物
B 跨领域一致·界面,—,导航直达 降,4/5,金融、教育、影视、人物
B 跨领域一致·界面,—,无法判定 升,5/5,金融、医疗、教育、影视、人物
B 跨领域一致·界面,—,生成与编辑 升,4/5,金融、医疗、教育、影视
B 跨领域一致·界面+深度,—,个案判断与建议 升,5/5,金融、医疗、教育、影视、人物
B 跨领域一致·界面+深度,—,会话与系统指令 升,5/5,金融、医疗、教育、影视、人物
B 跨领域一致·界面+深度,—,导航直达 降,4/5,金融、教育、影视、人物
B 跨领域一致·界面+深度,—,无法判定 升,5/5,金融、医疗、教育、影视、人物
B 跨领域一致·界面+深度,—,核实与动态 升,5/5,金融、医疗、教育、影视、人物
B 跨领域一致·界面+深度,—,清单与推荐 升,5/5,金融、医疗、教育、影视、人物
B 跨领域一致·界面+深度,—,生成与编辑 升,5/5,金融、医疗、教育、影视、人物
B 跨领域一致·界面+深度,—,裸实体 降,5/5,金融、医疗、教育、影视、人物
C 时间线分解,金融,换血率(2026侧),0.4552,留存5447 掉榜4551 新进4552
C 时间线分解,金融,"TVD(掉榜,新进)",0.3178,TVD时间=0.1446=换血率×该值，验算0.1446
C 时间线分解,医疗,换血率(2026侧),0.367,留存6329 掉榜3669 新进3669
C 时间线分解,医疗,"TVD(掉榜,新进)",0.2452,TVD时间=0.0899=换血率×该值，验算0.0900
C 时间线分解,教育,换血率(2026侧),0.3284,留存6703 掉榜3287 新进3278
C 时间线分解,教育,"TVD(掉榜,新进)",0.29,TVD时间=0.0953=换血率×该值，验算0.0952
C 时间线分解,影视,换血率(2026侧),0.7156,留存2844 掉榜7155 新进7155
C 时间线分解,影视,"TVD(掉榜,新进)",0.1033,TVD时间=0.0739=换血率×该值，验算0.0739
C 时间线分解,人物,换血率(2026侧),0.5499,留存4493 掉榜5490 新进5489
C 时间线分解,人物,"TVD(掉榜,新进)",0.4657,TVD时间=0.2561=换血率×该值，验算0.2561
D 语音混合拟合,金融,原样(n=1000),α头部=0.26 残差TVD=0.2386,"TVD(语音,头部)=0.4104 TVD(语音,长尾)=0.3270 TVD(头部,长尾)=0.5254"
D 语音混合拟合,金融,去重复串(n=885),α头部=0.18 残差TVD=0.2514,"TVD(语音,头部)=0.4407 TVD(语音,长尾)=0.3147 TVD(头部,长尾)=0.5254"
D 语音混合拟合,金融,去≥38字疑似截断(n=990),α头部=0.27 残差TVD=0.2399,"TVD(语音,头部)=0.4129 TVD(语音,长尾)=0.3281 TVD(头部,长尾)=0.5254"
D 语音混合拟合,医疗,原样(n=1000),α头部=0.24 残差TVD=0.1739,"TVD(语音,头部)=0.3733 TVD(语音,长尾)=0.1962 TVD(头部,长尾)=0.3921"
D 语音混合拟合,医疗,去重复串(n=885),α头部=0.21 残差TVD=0.1870,"TVD(语音,头部)=0.4127 TVD(语音,长尾)=0.2063 TVD(头部,长尾)=0.3921"
D 语音混合拟合,医疗,去≥38字疑似截断(n=995),α头部=0.24 残差TVD=0.1746,"TVD(语音,头部)=0.3730 TVD(语音,长尾)=0.1973 TVD(头部,长尾)=0.3921"
E 界面线换锚,金融,TVD锚2026→锚2025,0.2810→0.2157 (-0.0654),≥4pp显著类 4 个，换锚后变号 0 个
E 界面线换锚,医疗,TVD锚2026→锚2025,0.3083→0.2420 (-0.0663),≥4pp显著类 5 个，换锚后变号 0 个
E 界面线换锚,教育,TVD锚2026→锚2025,0.6426→0.6632 (+0.0206),≥4pp显著类 6 个，换锚后变号 0 个
E 界面线换锚,影视,TVD锚2026→锚2025,0.2392→0.2370 (-0.0022),≥4pp显著类 3 个，换锚后变号 0 个
E 界面线换锚,人物,TVD锚2026→锚2025,0.3086→0.2247 (-0.0840),≥4pp显著类 5 个，换锚后变号 1 个：裸名人物身份识别 +5.1pp→-14.6pp
F 小格子复核·界面,金融,生成与编辑,0→1 行,"Δ+0.11pp [+0.01,+0.59] newcombe_sig=True fisher_p=0.0868 过20行最小格子=False"
F 小格子复核·界面,医疗,生成与编辑,0→13 行,"Δ+1.36pp [+0.79,+2.31] newcombe_sig=True fisher_p=1.62e-14 过20行最小格子=False"
F 小格子复核·界面,教育,生成与编辑,88→50 行,"Δ+4.94pp [+3.55,+6.72] newcombe_sig=True fisher_p=3.38e-21 过20行最小格子=True"
F 小格子复核·界面,影视,生成与编辑,2→36 行,"Δ+3.75pp [+2.71,+5.15] newcombe_sig=True fisher_p=2.31e-36 过20行最小格子=True"
F 小格子复核·界面,人物,生成与编辑,0→0 行,"Δ+0.00pp [-0.04,+0.43] newcombe_sig=False fisher_p=1 过20行最小格子=False"
F 小格子复核·界面+深度,金融,生成与编辑,0→1 行,"Δ+0.10pp [+0.01,+0.57] newcombe_sig=True fisher_p=0.0898 过20行最小格子=False"
F 小格子复核·界面+深度,医疗,生成与编辑,0→10 行,"Δ+1.00pp [+0.54,+1.83] newcombe_sig=True fisher_p=3.64e-11 过20行最小格子=False"
F 小格子复核·界面+深度,教育,生成与编辑,88→199 行,"Δ+19.63pp [+17.20,+22.29] newcombe_sig=True fisher_p=3.18e-146 过20行最小格子=True"
F 小格子复核·界面+深度,影视,生成与编辑,2→68 行,"Δ+6.90pp [+5.48,+8.67] newcombe_sig=True fisher_p=1.17e-69 过20行最小格子=True"
F 小格子复核·界面+深度,人物,生成与编辑,0→9 行,"Δ+0.95pp [+0.50,+1.79] newcombe_sig=True fisher_p=2.73e-10 过20行最小格子=False"
F 小格子复核·界面,金融,会话与系统指令,0→0 行,"Δ+0.00pp [-0.04,+0.40] newcombe_sig=False fisher_p=1 过20行最小格子=False"
F 小格子复核·界面,医疗,会话与系统指令,0→2 行,"Δ+0.21pp [+0.05,+0.76] newcombe_sig=True fisher_p=0.00764 过20行最小格子=False"
F 小格子复核·界面,教育,会话与系统指令,11→111 行,"Δ+12.81pp [+10.73,+15.22] newcombe_sig=True fisher_p=4.05e-111 过20行最小格子=True"
F 小格子复核·界面,影视,会话与系统指令,3→13 行,"Δ+1.33pp [+0.76,+2.29] newcombe_sig=True fisher_p=6.8e-12 过20行最小格子=False"
F 小格子复核·界面,人物,会话与系统指令,0→4 行,"Δ+0.45pp [+0.17,+1.15] newcombe_sig=True fisher_p=4.44e-05 过20行最小格子=False"
F 小格子复核·界面+深度,金融,会话与系统指令,0→9 行,"Δ+0.91pp [+0.48,+1.72] newcombe_sig=True fisher_p=3.69e-10 过20行最小格子=False"
F 小格子复核·界面+深度,医疗,会话与系统指令,0→8 行,"Δ+0.80pp [+0.40,+1.57] newcombe_sig=True fisher_p=4.49e-09 过20行最小格子=False"
F 小格子复核·界面+深度,教育,会话与系统指令,11→62 行,"Δ+6.28pp [+4.90,+8.00] newcombe_sig=True fisher_p=1.22e-54 过20行最小格子=True"
F 小格子复核·界面+深度,影视,会话与系统指令,3→30 行,"Δ+3.02pp [+2.12,+4.30] newcombe_sig=True fisher_p=9.76e-29 过20行最小格子=True"
F 小格子复核·界面+深度,人物,会话与系统指令,0→9 行,"Δ+0.95pp [+0.50,+1.79] newcombe_sig=True fisher_p=2.73e-10 过20行最小格子=False"
G 共有桶的U层,金融,查询金融资产实时行情,该类占共有桶 78%，其 U 层第一大类 事实与数值 52%,共有 513/1937 行（26.5%）；整桶 裸实体=42.1%
G 共有桶的U层,医疗,仅给出名称的裸实体查询,该类占共有桶 50%，其 U 层第一大类 裸实体 96%,共有 272/1956 行（13.9%）；整桶 裸实体=50.4%
G 共有桶的U层,教育,无意图或上下文依赖的残余查询,该类占共有桶 65%，其 U 层第一大类 无法判定 75%,共有 172/1829 行（9.4%）；整桶 裸实体=26.7%
G 共有桶的U层,影视,裸片名或仅带实体类型词的作品查询,该类占共有桶 63%，其 U 层第一大类 裸实体 84%,共有 224/1937 行（11.6%）；整桶 裸实体=56.7%
G 共有桶的U层,人物,裸名人物身份识别,该类占共有桶 91%，其 U 层第一大类 裸实体 100%,共有 444/1839 行（24.1%）；整桶 裸实体=94.8%
H 语音逐类残差·正文点名的类,金融,查询金融资产实时行情,-0.06,语音19.5% 头部50.4% 长尾8.7% 拟合19.6%（α=0.26）；语音−头部=-30.9pp，这才是正文误当成残差的那个差
H 语音逐类残差·最负,金融,寻求个股买卖与持有决策建议,-14.07,语音9.0% 拟合23.1%（α=0.26）
H 语音逐类残差·最负,金融,其他或无法判定的非金融查询,-2.91,语音12.0% 拟合14.9%（α=0.26）
H 语音逐类残差·最正,金融,获取银行或支付账户操作指引,7.67,语音13.5% 拟合5.8%（α=0.26）
H 语音逐类残差·最正,金融,计算具体金额或利率,7.21,语音11.1% 拟合3.9%（α=0.26）
H 语音逐类残差·最正,金融,查找官方渠道与客服入口,4.04,语音8.6% 拟合4.6%（α=0.26）
H 语音逐类残差·正文点名的类,医疗,仅给出名称的裸实体查询,0.04,语音8.4% 头部22.1% 长尾4.0% 拟合8.4%（α=0.24）；语音−头部=-13.7pp，这才是正文误当成残差的那个差
H 语音逐类残差·正文点名的类,医疗,查询中药材/食材/茶饮的功效与作用,0.97,语音8.1% 头部16.4% 长尾4.2% 拟合7.1%（α=0.24）；语音−头部=-8.3pp，这才是正文误当成残差的那个差
H 语音逐类残差·最负,医疗,处理非健康或无法归入上述意图的残余,-4.41,语音14.7% 拟合19.1%（α=0.24）
H 语音逐类残差·最负,医疗,查询诊疗项目的费用、时长与恢复参数,-2.14,语音1.2% 拟合3.3%（α=0.24）
H 语音逐类残差·最正,医疗,对具体行为、搭配或说法给出是否可行的裁决,10.93,语音26.0% 拟合15.1%（α=0.24）
H 语音逐类残差·最正,医疗,解释自身症状的原因,3.37,语音11.2% 拟合7.8%（α=0.24）
H 语音逐类残差·最正,医疗,在两个或几个选项之间给出裁决,1.32,语音3.3% 拟合2.0%（α=0.24）
I 包装对·意图不变率 头部→长尾,金融,183/361 → 49/216,-28.0,"50.7% → 22.7%，Δ[-35.2,-20.1] sig=True"
I 包装对·意图不变率 头部→长尾,医疗,29/216 → 13/188,-6.5,"13.4% → 6.9%，Δ[-12.4,-0.5] sig=True"
I 包装对·意图不变率 头部→长尾,教育,23/37 → 51/121,-20.0,"62.2% → 42.1%，Δ[-36.2,-1.6] sig=True"
I 包装对·意图不变率 头部→长尾,影视,149/250 → 70/264,-33.1,"59.6% → 26.5%，Δ[-40.8,-24.7] sig=True"
I 包装对·意图不变率 头部→长尾,人物,12/168 → 15/136,3.9,"7.1% → 11.0%，Δ[-2.6,+10.9] sig=False"
