层级,类,类名,快照,n,子群,stratum_share,query,typicality_pct,length_pct,pv_raw
L1意图,TXN_ISSUE,排查账户与交易异常,助手随机1k,22,银行卡业务查询与办理指导,0.0909,到银行去问怎么把这两万块钱提卡里不收费？,0.841,0.636,1.0
L1意图,TXN_ISSUE,排查账户与交易异常,助手随机1k,22,金融业务操作与问题处理方法查询,0.0909,对方转账后撤回了怎么办,0.705,0.045,1.0
L1意图,TXN_ISSUE,排查账户与交易异常,助手随机1k,22,查询金融术语含义,0.0909,工商银行转账显示1072是什么意思?常见原因及解决方法,0.205,0.795,1.0
L1意图,TXN_ISSUE,排查账户与交易异常,助手随机1k,22,查询贷款信息,0.0909,那我第二个是开户成功的 助学贷款到底会发到那个卡里啊,0.432,0.75,1.0
L1意图,TXN_ISSUE,排查账户与交易异常,助手随机1k,22,查询价格与金额,0.0455,中报出了超图软件明天预计跌多少？,0.023,0.5,1.0
L1意图,COMPARISON_DECISION,比较两个金融对象并给出取舍,助手随机1k,21,银行信息查询,0.2381,郑州银行和工行哪个更适合我,0.881,0.238,1.0
L1意图,COMPARISON_DECISION,比较两个金融对象并给出取舍,助手随机1k,21,股票行情与选股建议查询,0.1905,哪些版本的三代伟人珍藏金卡更有收藏价值,0.167,0.833,1.0
L1意图,COMPARISON_DECISION,比较两个金融对象并给出取舍,助手随机1k,21,查询财经门户与市场行情,0.0952,光大理财阳光金增与阳光金创有啥不同哪个好,0.405,0.952,1.0
L1意图,COMPARISON_DECISION,比较两个金融对象并给出取舍,助手随机1k,21,查询保险相关业务,0.0952,自费修和走保险哪个更划算,0.738,0.119,1.0
L1意图,COMPARISON_DECISION,比较两个金融对象并给出取舍,助手随机1k,21,计算存贷款利息,0.0476,委比和量比哪个更准确,0.643,0.024,2.0
L1意图,COMPARISON_DECISION,比较两个金融对象并给出取舍,助手随机1k,21,花呗操作查询,0.0476,安逸花和优逸花哪个更靠谱,0.595,0.119,1.0
L1意图,COMPARISON_DECISION,比较两个金融对象并给出取舍,助手随机1k,21,金融行情数据查询,0.0476,康宁尊享2025和国寿福B款哪个更好,0.5,0.714,1.0
L1意图,COMPARISON_DECISION,比较两个金融对象并给出取舍,助手随机1k,21,支付宝相关操作查询,0.0476,建信嘉薪宝货币A和余额宝有什么区别,0.31,0.643,1.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音头部1k,700,查询股票信息,0.2886,股票,0.999,0.007,102.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音头部1k,700,股票代码查询,0.1029,002837,0.645,0.525,13.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音头部1k,700,查询市场行情,0.0786,股市行情,0.888,0.109,159.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音头部1k,700,查询黄金价格,0.0629,今日的黄金价格,0.246,0.796,13.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音头部1k,700,股指行情查询,0.0443,深证指数,0.184,0.109,19.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音头部1k,700,查询股份公司及股票信息,0.0414,股份,0.855,0.007,11.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音头部1k,700,科技类股票信息查询,0.04,深科技股票,0.905,0.235,46.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音头部1k,700,股票行情与选股建议查询,0.0357,股价,0.935,0.007,13.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手语音头部1k,93,银行信息查询,0.2043,银行,0.995,0.145,32.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手语音头部1k,93,查询财经门户与市场行情,0.1183,发发财经,0.522,0.645,17.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手语音头部1k,93,证券股票信息查询,0.1075,东北证券,0.651,0.645,38.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手语音头部1k,93,查询贷款信息,0.0753,抵押贷款,0.554,0.645,9.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手语音头部1k,93,农业银行及农村信用社服务信息查询,0.0538,农业银行,0.919,0.645,24.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手语音头部1k,93,保险公司电话查询,0.043,太平,0.156,0.145,15.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手语音头部1k,93,中国银行服务信息查询,0.0323,中国四大银行,0.876,0.957,9.0
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手语音头部1k,93,查询人寿保险相关业务信息,0.0323,中国人寿,0.296,0.645,12.0
L1意图,PAGE_NAV,打开目标页面或获取官方应用入口,助手语音头部1k,21,证券股吧查询,0.4762,领益智造股吧,0.929,0.429,9.0
L1意图,PAGE_NAV,打开目标页面或获取官方应用入口,助手语音头部1k,21,查询财经门户与市场行情,0.1429,东方财富网,0.262,0.143,66.0
L1意图,PAGE_NAV,打开目标页面或获取官方应用入口,助手语音头部1k,21,查询市场行情,0.1429,行情网站www/大全百度,0.976,0.857,48.0
L1意图,PAGE_NAV,打开目标页面或获取官方应用入口,助手语音头部1k,21,支付宝相关操作查询,0.0952,宝信软件,0.071,0.024,9.0
L1意图,FX_CONVERT,查询汇率并换算外币金额,助手语音头部1k,74,查询人民币兑外币汇率,0.527,人民币对美元的汇率,0.993,0.736,13.0
L1意图,FX_CONVERT,查询汇率并换算外币金额,助手语音头部1k,74,货币兑换金额换算查询,0.1757,1日元等于多少人民币,0.426,0.872,11.0
L1意图,FX_CONVERT,查询汇率并换算外币金额,助手语音头部1k,74,货币兑换查询,0.1216,人民币兑换美元,0.75,0.473,9.0
L1意图,OTHER_INTENT,其他非金融意图或无明确意图,助手语音头部1k,16,蚂蚁庄园今日答案查询,0.4375,今日蚂蚁庄园答案,0.969,0.562,13.0
L1意图,OTHER_INTENT,其他非金融意图或无明确意图,助手语音头部1k,16,查询财经门户与市场行情,0.125,雄关漫道真如铁,0.031,0.469,10.0
L1意图,OTHER_INTENT,其他非金融意图或无明确意图,助手语音头部1k,16,查询转账与账户业务可行性,0.0625,在吗,0.344,0.031,43.0
L1意图,OTHER_INTENT,其他非金融意图或无明确意图,助手语音头部1k,16,金融代码查询,0.0625,免费领1080笑脸币,0.156,0.812,18.0
L1意图,OTHER_INTENT,其他非金融意图或无明确意图,助手语音头部1k,16,查询美元兑日元汇率,0.0625,二十元,0.219,0.125,9.0
L1意图,OTHER_INTENT,其他非金融意图或无明确意图,助手语音头部1k,16,实时行情查询,0.0625,及时止损,0.281,0.25,9.0
L1意图,CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手语音头部1k,46,银行客服电话查询,0.4348,建行客服电话,0.859,0.228,10.0
L1意图,CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手语音头部1k,46,保险公司电话查询,0.1522,平安保险电话,0.25,0.228,10.0
L1意图,CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手语音头部1k,46,银行信息查询,0.1304,工商银行电话,0.598,0.228,34.0
L1意图,CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手语音头部1k,46,建设银行网点与服务查询,0.087,建设银行电话,0.533,0.228,12.0
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,助手语音头部1k,10,计算存贷款利息,0.6,邮政储蓄10万一年利息多少,0.85,0.9,8.0
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,助手语音头部1k,10,金融行情数据查询,0.3,2026年最新存款利率表,0.55,0.65,11.0
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音1k,152,查询股票信息,0.2632,股票各种,0.997,0.079,
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音1k,152,查询市场行情,0.1382,美国股市行情,0.961,0.345,
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音1k,152,股票行情与选股建议查询,0.0987,亚马逊近日股价,0.648,0.546,
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音1k,152,查询黄金价格,0.0658,金价现在多少钱一克,0.332,0.757,
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音1k,152,查询金价,0.0526,今天金价,0.51,0.079,
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音1k,152,金融行情数据查询,0.0461,东鹏特饮2020的peg,0.105,0.878,
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音1k,152,股票代码查询,0.0395,002386,0.378,0.345,
L1意图,QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手语音1k,152,查询价格走势图,0.0329,金价走势,0.444,0.079,
L1意图,NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手语音1k,37,金融行情数据查询,0.2703,2026年8月1号起实施的个人贷款新规,0.703,0.797,
L1意图,NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手语音1k,37,股票行情与选股建议查询,0.1892,若若德股份是在哪是在哪哪边上市的,0.473,0.608,
L1意图,NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手语音1k,37,查询保险公司信息,0.1081,上市公司特变电工的全部资料,0.446,0.473,
L1意图,NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手语音1k,37,查询市场行情,0.1081,下周一股市最新预测,0.946,0.122,
L1意图,NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手语音1k,37,查询金融业务数值与代码,0.0541,国医股份申购中签率是多少,0.365,0.392,
L1意图,NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手语音1k,37,查询人寿保险相关业务信息,0.0541,国寿鸿寿年金最后结果,0.149,0.243,
L1意图,NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手语音1k,37,查询价格与金额,0.0541,长江存储上市后估计的估值有多少亿,0.797,0.608,
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,助手语音1k,85,查询转账与账户业务可行性,0.1647,银行的积存金可以随时买卖吗,0.982,0.388,
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,助手语音1k,85,银行卡业务查询与办理指导,0.1529,卡注销后银行卡会收回吗,0.712,0.259,
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,助手语音1k,85,车险购买与理赔咨询,0.1294,车辆保险过期没有去交可以是否上路,0.935,0.659,
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,助手语音1k,85,支付宝相关操作查询,0.0824,绑定支付宝能吗,0.571,0.006,
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,助手语音1k,85,查询科技股与科创板信息,0.0588,ML CC是纯概念无业界科技股吗,0.059,0.659,
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,助手语音1k,85,查询保险相关业务,0.0588,货物运输保险合同不能自由退保吗,0.653,0.576,
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,助手语音1k,85,查询贷款信息,0.0471,大学生助学贷款毕业当年还贷无需支付利息吗,0.171,0.835,
L1意图,VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,助手语音1k,85,支付方式使用与设置查询,0.0471,美团月付一旦开通了就取消吗,0.494,0.388,
L1意图,FX_CONVERT,查询汇率并换算外币金额,助手语音1k,128,货币兑换金额换算查询,0.5625,10000缅币等于多少人民币,0.996,0.715,
L1意图,FX_CONVERT,查询汇率并换算外币金额,助手语音1k,128,查询人民币兑外币汇率,0.1641,兑换人民币汇率,0.27,0.117,
L1意图,FX_CONVERT,查询汇率并换算外币金额,助手语音1k,128,人民币及货币信息查询,0.1094,第五套人民币,0.457,0.07,
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手语音1k,30,银行信息查询,0.3,北京农商银行,0.817,0.617,
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手语音1k,30,查询财经门户与市场行情,0.1333,国泰君安,0.533,0.25,
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手语音1k,30,查询保险相关业务,0.1333,阳光保险,0.633,0.25,
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手语音1k,30,证券股票信息查询,0.1333,国盛证券,0.933,0.25,
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手语音1k,30,查询办理信用卡业务,0.0667,芝麻分芝麻信用,0.117,0.767,
L1意图,RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手语音1k,30,金融行情数据查询,0.0667,中邮理财同心2号景洪封闭式2026年第25期,0.25,0.95,
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手语音1k,104,金融业务操作与问题处理方法查询,0.1923,零元付的信息应该怎么关闭,0.88,0.486,
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手语音1k,104,银行卡业务查询与办理指导,0.1635,怎么样看银行卡是否已经绑定微信,0.966,0.673,
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手语音1k,104,支付宝相关操作查询,0.1442,支付宝怎么改支付密码,0.62,0.279,
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手语音1k,104,银行信息查询,0.0769,在银行柜台办理存钱业务,0.553,0.394,
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手语音1k,104,查询转账与账户业务可行性,0.0577,公户如何转账到私户,0.495,0.173,
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手语音1k,104,农业银行及农村信用社服务信息查询,0.0481,农村信用社在手机上开通银行怎么开,0.601,0.721,
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手语音1k,104,花呗操作查询,0.0481,如何关闭花呗,0.101,0.034,
L1意图,HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手语音1k,104,查询贷款信息,0.0385,寻求个人贷款,0.053,0.034,
L1意图,CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手语音1k,94,查询金融术语含义,0.2021,溢价是什么意思,0.771,0.128,
L1意图,CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手语音1k,94,股票行情与选股建议查询,0.1915,炒股票到底是以个股为准还是以大盘为准,0.91,0.782,
L1意图,CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手语音1k,94,查询保险公司信息,0.0638,上市公司西部矿业主要是做什么业务为什么业绩相对好,0.798,0.915,
L1意图,CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手语音1k,94,银行卡业务查询与办理指导,0.0532,银行卡的定期,0.346,0.048,
L1意图,CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手语音1k,94,查询转账与账户业务可行性,0.0532,零钱通3大忌,0.122,0.048,
L1意图,CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手语音1k,94,金融业务操作与问题处理方法查询,0.0532,周线怎么看周线,0.096,0.128,
L1意图,CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手语音1k,94,查询保险相关业务,0.0426,全民级信息系统多久至少开展一次安全保险,0.229,0.824,
L1意图,CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手语音1k,94,基金净值查询,0.0426,基金能玩吗,0.154,0.005,
L1意图,OTHER_INTENT,其他非金融意图或无明确意图,助手语音1k,76,蚂蚁庄园今日答案查询,0.1579,黄色信号灯蚂蚁庄园,0.934,0.355,
L1意图,OTHER_INTENT,其他非金融意图或无明确意图,助手语音1k,76,银行信息查询,0.0789,银行最害怕三个投诉,0.645,0.355,
L1意图,OTHER_INTENT,其他非金融意图或无明确意图,助手语音1k,76,查询价格与金额,0.0658,里面的大龙多少钱多少币,0.599,0.572,
L1意图,OTHER_INTENT,其他非金融意图或无明确意图,助手语音1k,76,车险购买与理赔咨询,0.0658,摩托车买什么保险,0.105,0.25,
L1意图,OTHER_INTENT,其他非金融意图或无明确意图,助手语音1k,76,人民币及货币信息查询,0.0526,五元的香港硬币值钱吗,0.421,0.48,
L1意图,OTHER_INTENT,其他非金融意图或无明确意图,助手语音1k,76,银行卡业务查询与办理指导,0.0526,我卡,0.73,0.007,
L1意图,OTHER_INTENT,其他非金融意图或无明确意图,助手语音1k,76,查询办理信用卡业务,0.0395,OPPO那个福利信用卡是咋算的在大明的信用卡了,0.796,0.914,
L1意图,OTHER_INTENT,其他非金融意图或无明确意图,助手语音1k,76,查询转账与账户业务可行性,0.0395,理财礼拜六礼拜天能弄出来吧,0.375,0.645,
L1意图,CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手语音1k,75,银行信息查询,0.2533,工商银行卡是几个单位,0.713,0.293,
L1意图,CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手语音1k,75,银行客服电话查询,0.2,银行电话多少,0.913,0.013,
L1意图,CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手语音1k,75,农业银行及农村信用社服务信息查询,0.16,农业银行周六周日营业网点,0.78,0.5,
L1意图,CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手语音1k,75,中国银行服务信息查询,0.0933,中国银行周六,0.807,0.013,
L1意图,CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手语音1k,75,建设银行网点与服务查询,0.0933,沈阳张士开发区建设银行开门了吗,0.247,0.72,
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,助手语音1k,74,计算存贷款利息,0.2162,十万元利息是3.5%能拿多少钱一年,0.939,0.628,
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,助手语音1k,74,贷款月供计算,0.1216,公积金贷款500000还30年一个月还多少,0.669,0.757,
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,助手语音1k,74,查询金融业务数值与代码,0.0811,2017年一万块钱的存款利率是多少,0.845,0.628,
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,助手语音1k,74,查询定期存款利率,0.0811,今年春节开门红银行一万元定期存款利率是多少呢,0.757,0.791,
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,助手语音1k,74,金融行情数据查询,0.0541,银行贷款新政策2026,0.304,0.236,
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,助手语音1k,74,查询价格与金额,0.0541,驾乘险和副驾险乘员险多少钱,0.196,0.378,
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,助手语音1k,74,查询贷款信息,0.0405,农行房贷能宽限几天,0.182,0.115,
L1意图,RATE_CALC,查询利率、费率、限额并试算利息/还款,助手语音1k,74,查询转账与账户业务可行性,0.0405,农商银行转账限额150000怎么转10000都转不出去说是超额了,0.291,0.912,
L1意图,INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,助手语音1k,52,股票行情与选股建议查询,0.4615,ai股票龙头一览表,0.837,0.115,
L1意图,INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,助手语音1k,52,金融行情数据查询,0.1154,凯盛科技2026年下0.5年订单多吗业绩有大幅增长的预期,0.74,0.837,
L1意图,INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,助手语音1k,52,查询金融业务数值与代码,0.0769,格力电器适合攒股收息吗它的历史最高价是多少,0.904,0.731,
L1意图,INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,助手语音1k,52,查询股票信息,0.0577,购买股票会记入GDP吗,0.548,0.279,
L1意图,INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,助手语音1k,52,查询保险公司信息,0.0577,长鑫最受益的10家公司是,0.606,0.375,
L1意图,INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,助手语音1k,52,查询价格走势图,0.0577,未来10天日元走势预测最新,0.096,0.5,
L1意图,TXN_ISSUE,排查账户与交易异常,助手语音1k,41,银行卡业务查询与办理指导,0.1707,卡APP显示正常但是就是转账显示银行卡状态不正确是什么原因,0.854,0.951,
L1意图,TXN_ISSUE,排查账户与交易异常,助手语音1k,41,支付方式使用与设置查询,0.122,支付成功的钱还能退回来吗,0.707,0.183,
L1意图,TXN_ISSUE,排查账户与交易异常,助手语音1k,41,金融业务操作与问题处理方法查询,0.0976,自动取款机存钱被吞了怎么办,0.768,0.305,
L1意图,TXN_ISSUE,排查账户与交易异常,助手语音1k,41,查询转账与账户业务可行性,0.0732,放心借最晚可以拖多久,0.037,0.11,
L1意图,TXN_ISSUE,排查账户与交易异常,助手语音1k,41,贷款月供计算,0.0732,借款5000元马上放款微信,0.305,0.305,
L1意图,TXN_ISSUE,排查账户与交易异常,助手语音1k,41,中国银行服务信息查询,0.0732,中国银行6个月内无呃资金往来需到柜台呃解封需要拿什么手续,0.634,0.902,
L1意图,TXN_ISSUE,排查账户与交易异常,助手语音1k,41,查询贷款信息,0.0732,贷款不还,0.476,0.012,
L1意图,TXN_ISSUE,排查账户与交易异常,助手语音1k,41,支付宝相关操作查询,0.0488,我的支我的支付宝页面也打上了AI是怎么回事啊,0.134,0.744,
L1意图,COMPARISON_DECISION,比较两个金融对象并给出取舍,助手语音1k,12,查询转账与账户业务可行性,0.3333,银联POS机第1笔钱刷的是民生银行的是到账了第2笔钱刷的是嗯第2笔钱刷的是另外,0.917,0.917,
L1意图,COMPARISON_DECISION,比较两个金融对象并给出取舍,助手语音1k,12,查询交强险保费、赔偿与投保规定,0.1667,特种车的交强险和一般货车交强险是不是不一样,0.667,0.375,
L1意图,COMPARISON_DECISION,比较两个金融对象并给出取舍,助手语音1k,12,查询定期存款利率,0.1667,银行存款存款与存支票的区别是,0.542,0.083,
L1意图,COMPARISON_DECISION,比较两个金融对象并给出取舍,助手语音1k,12,支付宝相关操作查询,0.0833,招行好期贷在支付宝上申请还是在联通APP上申请更容易过,0.208,0.625,
L1意图,COMPARISON_DECISION,比较两个金融对象并给出取舍,助手语音1k,12,计算存贷款利息,0.0833,苏商银行的利息和利常银行的利息是一样的吗,0.792,0.208,
L1意图,PAGE_NAV,打开目标页面或获取官方应用入口,助手语音1k,16,证券股吧查询,0.4375,永辉超市股吧,0.938,0.312,
L1意图,PAGE_NAV,打开目标页面或获取官方应用入口,助手语音1k,16,支付宝相关操作查询,0.125,宝付支付下载安装,0.312,0.594,
L1意图,PAGE_NAV,打开目标页面或获取官方应用入口,助手语音1k,16,查询个股股票行情与股吧讨论,0.125,联环药业股吧,0.719,0.312,
L1意图,PAGE_NAV,打开目标页面或获取官方应用入口,助手语音1k,16,查询贷款信息,0.125,生源地贷款登录入口官网,0.094,0.75,
L2子意图,QUOTE_LOOKUP__1,QUOTE_LOOKUP__1,2025搜索,992,查询黄金价格,0.2188,黄金金价今日,0.986,0.301,477.0
L2子意图,QUOTE_LOOKUP__1,QUOTE_LOOKUP__1,2025搜索,992,实时行情查询,0.1512,金价实时行情,0.981,0.301,619.0
L2子意图,QUOTE_LOOKUP__1,QUOTE_LOOKUP__1,2025搜索,992,查询金价,0.1401,金价,0.766,0.004,141405.0
L2子意图,QUOTE_LOOKUP__1,QUOTE_LOOKUP__1,2025搜索,992,市场价格行情查询,0.126,比特币行情今日价格,0.672,0.681,186.0
L2子意图,QUOTE_LOOKUP__1,QUOTE_LOOKUP__1,2025搜索,992,查询价格走势图,0.1048,国际大盘金价走势图,0.774,0.681,230.0
L2子意图,QUOTE_LOOKUP__1,QUOTE_LOOKUP__1,2025搜索,992,查询财经门户与市场行情,0.0756,期货,0.201,0.004,623.0
L2子意图,PAGE_NAV__1,PAGE_NAV__1,2025搜索,308,下载安装金融类App,0.5,手机银行app下载安装官方免费下载,0.995,0.883,345.0
L2子意图,PAGE_NAV__1,PAGE_NAV__1,2025搜索,308,查询财经门户与市场行情,0.276,东方财富网官网首页,0.599,0.282,660.0
L2子意图,PAGE_NAV__1,PAGE_NAV__1,2025搜索,308,个人征信报告查询与影响咨询,0.0422,中国人民银行个人征信中心官网查询,0.206,0.867,2048.0
L2子意图,QUOTE_LOOKUP__2,QUOTE_LOOKUP__2,2025搜索,2974,查询股票信息,0.5898,股票,1.0,0.002,16048.0
L2子意图,QUOTE_LOOKUP__2,QUOTE_LOOKUP__2,2025搜索,2974,查询股份公司及股票信息,0.0864,共进股份,0.475,0.089,957.0
L2子意图,QUOTE_LOOKUP__2,QUOTE_LOOKUP__2,2025搜索,2974,科技类股票信息查询,0.075,晶科科技股票,0.753,0.61,164.0
L2子意图,QUOTE_LOOKUP__2,QUOTE_LOOKUP__2,2025搜索,2974,查询市场行情,0.0454,股市行情今日行情,0.102,0.956,415.0
L2子意图,QUOTE_LOOKUP__2,QUOTE_LOOKUP__2,2025搜索,2974,查询股份股票及股吧信息,0.042,综艺股份股票,0.934,0.61,236.0
L2子意图,FX_CONVERT__1,FX_CONVERT__1,2025搜索,679,查询人民币兑外币汇率,0.6539,人民币汇率兑美元,0.999,0.519,247.0
L2子意图,FX_CONVERT__1,FX_CONVERT__1,2025搜索,679,货币兑换查询,0.1429,人民币美币兑换,0.906,0.356,536.0
L2子意图,FX_CONVERT__1,FX_CONVERT__1,2025搜索,679,查询美元兑日元汇率,0.0663,日元兑美元,0.133,0.133,587.0
L2子意图,RESOLVE_BARE_ENTITY__2,RESOLVE_BARE_ENTITY__2,2025搜索,134,查询财经门户与市场行情,0.5522,金融,0.996,0.03,797.0
L2子意图,RESOLVE_BARE_ENTITY__2,RESOLVE_BARE_ENTITY__2,2025搜索,134,查询保险公司信息,0.0821,招联消费金融股份有限公司,0.862,0.959,197.0
L2子意图,RESOLVE_BARE_ENTITY__2,RESOLVE_BARE_ENTITY__2,2025搜索,134,基金净值查询,0.0672,自选基金天天基金,0.601,0.881,165.0
L2子意图,RESOLVE_BARE_ENTITY__2,RESOLVE_BARE_ENTITY__2,2025搜索,134,查询金价,0.0373,备用金,0.623,0.127,173.0
L2子意图,RESOLVE_BARE_ENTITY__2,RESOLVE_BARE_ENTITY__2,2025搜索,134,蚂蚁庄园今日答案查询,0.0299,蚂蚁理财社区,0.638,0.776,456.0
L2子意图,RESOLVE_BARE_ENTITY__2,RESOLVE_BARE_ENTITY__2,2025搜索,134,查询办理信用卡业务,0.0224,芝麻信用,0.168,0.41,417.0
L2子意图,RESOLVE_BARE_ENTITY__2,RESOLVE_BARE_ENTITY__2,2025搜索,134,中国银行服务信息查询,0.0224,中信,0.489,0.03,361.0
L2子意图,OTHER_INTENT__2,OTHER_INTENT__2,2025搜索,116,蚂蚁庄园今日答案查询,0.9914,蚂蚁庄园今日答案,0.996,0.194,32445.0
L2子意图,CONTACT_BRANCH_LOOKUP__4,CONTACT_BRANCH_LOOKUP__4,2025搜索,291,银行客服电话查询,0.7869,交行客服人工电话,0.998,0.266,198.0
L2子意图,CONTACT_BRANCH_LOOKUP__4,CONTACT_BRANCH_LOOKUP__4,2025搜索,291,查询办理信用卡业务,0.1237,招行信用卡电话客服,0.662,0.433,940.0
L2子意图,FX_CONVERT__2,FX_CONVERT__2,2025搜索,306,货币兑换金额换算查询,0.9085,韩币1万等于多少人民币,0.995,0.335,365.0
L2子意图,RESOLVE_BARE_ENTITY__1,RESOLVE_BARE_ENTITY__1,2025搜索,80,查询贷款信息,0.425,贷款,0.981,0.087,1898.0
L2子意图,RESOLVE_BARE_ENTITY__1,RESOLVE_BARE_ENTITY__1,2025搜索,80,查询财经门户与市场行情,0.1125,融资,0.406,0.087,256.0
L2子意图,RESOLVE_BARE_ENTITY__1,RESOLVE_BARE_ENTITY__1,2025搜索,80,查询转账与账户业务可行性,0.1,借钱,0.769,0.087,1100.0
L2子意图,RESOLVE_BARE_ENTITY__1,RESOLVE_BARE_ENTITY__1,2025搜索,80,个人征信报告查询与影响咨询,0.075,征信,0.306,0.087,642.0
