L1,L1名,对比,a,b,n_a,n_b,咨询/求建议_a%,咨询/求建议_b%,咨询/求建议_差pp,事件与进度_a%,事件与进度_b%,事件与进度_差pp,问原因_a%,问原因_b%,问原因_差pp,实体绑定_a%,实体绑定_b%,实体绑定_差pp,时效_a%,时效_b%,时效_差pp,是非核实_a%,是非核实_b%,是非核实_差pp,问句_a%,问句_b%,问句_差pp,第一人称_a%,第一人称_b%,第一人称_差pp
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,时间·头部层,2025搜索,2026搜索,57,54,21.1,18.5,"-2.5 [-17.2, +12.5]",17.5,9.3,"-8.3 [-21.2, +4.9]",0.0,0.0,"+0.0 [-6.3, +6.6]",59.6,51.9,"-7.8 [-25.3, +10.4]",1.8,0.0,"-1.8 [-9.3, +5.0]",21.1,18.5,"-2.5 [-17.2, +12.5]",43.9,55.6,"+11.7 [-6.7, +29.0]",0.0,0.0,"+0.0 [-6.3, +6.6]"
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,时间·随机层,2025搜索随机1w,2026搜索随机1w,186,421,27.4,24.9,"-2.5 [-10.3, +4.9]",9.1,9.7,"+0.6 [-5.0, +5.2]",0.5,2.1,"+1.6 [-1.0, +3.5]",48.9,54.6,"+5.7 [-2.9, +14.2]",5.9,8.8,"+2.9 [-2.1, +6.9]",29.6,33.0,"+3.4 [-4.7, +11.1]",58.1,66.7,"+8.7 [+0.4, +17.1]*",0.0,0.2,"+0.2 [-1.8, +1.3]"
TXN_ISSUE,排查账户与交易异常,时间·随机层,2025搜索随机1w,2026搜索随机1w,518,417,1.0,0.2,"-0.7 [-2.0, +0.5]",0.8,1.4,"+0.7 [-0.8, +2.4]",20.1,20.9,"+0.8 [-4.4, +6.0]",39.2,36.7,"-2.5 [-8.7, +3.8]",2.5,2.2,"-0.4 [-2.4, +1.8]",11.2,11.3,"+0.1 [-4.0, +4.3]",59.8,59.0,"-0.9 [-7.2, +5.4]",3.5,4.8,"+1.3 [-1.2, +4.1]"
COMPARISON_DECISION,比较两个金融对象并给出取舍,时间·随机层,2025搜索随机1w,2026搜索随机1w,100,111,2.0,2.7,"+0.7 [-4.6, +5.9]",2.0,0.9,"-1.1 [-6.2, +3.2]",2.0,0.9,"-1.1 [-6.2, +3.2]",48.0,63.1,"+15.1 [+1.7, +27.8]*",2.0,0.0,"-2.0 [-7.0, +1.6]",5.0,8.1,"+3.1 [-4.1, +10.3]",52.0,66.7,"+14.7 [+1.4, +27.3]*",0.0,0.9,"+0.9 [-2.9, +4.9]"
DEBT_DISTRESS,处理逾期催收与还款困境,时间·随机层,2025搜索随机1w,2026搜索随机1w,71,41,0.0,0.0,"+0.0 [-5.1, +8.6]",0.0,0.0,"+0.0 [-5.1, +8.6]",0.0,0.0,"+0.0 [-5.1, +8.6]",11.3,12.2,"+0.9 [-10.7, +15.3]",1.4,2.4,"+1.0 [-5.4, +11.3]",25.4,39.0,"+13.7 [-3.8, +31.2]",59.2,75.6,"+16.5 [-1.9, +32.2]",2.8,2.4,"-0.4 [-7.5, +10.0]"
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,界面·随机层,2026搜索随机1w,助手随机1k,459,79,5.4,19.0,"+13.5 [+6.0, +23.7]*",55.3,67.1,"+11.8 [-0.1, +22.2]",4.1,7.6,"+3.5 [-1.2, +11.6]",41.0,38.0,"-3.0 [-13.9, +8.9]",23.3,11.4,"-11.9 [-18.6, -2.3]*",9.6,10.1,"+0.5 [-5.2, +9.5]",33.1,46.8,"+13.7 [+2.2, +25.4]*",0.0,0.0,"+0.0 [-0.8, +4.6]"
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,深度·搜索内,2026搜索,2026搜索随机1w,61,459,6.6,5.4,"-1.1 [-10.4, +3.6]",91.8,55.3,"-36.5 [-43.0, -25.9]*",0.0,4.1,"+4.1 [-2.0, +6.4]",37.7,41.0,"+3.3 [-10.0, +15.2]",42.6,23.3,"-19.3 [-32.3, -7.0]*",1.6,9.6,"+7.9 [+0.5, +11.3]*",26.2,33.1,"+6.9 [-6.0, +17.3]",0.0,0.0,"+0.0 [-5.9, +0.8]"
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,时间·头部层,2025搜索,2026搜索,40,61,5.0,6.6,"+1.6 [-10.6, +11.4]",82.5,91.8,"+9.3 [-3.7, +24.5]",0.0,0.0,"+0.0 [-8.8, +5.9]",17.5,37.7,"+20.2 [+2.0, +35.5]*",57.5,42.6,"-14.9 [-33.1, +4.9]",0.0,1.6,"+1.6 [-7.2, +8.7]",5.0,26.2,"+21.2 [+6.4, +34.0]*",0.0,0.0,"+0.0 [-8.8, +5.9]"
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,时间·随机层,2025搜索随机1w,2026搜索随机1w,273,459,2.9,5.4,"+2.5 [-0.7, +5.4]",67.0,55.3,"-11.7 [-18.7, -4.4]*",1.8,4.1,"+2.3 [-0.5, +4.8]",37.7,41.0,"+3.2 [-4.1, +10.4]",22.7,23.3,"+0.6 [-5.9, +6.7]",7.7,9.6,"+1.9 [-2.6, +5.9]",21.2,33.1,"+11.9 [+5.2, +18.1]*",0.4,0.0,"-0.4 [-2.0, +0.5]"
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,时间·随机层,2025搜索随机1w,2026搜索随机1w,56,99,1.8,3.0,"+1.2 [-6.7, +6.9]",7.1,7.1,"-0.1 [-10.5, +8.0]",53.6,49.5,"-4.1 [-19.8, +12.0]",16.1,33.3,"+17.3 [+2.8, +29.5]*",5.4,14.1,"+8.8 [-2.0, +17.7]",5.4,4.0,"-1.3 [-10.9, +5.5]",46.4,54.5,"+8.1 [-8.1, +23.7]",1.8,0.0,"-1.8 [-9.4, +2.2]"
