意图,意图名,叶,叶名,意图内行数,占该意图%,叶总行数,该意图占叶%,叶主导意图,主导占叶%,cos_意图内vs叶其余,cos_同叶基线,cos差,意图内中心例子,叶其余中心例子
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,30,股票行情与选股建议查询,457,45.7,2240,20.4,查询可报价品种实时行情与价格,24.6,0.922,0.996,-0.074,华为光刻机概念股的龙头股票有哪些,a股上市第一天涨幅最大的股票
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,25,查询股票信息,62,6.2,5023,1.2,查询可报价品种实时行情与价格,95.5,0.909,0.988,-0.08,适合做波段的股票排行,哔哩哔哩股票
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,66,金融行情数据查询,44,4.4,481,9.1,查询个股与公司层面的消息、公告与进度,30.1,0.947,0.983,-0.036,晶澳2026年底股票能涨到25元吗,硫酸价格2025年与2026年对比行情
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,22,查询科技股与科创板信息,40,4.0,418,9.6,查询可报价品种实时行情与价格,30.9,0.87,0.977,-0.107,能科科技股怎么样 还能买吗,科创板股票自
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,7,基金净值查询,31,3.1,578,5.4,查询可报价品种实时行情与价格,51.0,0.864,0.978,-0.114,哪类基金适合做T,基金净值010793
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,45,查询股份公司及股票信息,30,3.0,808,3.7,查询可报价品种实时行情与价格,82.5,0.906,0.987,-0.081,友阿股份会即将暴涨吗,领先股份
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,63,查询价格走势图,29,2.9,512,5.7,查询可报价品种实时行情与价格,87.1,0.823,0.984,-0.161,预计明天大盘走势如何,金价走势最新走势图
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,10,查询转账与账户业务可行性,28,2.8,1087,2.6,对“是不是/是A还是B”给出裁决结论,36.4,0.774,0.96,-0.186,股票当天买入当天可以卖吗,有现金可以给其它人转账吗
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,62,查询金价,25,2.5,455,5.5,查询可报价品种实时行情与价格,87.3,0.702,0.979,-0.278,金价还会继续跌吗,今日K金金价
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,23,科技类股票信息查询,24,2.4,711,3.4,查询可报价品种实时行情与价格,91.8,0.919,0.993,-0.074,中天科技股票能长期持有吗,晶科科技股票
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,58,查询黄金价格,24,2.4,857,2.8,查询可报价品种实时行情与价格,87.9,0.802,0.979,-0.177,黄金价格还会上涨吗,黄金多少价格一克
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,17,查询保险公司信息,23,2.3,539,4.3,解析裸非可报价名称,18.6,0.896,0.972,-0.077,长鑫最受益的10家公司是,中华保险公司是大公司还是小公司
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,71,查询价格与金额,22,2.2,503,4.4,查询利率、费率、限额并试算利息/还款,43.3,0.883,0.967,-0.084,市盈率多少比较合适,多肉币能卖多少钱
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,12,金融业务操作与问题处理方法查询,19,1.9,805,2.4,获取银行/支付业务办理步骤与所需资料,56.6,0.803,0.955,-0.153,中关村机构买入股票会怎么样,陌生人转钱到我银行怎么办
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,0,股票代码查询,15,1.5,1717,0.9,查询可报价品种实时行情与价格,87.5,0.848,0.969,-0.121,600703有前景吗?,600281
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,1,查询300开头股票代码与行情,13,1.3,616,2.1,查询可报价品种实时行情与价格,74.4,0.831,0.97,-0.139,300329股票还能涨吗,300300
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,72,金融代码查询,10,1.0,445,2.2,查询可报价品种实时行情与价格,51.7,0.823,0.924,-0.1,012060还能继续买入吗,301458
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,26,查询个股股票行情与股吧讨论,10,1.0,456,2.2,查询可报价品种实时行情与价格,71.1,0.875,0.969,-0.094,太极实业股票的前景怎样,富祥药业股票
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,30,股票行情与选股建议查询,117,57.1,2240,5.2,查询可报价品种实时行情与价格,24.6,0.826,0.987,-0.161,为什么新股上市都会暴涨,a股上市第一天涨幅最大的股票
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,30,股票行情与选股建议查询,278,28.5,2240,12.4,查询可报价品种实时行情与价格,24.6,0.845,0.994,-0.149,华润新能什么时候上市,a股还有那些个股没涨
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,66,金融行情数据查询,145,14.9,481,30.1,查询个股与公司层面的消息、公告与进度,30.1,0.947,0.994,-0.046,2026年预告中报利润高的企业,硫酸价格2025年与2026年对比行情
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,22,查询科技股与科创板信息,86,8.8,418,20.6,查询可报价品种实时行情与价格,30.9,0.916,0.986,-0.071,荣科科技最新公告,科创板股票自
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,31,查询财经门户与市场行情,74,7.6,1464,5.1,查询可报价品种实时行情与价格,32.1,0.875,0.977,-0.101,*ST东通最新消息今天,东方财富网官方首页财经
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,45,查询股份公司及股票信息,44,4.5,808,5.4,查询可报价品种实时行情与价格,82.5,0.853,0.991,-0.137,中设股份最新消息,领先股份
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,17,查询保险公司信息,42,4.3,539,7.8,解析裸非可报价名称,18.6,0.835,0.983,-0.149,与铍相关的上市公司,中华保险公司是大公司还是小公司
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,27,查询市场行情,24,2.5,835,2.9,查询可报价品种实时行情与价格,87.1,0.719,0.974,-0.254,股市最新消息,股市行情今日行情
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,25,查询股票信息,20,2.1,5023,0.4,查询可报价品种实时行情与价格,95.5,0.839,0.965,-0.126,红旗连锁股票最新消息,哔哩哔哩股票
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,10,查询转账与账户业务可行性,18,1.8,1087,1.7,对“是不是/是A还是B”给出裁决结论,36.4,0.818,0.937,-0.119,东时转债兑付了吗,有现金可以给其它人转账吗
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,65,计算存贷款利息,15,1.5,720,2.1,查询利率、费率、限额并试算利息/还款,75.3,0.641,0.968,-0.327,大唐发电最新利好消息,银行利息1万元一年多少利息
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,7,基金净值查询,15,1.5,578,2.6,查询可报价品种实时行情与价格,51.0,0.931,0.961,-0.03,工银创新动力今天的基金净值,基金净值010793
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,36,人民币及货币信息查询,14,1.4,425,3.3,查询汇率并换算外币金额,45.2,0.68,0.954,-0.274,派币今天最新官方消息真实,人民币
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,71,查询价格与金额,14,1.4,503,2.8,查询利率、费率、限额并试算利息/还款,43.3,0.824,0.945,-0.121,汇川技术总市值多少亿,多肉币能卖多少钱
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,32,证券股票信息查询,13,1.3,479,2.7,解析裸非可报价名称,36.5,0.914,0.961,-0.047,证券公司破净资产各股,证券股票
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,12,金融业务操作与问题处理方法查询,13,1.3,805,1.6,获取银行/支付业务办理步骤与所需资料,56.6,0.804,0.939,-0.134,汇利稳健一年封闭式过往业绩怎么样,陌生人转钱到我银行怎么办
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,72,金融代码查询,12,1.2,445,2.7,查询可报价品种实时行情与价格,51.7,0.797,0.94,-0.142,001248最新消息今天,301458
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,64,查询金融业务数值与代码,11,1.1,296,3.7,查询利率、费率、限额并试算利息/还款,51.0,0.887,0.944,-0.057,国医股份申购中签率是多少,伊利股息率是多少?
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,1,查询300开头股票代码与行情,10,1.0,616,1.6,查询可报价品种实时行情与价格,74.4,0.861,0.961,-0.1,300395最新消息,300300
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,26,查询个股股票行情与股吧讨论,10,1.0,456,2.2,查询可报价品种实时行情与价格,71.1,0.788,0.964,-0.176,浙江华业股票最新消息,富祥药业股票
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,0,股票代码查询,10,1.0,1717,0.6,查询可报价品种实时行情与价格,87.5,0.784,0.957,-0.173,600279最新消息,600281
OTHER_INTENT,其他非金融意图或无明确意图,29,蚂蚁庄园今日答案查询,265,15.6,281,94.3,其他非金融意图或无明确意图,94.3,0.897,0.998,-0.101,蚂蚁庄园今日答案,蚂蚁庄园
OTHER_INTENT,其他非金融意图或无明确意图,31,查询财经门户与市场行情,129,7.6,1464,8.8,查询可报价品种实时行情与价格,32.1,0.89,0.986,-0.095,reits发行,东方财富网官方首页财经
OTHER_INTENT,其他非金融意图或无明确意图,18,查询保险相关业务,115,6.8,658,17.5,解析裸非可报价名称,21.6,0.984,0.993,-0.009,保险按照含税价赔偿,保险靠不靠谱
OTHER_INTENT,其他非金融意图或无明确意图,71,查询价格与金额,104,6.1,503,20.7,查询利率、费率、限额并试算利息/还款,43.3,0.929,0.992,-0.063,这张卡值多少钱,多肉币能卖多少钱
OTHER_INTENT,其他非金融意图或无明确意图,30,股票行情与选股建议查询,97,5.7,2240,4.3,查询可报价品种实时行情与价格,24.6,0.945,0.985,-0.039,当前吴一萍是第十，持股0.61%，是不是少于举牌持股,a股上市第一天涨幅最大的股票
OTHER_INTENT,其他非金融意图或无明确意图,19,车险购买与理赔咨询,95,5.6,491,19.3,对“是不是/是A还是B”给出裁决结论,33.8,0.972,0.991,-0.019,电动汽车买保险买车险,车险司机责任险要买吗
OTHER_INTENT,其他非金融意图或无明确意图,17,查询保险公司信息,74,4.4,539,13.7,解析裸非可报价名称,18.6,0.976,0.991,-0.015,老保险公司有哪几家,保险公司央企有哪几家
OTHER_INTENT,其他非金融意图或无明确意图,10,查询转账与账户业务可行性,69,4.1,1087,6.3,对“是不是/是A还是B”给出裁决结论,36.4,0.933,0.982,-0.049,扫码枪的钱扫到第三方账户安全吗,有现金可以给其它人转账吗
OTHER_INTENT,其他非金融意图或无明确意图,49,银行信息查询,62,3.7,1941,3.2,查询机构联系方式、网点信息及号码归属,45.1,0.93,0.984,-0.054,附近有几家银行,工商银行在
OTHER_INTENT,其他非金融意图或无明确意图,36,人民币及货币信息查询,60,3.5,425,14.1,查询汇率并换算外币金额,45.2,0.933,0.987,-0.054,第三套人民币。二分纸币,人民币
OTHER_INTENT,其他非金融意图或无明确意图,44,支付宝相关操作查询,59,3.5,778,7.6,获取银行/支付业务办理步骤与所需资料,53.5,0.964,0.992,-0.027,支付宝客服,淘宝用支付宝登录
OTHER_INTENT,其他非金融意图或无明确意图,48,银行卡业务查询与办理指导,39,2.3,1069,3.6,获取银行/支付业务办理步骤与所需资料,35.9,0.942,0.984,-0.042,银行卡收到奖金,办银行卡立马拿到卡吗
OTHER_INTENT,其他非金融意图或无明确意图,72,金融代码查询,37,2.2,445,8.3,查询可报价品种实时行情与价格,51.7,0.906,0.976,-0.07,10.84呢,301458
OTHER_INTENT,其他非金融意图或无明确意图,52,下载安装金融类App,31,1.8,544,5.7,打开目标页面或获取官方应用入口,71.9,0.884,0.984,-0.1,欧易app 瓯易app如何提币 gzfhm.org.cn,币安App下载
OTHER_INTENT,其他非金融意图或无明确意图,11,查询金融术语含义,30,1.8,820,3.7,解释金融术语与交易/业务规则,87.7,0.931,0.979,-0.048,aum在银行什么意思啊,带资入股是什么意思
OTHER_INTENT,其他非金融意图或无明确意图,12,金融业务操作与问题处理方法查询,29,1.7,805,3.6,获取银行/支付业务办理步骤与所需资料,56.6,0.938,0.971,-0.033,筹码够不够干净怎么看,陌生人转钱到我银行怎么办
OTHER_INTENT,其他非金融意图或无明确意图,43,支付方式使用与设置查询,21,1.2,366,5.7,获取银行/支付业务办理步骤与所需资料,36.1,0.909,0.962,-0.053,免密支付在哪里关闭,微信小程序未支付订单再支付
OTHER_INTENT,其他非金融意图或无明确意图,60,市场价格行情查询,20,1.2,458,4.4,查询可报价品种实时行情与价格,89.3,0.868,0.963,-0.095,92年一分钱硬币价格,金价最新价格今日
OTHER_INTENT,其他非金融意图或无明确意图,25,查询股票信息,20,1.2,5023,0.4,查询可报价品种实时行情与价格,95.5,0.895,0.966,-0.071,遇见小面股票,哔哩哔哩股票
OTHER_INTENT,其他非金融意图或无明确意图,8,查询贷款信息,19,1.1,845,2.2,对“是不是/是A还是B”给出裁决结论,25.1,0.923,0.962,-0.039,纪小满贷款近期情况,有车贷款还能在银行申请经营贷款吗
OTHER_INTENT,其他非金融意图或无明确意图,50,农业银行及农村信用社服务信息查询,19,1.1,632,3.0,查询机构联系方式、网点信息及号码归属,51.7,0.943,0.971,-0.028,农业银行有两张卡,附近的农业银行
OTHER_INTENT,其他非金融意图或无明确意图,67,贷款月供计算,18,1.1,222,8.1,查询利率、费率、限额并试算利息/还款,71.6,0.781,0.967,-0.185,"投14万,盈利3万",贷款25万10年每月还贷款多少
OTHER_INTENT,其他非金融意图或无明确意图,66,金融行情数据查询,17,1.0,481,3.5,查询个股与公司层面的消息、公告与进度,30.1,0.903,0.965,-0.062,全家便利 2026年 银行活动,硫酸价格2025年与2026年对比行情
OTHER_INTENT,其他非金融意图或无明确意图,15,查询借款平台正规性,17,1.0,345,4.9,核验机构平台与金融信息来源的真伪资质,49.0,0.908,0.967,-0.059,余利宝是干那个平台的,哪个借款平台比较正规
OTHER_INTENT,其他非金融意图或无明确意图,53,中国银行服务信息查询,16,0.9,407,3.9,查询机构联系方式、网点信息及号码归属,36.4,0.932,0.969,-0.037,中国国有银行有哪几家,中国银行系统
OTHER_INTENT,其他非金融意图或无明确意图,22,查询科技股与科创板信息,14,0.8,418,3.3,查询可报价品种实时行情与价格,30.9,0.881,0.939,-0.057,华脉科技资金流向,科创板股票自
OTHER_INTENT,其他非金融意图或无明确意图,13,花呗操作查询,14,0.8,299,4.7,获取银行/支付业务办理步骤与所需资料,27.1,0.868,0.952,-0.084,花花卡好下款吗,花呗停催
OTHER_INTENT,其他非金融意图或无明确意图,21,保险公司电话查询,14,0.8,272,5.1,查询机构联系方式、网点信息及号码归属,66.5,0.832,0.967,-0.135,平安保险雇主责任险,平安保险车险电话
OTHER_INTENT,其他非金融意图或无明确意图,27,查询市场行情,13,0.8,835,1.6,查询可报价品种实时行情与价格,87.1,0.82,0.947,-0.127,徐小明今日股市直播,股市行情今日行情
OTHER_INTENT,其他非金融意图或无明确意图,64,查询金融业务数值与代码,13,0.8,296,4.4,查询利率、费率、限额并试算利息/还款,51.0,0.887,0.955,-0.068,三角洲1m是多少哈弗币啊,伊利股息率是多少?
OTHER_INTENT,其他非金融意图或无明确意图,7,基金净值查询,13,0.8,578,2.2,查询可报价品种实时行情与价格,51.0,0.896,0.951,-0.055,每天投入5元买基金,基金净值010793
OTHER_INTENT,其他非金融意图或无明确意图,32,证券股票信息查询,12,0.7,479,2.5,解析裸非可报价名称,36.5,0.939,0.964,-0.025,"银河证券与海通证券,哪个好",证券股票
OTHER_INTENT,其他非金融意图或无明确意图,70,查询定期存款利率,11,0.6,350,3.1,查询利率、费率、限额并试算利息/还款,39.4,0.897,0.95,-0.053,"银行存款的人不在了,钱能不能取出来",银行定期存款利率是多少
OTHER_INTENT,其他非金融意图或无明确意图,35,货币兑换金额换算查询,11,0.6,1249,0.9,查询汇率并换算外币金额,97.4,0.876,0.967,-0.091,1亿音浪等于多少人民币,韩币1万等于多少人民币
OTHER_INTENT,其他非金融意图或无明确意图,47,查询办理信用卡业务,11,0.6,561,2.0,获取银行/支付业务办理步骤与所需资料,20.1,0.925,0.956,-0.031,今天办了一张邮储银行信用卡,信用卡也要激活吗
OTHER_INTENT,其他非金融意图或无明确意图,16,查询人寿保险相关业务信息,11,0.6,209,5.3,查询机构联系方式、网点信息及号码归属,25.8,0.927,0.962,-0.034,中国人寿寿险国寿福终身寿险,中国人寿保险
OTHER_INTENT,其他非金融意图或无明确意图,28,股指行情查询,10,0.6,566,1.8,查询可报价品种实时行情与价格,80.9,0.835,0.948,-0.113,小型纳指当月连续,股票指数
PAGE_NAV,打开目标页面或获取官方应用入口,24,证券股吧查询,2061,55.6,2079,99.1,打开目标页面或获取官方应用入口,99.1,0.843,0.999,-0.156,优必选股吧,红棉股票股吧最新消息
PAGE_NAV,打开目标页面或获取官方应用入口,52,下载安装金融类App,391,10.5,544,71.9,打开目标页面或获取官方应用入口,71.9,0.899,0.997,-0.097,手机银行app下载安装官方免费下载,银行app怎么导出账单
PAGE_NAV,打开目标页面或获取官方应用入口,31,查询财经门户与市场行情,246,6.6,1464,16.8,查询可报价品种实时行情与价格,32.1,0.706,0.991,-0.285,东方财富网官网,st闻泰股票东方财富网
PAGE_NAV,打开目标页面或获取官方应用入口,46,查询股份股票及股吧信息,204,5.5,615,33.2,查询可报价品种实时行情与价格,65.0,0.855,0.998,-0.143,综艺股份股吧,领先股份股票
PAGE_NAV,打开目标页面或获取官方应用入口,0,股票代码查询,157,4.2,1717,9.1,查询可报价品种实时行情与价格,87.5,0.854,0.997,-0.142,002791坚朗五金股吧,600281
PAGE_NAV,打开目标页面或获取官方应用入口,26,查询个股股票行情与股吧讨论,98,2.6,456,21.5,查询可报价品种实时行情与价格,71.1,0.853,0.996,-0.142,誉盛药业股吧,富祥药业股票
PAGE_NAV,打开目标页面或获取官方应用入口,1,查询300开头股票代码与行情,94,2.5,616,15.3,查询可报价品种实时行情与价格,74.4,0.863,0.996,-0.133,300130新国都股吧,300300
PAGE_NAV,打开目标页面或获取官方应用入口,32,证券股票信息查询,44,1.2,479,9.2,解析裸非可报价名称,36.5,0.929,0.988,-0.059,浙商证券股吧,证券股票
PAGE_NAV,打开目标页面或获取官方应用入口,72,金融代码查询,41,1.1,445,9.2,查询可报价品种实时行情与价格,51.7,0.887,0.98,-0.092,001248股吧,301458
PAGE_NAV,打开目标页面或获取官方应用入口,14,个人征信报告查询与影响咨询,34,0.9,381,8.9,解释金融术语与交易/业务规则,22.3,0.787,0.985,-0.198,中国人民征信中心官网查询,征信是信用报告吗
PAGE_NAV,打开目标页面或获取官方应用入口,44,支付宝相关操作查询,29,0.8,778,3.7,获取银行/支付业务办理步骤与所需资料,53.5,0.854,0.983,-0.129,下载支付宝,支付宝怎么知道被拉黑或者被删
PAGE_NAV,打开目标页面或获取官方应用入口,8,查询贷款信息,25,0.7,845,3.0,对“是不是/是A还是B”给出裁决结论,25.1,0.742,0.971,-0.229,生源地助学贷款官网登录入口,有车贷款还能在银行申请经营贷款吗
PAGE_NAV,打开目标页面或获取官方应用入口,49,银行信息查询,24,0.6,1941,1.2,查询机构联系方式、网点信息及号码归属,45.1,0.92,0.964,-0.045,银行的网上银行,工商银行在
PAGE_NAV,打开目标页面或获取官方应用入口,58,查询黄金价格,19,0.5,857,2.2,查询可报价品种实时行情与价格,87.9,0.714,0.973,-0.259,9.1黄金网站,黄金多少价格一克
PAGE_NAV,打开目标页面或获取官方应用入口,15,查询借款平台正规性,19,0.5,345,5.5,核验机构平台与金融信息来源的真伪资质,49.0,0.904,0.969,-0.065,网易宝是什么平台,哪个借款平台比较正规
PAGE_NAV,打开目标页面或获取官方应用入口,6,查询股票代码与指数信息,19,0.5,420,4.5,查询可报价品种实时行情与价格,79.8,0.858,0.981,-0.122,中兴通讯000063股吧,000006
PAGE_NAV,打开目标页面或获取官方应用入口,27,查询市场行情,17,0.5,835,2.0,查询可报价品种实时行情与价格,87.1,0.698,0.961,-0.262,行情网站www/大全百度,股市行情今日行情
PAGE_NAV,打开目标页面或获取官方应用入口,16,查询人寿保险相关业务信息,16,0.4,209,7.7,查询机构联系方式、网点信息及号码归属,25.8,0.868,0.974,-0.106,中国人寿寿险app官网免费下载,中国人寿保险
PAGE_NAV,打开目标页面或获取官方应用入口,2,证券代码信息查询,14,0.4,116,12.1,查询可报价品种实时行情与价格,72.4,0.911,0.98,-0.069,688981股吧,688820
PAGE_NAV,打开目标页面或获取官方应用入口,7,基金净值查询,13,0.4,578,2.2,查询可报价品种实时行情与价格,51.0,0.893,0.95,-0.057,华宝兴业基金官网,基金净值010793
PAGE_NAV,打开目标页面或获取官方应用入口,18,查询保险相关业务,13,0.4,658,2.0,解析裸非可报价名称,21.6,0.89,0.954,-0.065,菏泽华安保险,保险靠不靠谱
PAGE_NAV,打开目标页面或获取官方应用入口,53,中国银行服务信息查询,12,0.3,407,2.9,查询机构联系方式、网点信息及号码归属,36.4,0.892,0.96,-0.068,中国银行官网,中国银行系统
PAGE_NAV,打开目标页面或获取官方应用入口,21,保险公司电话查询,11,0.3,272,4.0,查询机构联系方式、网点信息及号码归属,66.5,0.785,0.958,-0.173,平安保险官网,平安保险车险电话
PAGE_NAV,打开目标页面或获取官方应用入口,25,查询股票信息,11,0.3,5023,0.2,查询可报价品种实时行情与价格,95.5,0.877,0.941,-0.064,兑吧股票,哔哩哔哩股票
PAGE_NAV,打开目标页面或获取官方应用入口,50,农业银行及农村信用社服务信息查询,10,0.3,632,1.6,查询机构联系方式、网点信息及号码归属,51.7,0.912,0.942,-0.031,中国农业银行官网,附近的农业银行
QUOTE_LOOKUP,查询可报价品种实时行情与价格,25,查询股票信息,4797,31.1,5023,95.5,查询可报价品种实时行情与价格,95.5,0.941,0.999,-0.058,哔哩哔哩股票,股票的优缺点
QUOTE_LOOKUP,查询可报价品种实时行情与价格,0,股票代码查询,1503,9.8,1717,87.5,查询可报价品种实时行情与价格,87.5,0.888,0.999,-0.111,600281,002751股票股吧
QUOTE_LOOKUP,查询可报价品种实时行情与价格,58,查询黄金价格,753,4.9,857,87.9,查询可报价品种实时行情与价格,87.9,0.854,0.998,-0.143,今日黄金价格多少钱一克,黄金突然涨了
QUOTE_LOOKUP,查询可报价品种实时行情与价格,27,查询市场行情,727,4.7,835,87.1,查询可报价品种实时行情与价格,87.1,0.901,0.997,-0.096,股市行情今日行情,今天股市最新消息
QUOTE_LOOKUP,查询可报价品种实时行情与价格,45,查询股份公司及股票信息,667,4.3,808,82.5,查询可报价品种实时行情与价格,82.5,0.936,0.998,-0.062,领先股份,星宇股份是股票吗？
QUOTE_LOOKUP,查询可报价品种实时行情与价格,23,科技类股票信息查询,653,4.2,711,91.8,查询可报价品种实时行情与价格,91.8,0.95,0.999,-0.049,晶科科技股票,青木科技股票能否留着?
QUOTE_LOOKUP,查询可报价品种实时行情与价格,30,股票行情与选股建议查询,550,3.6,2240,24.6,查询可报价品种实时行情与价格,24.6,0.885,0.996,-0.112,qqq股价,新股上市后前几个交易日不设涨停
QUOTE_LOOKUP,查询可报价品种实时行情与价格,59,实时行情查询,523,3.4,528,99.1,查询可报价品种实时行情与价格,99.1,,,,韩股行情实时行情,
QUOTE_LOOKUP,查询可报价品种实时行情与价格,31,查询财经门户与市场行情,470,3.1,1464,32.1,查询可报价品种实时行情与价格,32.1,0.877,0.995,-0.117,pta期货,东方财富网官方首页财经
QUOTE_LOOKUP,查询可报价品种实时行情与价格,28,股指行情查询,458,3.0,566,80.9,查询可报价品种实时行情与价格,80.9,0.957,0.996,-0.039,股票指数,上证指数!
QUOTE_LOOKUP,查询可报价品种实时行情与价格,1,查询300开头股票代码与行情,458,3.0,616,74.4,查询可报价品种实时行情与价格,74.4,0.894,0.998,-0.103,300300,300130新国都股吧
QUOTE_LOOKUP,查询可报价品种实时行情与价格,63,查询价格走势图,446,2.9,512,87.1,查询可报价品种实时行情与价格,87.1,0.88,0.996,-0.116,金价走势最新走势图,预计明天大盘走势如何
QUOTE_LOOKUP,查询可报价品种实时行情与价格,60,市场价格行情查询,409,2.7,458,89.3,查询可报价品种实时行情与价格,89.3,0.911,0.994,-0.083,金价最新价格今日,股票发行价的价格是整体偏高还是偏低
QUOTE_LOOKUP,查询可报价品种实时行情与价格,46,查询股份股票及股吧信息,400,2.6,615,65.0,查询可报价品种实时行情与价格,65.0,0.865,0.999,-0.134,领先股份股票,综艺股份股吧
QUOTE_LOOKUP,查询可报价品种实时行情与价格,62,查询金价,397,2.6,455,87.3,查询可报价品种实时行情与价格,87.3,0.82,0.996,-0.176,今日K金金价,金价还会继续跌吗
QUOTE_LOOKUP,查询可报价品种实时行情与价格,6,查询股票代码与指数信息,335,2.2,420,79.8,查询可报价品种实时行情与价格,79.8,0.905,0.996,-0.091,000006,1000多块钱
QUOTE_LOOKUP,查询可报价品种实时行情与价格,26,查询个股股票行情与股吧讨论,324,2.1,456,71.1,查询可报价品种实时行情与价格,71.1,0.889,0.997,-0.108,富祥药业股票,誉盛药业股吧
QUOTE_LOOKUP,查询可报价品种实时行情与价格,7,基金净值查询,295,1.9,578,51.0,查询可报价品种实时行情与价格,51.0,0.759,0.995,-0.237,001184基金净值查询今天最新净值,自选基金天天基金
QUOTE_LOOKUP,查询可报价品种实时行情与价格,72,金融代码查询,230,1.5,445,51.7,查询可报价品种实时行情与价格,51.7,0.937,0.992,-0.056,301458,001248股吧
QUOTE_LOOKUP,查询可报价品种实时行情与价格,73,证券代码信息查询,145,0.9,159,91.2,查询可报价品种实时行情与价格,91.2,0.919,0.996,-0.077,000908,www.000818
QUOTE_LOOKUP,查询可报价品种实时行情与价格,22,查询科技股与科创板信息,129,0.8,418,30.9,查询可报价品种实时行情与价格,30.9,0.919,0.99,-0.071,朗科科技 股票,红板科技是科创板吗
QUOTE_LOOKUP,查询可报价品种实时行情与价格,66,金融行情数据查询,124,0.8,481,25.8,查询个股与公司层面的消息、公告与进度,30.1,0.953,0.993,-0.04,深科技2026年1月20日收盘价,2026年预告中报利润高的企业
QUOTE_LOOKUP,查询可报价品种实时行情与价格,32,证券股票信息查询,113,0.7,479,23.6,解析裸非可报价名称,36.5,0.952,0.995,-0.043,证券股票,浙商证券
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2,证券代码信息查询,84,0.5,116,72.4,查询可报价品种实时行情与价格,72.4,0.94,0.991,-0.051,688820,688981股吧
QUOTE_LOOKUP,查询可报价品种实时行情与价格,71,查询价格与金额,72,0.5,503,14.3,查询利率、费率、限额并试算利息/还款,43.3,0.909,0.987,-0.078,起点市值多少亿,炒股一般投多少钱
QUOTE_LOOKUP,查询可报价品种实时行情与价格,36,人民币及货币信息查询,42,0.3,425,9.9,查询汇率并换算外币金额,45.2,0.84,0.981,-0.141,莱特币,人民币
QUOTE_LOOKUP,查询可报价品种实时行情与价格,49,银行信息查询,42,0.3,1941,2.2,查询机构联系方式、网点信息及号码归属,45.1,0.767,0.979,-0.212,工商银行股票,工商银行在
QUOTE_LOOKUP,查询可报价品种实时行情与价格,53,中国银行服务信息查询,33,0.2,407,8.1,查询机构联系方式、网点信息及号码归属,36.4,0.867,0.983,-0.117,中国银河股票,中国银行系统
QUOTE_LOOKUP,查询可报价品种实时行情与价格,64,查询金融业务数值与代码,32,0.2,296,10.8,查询利率、费率、限额并试算利息/还款,51.0,0.88,0.978,-0.098,牧原股票发行价是多少,伊利股息率是多少?
QUOTE_LOOKUP,查询可报价品种实时行情与价格,17,查询保险公司信息,21,0.1,539,3.9,解析裸非可报价名称,18.6,0.834,0.969,-0.135,文远知行公司股票,中华保险公司是大公司还是小公司
QUOTE_LOOKUP,查询可报价品种实时行情与价格,3,查询电话号码归属,20,0.1,308,6.5,查询机构联系方式、网点信息及号码归属,91.6,0.799,0.984,-0.185,95508,95595是什么电话
