外层,外层名,快照,source,n,内层,内层名,条数,占比%,95CI低%,95CI高%
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2026搜索,2026search,54,INVEST_ADVICE__3,INVEST_ADVICE__3,30,55.56,42.38,68.0
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2026搜索,2026search,54,INVEST_ADVICE__1,INVEST_ADVICE__1,9,16.67,9.02,28.74
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2026搜索,2026search,54,INVEST_ADVICE__2,INVEST_ADVICE__2,9,16.67,9.02,28.74
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2026搜索,2026search,54,INVEST_ADVICE__4,INVEST_ADVICE__4,6,11.11,5.19,22.19
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,2026搜索,2026search,40,ENTITY_IDENTITY_CHECK__1,ENTITY_IDENTITY_CHECK__1,40,100.0,91.24,100.0
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,2026搜索,2026search,5,MARKET_MOVEMENT_EXPLAIN__1,MARKET_MOVEMENT_EXPLAIN__1,5,100.0,56.55,100.0
TXN_ISSUE,排查账户与交易异常,2026搜索,2026search,17,TXN_ISSUE__1,TXN_ISSUE__1,5,29.41,13.28,53.13
TXN_ISSUE,排查账户与交易异常,2026搜索,2026search,17,TXN_ISSUE__5,TXN_ISSUE__5,5,29.41,13.28,53.13
TXN_ISSUE,排查账户与交易异常,2026搜索,2026search,17,TXN_ISSUE__2,TXN_ISSUE__2,3,17.65,6.19,41.03
TXN_ISSUE,排查账户与交易异常,2026搜索,2026search,17,TXN_ISSUE__4,TXN_ISSUE__4,2,11.76,3.29,34.34
TXN_ISSUE,排查账户与交易异常,2026搜索,2026search,17,TXN_ISSUE__3,TXN_ISSUE__3,2,11.76,3.29,34.34
COMPARISON_DECISION,比较两个金融对象并给出取舍,2026搜索,2026search,6,COMPARISON_DECISION__1,COMPARISON_DECISION__1,6,100.0,60.97,100.0
DEBT_DISTRESS,处理逾期催收与还款困境,2026搜索,2026search,2,DEBT_DISTRESS__1,DEBT_DISTRESS__1,2,100.0,34.24,100.0
RATE_CALC,查询利率、费率、限额并试算利息/还款,2026搜索随机1w,2026search_rand,822,RATE_CALC__1,RATE_CALC__1,443,53.89,50.47,57.27
RATE_CALC,查询利率、费率、限额并试算利息/还款,2026搜索随机1w,2026search_rand,822,RATE_CALC__2,RATE_CALC__2,379,46.11,42.73,49.53
FX_CONVERT,查询汇率并换算外币金额,2026搜索随机1w,2026search_rand,627,FX_CONVERT__2,FX_CONVERT__2,379,60.45,56.57,64.2
FX_CONVERT,查询汇率并换算外币金额,2026搜索随机1w,2026search_rand,627,FX_CONVERT__1,FX_CONVERT__1,248,39.55,35.8,43.43
PAGE_NAV,打开目标页面或获取官方应用入口,2026搜索随机1w,2026search_rand,320,PAGE_NAV__1,PAGE_NAV__1,161,50.31,44.86,55.75
PAGE_NAV,打开目标页面或获取官方应用入口,2026搜索随机1w,2026search_rand,320,PAGE_NAV__2,PAGE_NAV__2,159,49.69,44.25,55.14
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2026搜索随机1w,2026search_rand,1667,QUOTE_LOOKUP__2,QUOTE_LOOKUP__2,990,59.39,57.01,61.72
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2026搜索随机1w,2026search_rand,1667,QUOTE_LOOKUP__1,QUOTE_LOOKUP__1,454,27.23,25.15,29.42
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2026搜索随机1w,2026search_rand,1667,QUOTE_LOOKUP__3,QUOTE_LOOKUP__3,223,13.38,11.83,15.1
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2026搜索随机1w,2026search_rand,954,HOWTO_OPERATE__6,HOWTO_OPERATE__6,312,32.7,29.8,35.75
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2026搜索随机1w,2026search_rand,954,HOWTO_OPERATE__2,HOWTO_OPERATE__2,204,21.38,18.9,24.1
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2026搜索随机1w,2026search_rand,954,HOWTO_OPERATE__5,HOWTO_OPERATE__5,124,13.0,11.01,15.28
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2026搜索随机1w,2026search_rand,954,HOWTO_OPERATE__1,HOWTO_OPERATE__1,123,12.89,10.91,15.17
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2026搜索随机1w,2026search_rand,954,HOWTO_OPERATE__4,HOWTO_OPERATE__4,123,12.89,10.91,15.17
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2026搜索随机1w,2026search_rand,954,HOWTO_OPERATE__3,HOWTO_OPERATE__3,68,7.13,5.66,8.94
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2026搜索随机1w,2026search_rand,1071,CONCEPT_EXPLAIN__2,CONCEPT_EXPLAIN__2,569,53.13,50.13,56.1
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2026搜索随机1w,2026search_rand,1071,CONCEPT_EXPLAIN__3,CONCEPT_EXPLAIN__3,416,38.84,35.97,41.8
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2026搜索随机1w,2026search_rand,1071,CONCEPT_EXPLAIN__1,CONCEPT_EXPLAIN__1,86,8.03,6.55,9.81
TXN_ISSUE,排查账户与交易异常,2026搜索随机1w,2026search_rand,417,TXN_ISSUE__3,TXN_ISSUE__3,137,32.85,28.52,37.5
TXN_ISSUE,排查账户与交易异常,2026搜索随机1w,2026search_rand,417,TXN_ISSUE__5,TXN_ISSUE__5,105,25.18,21.25,29.56
TXN_ISSUE,排查账户与交易异常,2026搜索随机1w,2026search_rand,417,TXN_ISSUE__1,TXN_ISSUE__1,88,21.1,17.46,25.27
TXN_ISSUE,排查账户与交易异常,2026搜索随机1w,2026search_rand,417,TXN_ISSUE__4,TXN_ISSUE__4,54,12.95,10.06,16.51
TXN_ISSUE,排查账户与交易异常,2026搜索随机1w,2026search_rand,417,TXN_ISSUE__2,TXN_ISSUE__2,33,7.91,5.69,10.91
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2026搜索随机1w,2026search_rand,907,CONTACT_BRANCH_LOOKUP__3,CONTACT_BRANCH_LOOKUP__3,551,60.75,57.53,63.88
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2026搜索随机1w,2026search_rand,907,CONTACT_BRANCH_LOOKUP__4,CONTACT_BRANCH_LOOKUP__4,157,17.31,14.99,19.91
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2026搜索随机1w,2026search_rand,907,CONTACT_BRANCH_LOOKUP__2,CONTACT_BRANCH_LOOKUP__2,102,11.25,9.35,13.47
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2026搜索随机1w,2026search_rand,907,CONTACT_BRANCH_LOOKUP__5,CONTACT_BRANCH_LOOKUP__5,65,7.17,5.66,9.03
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2026搜索随机1w,2026search_rand,907,CONTACT_BRANCH_LOOKUP__1,CONTACT_BRANCH_LOOKUP__1,32,3.53,2.51,4.94
OTHER_INTENT,其他非金融意图或无明确意图,2026搜索随机1w,2026search_rand,529,OTHER_INTENT__4,OTHER_INTENT__4,166,31.38,27.57,35.46
OTHER_INTENT,其他非金融意图或无明确意图,2026搜索随机1w,2026search_rand,529,OTHER_INTENT__3,OTHER_INTENT__3,149,28.17,24.5,32.15
OTHER_INTENT,其他非金融意图或无明确意图,2026搜索随机1w,2026search_rand,529,OTHER_INTENT__1,OTHER_INTENT__1,116,21.93,18.61,25.65
OTHER_INTENT,其他非金融意图或无明确意图,2026搜索随机1w,2026search_rand,529,OTHER_INTENT__5,OTHER_INTENT__5,76,14.37,11.63,17.61
OTHER_INTENT,其他非金融意图或无明确意图,2026搜索随机1w,2026search_rand,529,OTHER_INTENT__2,OTHER_INTENT__2,22,4.16,2.76,6.22
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2026搜索随机1w,2026search_rand,421,INVEST_ADVICE__2,INVEST_ADVICE__2,188,44.66,39.98,49.43
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2026搜索随机1w,2026search_rand,421,INVEST_ADVICE__1,INVEST_ADVICE__1,153,36.34,31.89,41.04
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2026搜索随机1w,2026search_rand,421,INVEST_ADVICE__3,INVEST_ADVICE__3,55,13.06,10.18,16.62
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2026搜索随机1w,2026search_rand,421,INVEST_ADVICE__4,INVEST_ADVICE__4,25,5.94,4.05,8.62
COMPARISON_DECISION,比较两个金融对象并给出取舍,2026搜索随机1w,2026search_rand,111,COMPARISON_DECISION__1,COMPARISON_DECISION__1,111,100.0,96.65,100.0
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2026搜索随机1w,2026search_rand,900,VERDICT_QUESTION__2,VERDICT_QUESTION__2,577,64.11,60.92,67.18
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2026搜索随机1w,2026search_rand,900,VERDICT_QUESTION__1,VERDICT_QUESTION__1,323,35.89,32.82,39.08
STATUS_DECODE,解读粘贴的提示与界面状态,2026搜索随机1w,2026search_rand,22,STATUS_DECODE__1,STATUS_DECODE__1,22,100.0,85.13,100.0
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2026搜索随机1w,2026search_rand,459,NEWS_EVENT__1,NEWS_EVENT__1,208,45.32,40.82,49.89
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2026搜索随机1w,2026search_rand,459,NEWS_EVENT__5,NEWS_EVENT__5,107,23.31,19.67,27.39
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2026搜索随机1w,2026search_rand,459,NEWS_EVENT__2,NEWS_EVENT__2,75,16.34,13.24,20.0
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2026搜索随机1w,2026search_rand,459,NEWS_EVENT__3,NEWS_EVENT__3,48,10.46,7.98,13.59
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2026搜索随机1w,2026search_rand,459,NEWS_EVENT__4,NEWS_EVENT__4,21,4.58,3.01,6.89
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2026搜索随机1w,2026search_rand,411,RESOLVE_BARE_ENTITY__2,RESOLVE_BARE_ENTITY__2,127,30.9,26.63,35.53
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2026搜索随机1w,2026search_rand,411,RESOLVE_BARE_ENTITY__5,RESOLVE_BARE_ENTITY__5,81,19.71,16.15,23.83
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2026搜索随机1w,2026search_rand,411,RESOLVE_BARE_ENTITY__3,RESOLVE_BARE_ENTITY__3,71,17.27,13.93,21.23
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2026搜索随机1w,2026search_rand,411,RESOLVE_BARE_ENTITY__1,RESOLVE_BARE_ENTITY__1,59,14.36,11.3,18.08
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2026搜索随机1w,2026search_rand,411,RESOLVE_BARE_ENTITY__6,RESOLVE_BARE_ENTITY__6,48,11.68,8.92,15.14
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2026搜索随机1w,2026search_rand,411,RESOLVE_BARE_ENTITY__4,RESOLVE_BARE_ENTITY__4,25,6.08,4.15,8.83
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2026搜索随机1w,2026search_rand,100,ENTITY_VERIFY__2,ENTITY_VERIFY__2,66,66.0,56.28,74.54
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2026搜索随机1w,2026search_rand,100,ENTITY_VERIFY__1,ENTITY_VERIFY__1,34,34.0,25.46,43.72
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,2026搜索随机1w,2026search_rand,99,MARKET_MOVEMENT_EXPLAIN__1,MARKET_MOVEMENT_EXPLAIN__1,99,100.0,96.26,100.0
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,2026搜索随机1w,2026search_rand,118,ENTITY_IDENTITY_CHECK__1,ENTITY_IDENTITY_CHECK__1,118,100.0,96.85,100.0
SEEK_CREDIT_WORKAROUND,寻找绕征信借款或评估征信修复,2026搜索随机1w,2026search_rand,4,SEEK_CREDIT_WORKAROUND__1,SEEK_CREDIT_WORKAROUND__1,4,100.0,51.01,100.0
DEBT_DISTRESS,处理逾期催收与还款困境,2026搜索随机1w,2026search_rand,41,DEBT_DISTRESS__1,DEBT_DISTRESS__1,41,100.0,91.43,100.0
QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手头部1k,assistant_top,456,QUOTE_LOOKUP__2,QUOTE_LOOKUP__2,293,64.25,59.75,68.52
QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手头部1k,assistant_top,456,QUOTE_LOOKUP__1,QUOTE_LOOKUP__1,151,33.11,28.95,37.56
QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手头部1k,assistant_top,456,QUOTE_LOOKUP__3,QUOTE_LOOKUP__3,12,2.63,1.51,4.54
RATE_CALC,查询利率、费率、限额并试算利息/还款,助手头部1k,assistant_top,29,RATE_CALC__1,RATE_CALC__1,22,75.86,57.89,87.78
RATE_CALC,查询利率、费率、限额并试算利息/还款,助手头部1k,assistant_top,29,RATE_CALC__2,RATE_CALC__2,7,24.14,12.22,42.11
FX_CONVERT,查询汇率并换算外币金额,助手头部1k,assistant_top,84,FX_CONVERT__1,FX_CONVERT__1,67,79.76,69.96,86.96
FX_CONVERT,查询汇率并换算外币金额,助手头部1k,assistant_top,84,FX_CONVERT__2,FX_CONVERT__2,17,20.24,13.04,30.04
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手头部1k,assistant_top,16,NEWS_EVENT__5,NEWS_EVENT__5,5,31.25,14.16,55.6
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手头部1k,assistant_top,16,NEWS_EVENT__1,NEWS_EVENT__1,5,31.25,14.16,55.6
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手头部1k,assistant_top,16,NEWS_EVENT__4,NEWS_EVENT__4,4,25.0,10.18,49.5
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手头部1k,assistant_top,16,NEWS_EVENT__2,NEWS_EVENT__2,2,12.5,3.5,36.02
TXN_ISSUE,排查账户与交易异常,助手头部1k,assistant_top,44,TXN_ISSUE__3,TXN_ISSUE__3,30,68.18,53.44,80.0
TXN_ISSUE,排查账户与交易异常,助手头部1k,assistant_top,44,TXN_ISSUE__2,TXN_ISSUE__2,6,13.64,6.4,26.71
TXN_ISSUE,排查账户与交易异常,助手头部1k,assistant_top,44,TXN_ISSUE__4,TXN_ISSUE__4,5,11.36,4.95,23.98
TXN_ISSUE,排查账户与交易异常,助手头部1k,assistant_top,44,TXN_ISSUE__1,TXN_ISSUE__1,3,6.82,2.35,18.23
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,助手头部1k,assistant_top,62,INVEST_ADVICE__4,INVEST_ADVICE__4,20,32.26,21.95,44.63
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,助手头部1k,assistant_top,62,INVEST_ADVICE__2,INVEST_ADVICE__2,19,30.65,20.58,42.97
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,助手头部1k,assistant_top,62,INVEST_ADVICE__1,INVEST_ADVICE__1,17,27.42,17.88,39.59
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,助手头部1k,assistant_top,62,INVEST_ADVICE__3,INVEST_ADVICE__3,6,9.68,4.51,19.55
OTHER_INTENT,其他非金融意图或无明确意图,助手头部1k,assistant_top,59,OTHER_INTENT__2,OTHER_INTENT__2,33,55.93,43.29,67.85
OTHER_INTENT,其他非金融意图或无明确意图,助手头部1k,assistant_top,59,OTHER_INTENT__5,OTHER_INTENT__5,11,18.64,10.74,30.38
OTHER_INTENT,其他非金融意图或无明确意图,助手头部1k,assistant_top,59,OTHER_INTENT__3,OTHER_INTENT__3,6,10.17,4.74,20.46
OTHER_INTENT,其他非金融意图或无明确意图,助手头部1k,assistant_top,59,OTHER_INTENT__4,OTHER_INTENT__4,5,8.47,3.67,18.35
OTHER_INTENT,其他非金融意图或无明确意图,助手头部1k,assistant_top,59,OTHER_INTENT__1,OTHER_INTENT__1,4,6.78,2.67,16.18
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手头部1k,assistant_top,18,CONTACT_BRANCH_LOOKUP__4,CONTACT_BRANCH_LOOKUP__4,9,50.0,29.03,70.97
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手头部1k,assistant_top,18,CONTACT_BRANCH_LOOKUP__2,CONTACT_BRANCH_LOOKUP__2,4,22.22,9.0,45.22
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手头部1k,assistant_top,18,CONTACT_BRANCH_LOOKUP__1,CONTACT_BRANCH_LOOKUP__1,3,16.67,5.84,39.22
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手头部1k,assistant_top,18,CONTACT_BRANCH_LOOKUP__3,CONTACT_BRANCH_LOOKUP__3,2,11.11,3.1,32.8
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,助手头部1k,assistant_top,8,VERDICT_QUESTION__2,VERDICT_QUESTION__2,5,62.5,30.57,86.32
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,助手头部1k,assistant_top,8,VERDICT_QUESTION__1,VERDICT_QUESTION__1,3,37.5,13.68,69.43
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手头部1k,assistant_top,20,CONCEPT_EXPLAIN__3,CONCEPT_EXPLAIN__3,13,65.0,43.29,81.88
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手头部1k,assistant_top,20,CONCEPT_EXPLAIN__2,CONCEPT_EXPLAIN__2,7,35.0,18.12,56.71
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,助手头部1k,assistant_top,4,ENTITY_IDENTITY_CHECK__1,ENTITY_IDENTITY_CHECK__1,4,100.0,51.01,100.0
RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手头部1k,assistant_top,73,RESOLVE_BARE_ENTITY__2,RESOLVE_BARE_ENTITY__2,17,23.29,15.08,34.17
RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手头部1k,assistant_top,73,RESOLVE_BARE_ENTITY__3,RESOLVE_BARE_ENTITY__3,17,23.29,15.08,34.17
RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手头部1k,assistant_top,73,RESOLVE_BARE_ENTITY__5,RESOLVE_BARE_ENTITY__5,14,19.18,11.78,29.66
RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手头部1k,assistant_top,73,RESOLVE_BARE_ENTITY__6,RESOLVE_BARE_ENTITY__6,12,16.44,9.66,26.57
RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手头部1k,assistant_top,73,RESOLVE_BARE_ENTITY__1,RESOLVE_BARE_ENTITY__1,11,15.07,8.63,25.0
RESOLVE_BARE_ENTITY,解析裸非可报价名称,助手头部1k,assistant_top,73,RESOLVE_BARE_ENTITY__4,RESOLVE_BARE_ENTITY__4,2,2.74,0.75,9.45
COMPARISON_DECISION,比较两个金融对象并给出取舍,助手头部1k,assistant_top,12,COMPARISON_DECISION__1,COMPARISON_DECISION__1,12,100.0,75.75,100.0
PAGE_NAV,打开目标页面或获取官方应用入口,助手头部1k,assistant_top,30,PAGE_NAV__1,PAGE_NAV__1,29,96.67,83.33,99.41
PAGE_NAV,打开目标页面或获取官方应用入口,助手头部1k,assistant_top,30,PAGE_NAV__2,PAGE_NAV__2,1,3.33,0.59,16.67
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手头部1k,assistant_top,20,HOWTO_OPERATE__6,HOWTO_OPERATE__6,5,25.0,11.19,46.87
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手头部1k,assistant_top,20,HOWTO_OPERATE__5,HOWTO_OPERATE__5,5,25.0,11.19,46.87
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手头部1k,assistant_top,20,HOWTO_OPERATE__4,HOWTO_OPERATE__4,3,15.0,5.24,36.04
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手头部1k,assistant_top,20,HOWTO_OPERATE__2,HOWTO_OPERATE__2,3,15.0,5.24,36.04
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手头部1k,assistant_top,20,HOWTO_OPERATE__3,HOWTO_OPERATE__3,2,10.0,2.79,30.1
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手头部1k,assistant_top,20,HOWTO_OPERATE__1,HOWTO_OPERATE__1,2,10.0,2.79,30.1
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,助手头部1k,assistant_top,7,ENTITY_VERIFY__2,ENTITY_VERIFY__2,4,57.14,25.05,84.18
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,助手头部1k,assistant_top,7,ENTITY_VERIFY__1,ENTITY_VERIFY__1,3,42.86,15.82,74.95
DEBT_DISTRESS,处理逾期催收与还款困境,助手头部1k,assistant_top,3,DEBT_DISTRESS__1,DEBT_DISTRESS__1,3,100.0,43.85,100.0
STATUS_DECODE,解读粘贴的提示与界面状态,助手头部1k,assistant_top,3,STATUS_DECODE__1,STATUS_DECODE__1,3,100.0,43.85,100.0
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,助手头部1k,assistant_top,1,MARKET_MOVEMENT_EXPLAIN__1,MARKET_MOVEMENT_EXPLAIN__1,1,100.0,20.65,100.0
SEEK_CREDIT_WORKAROUND,寻找绕征信借款或评估征信修复,助手头部1k,assistant_top,1,SEEK_CREDIT_WORKAROUND__1,SEEK_CREDIT_WORKAROUND__1,1,100.0,20.65,100.0
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,助手随机1k,assistant_random,160,INVEST_ADVICE__2,INVEST_ADVICE__2,86,53.75,46.03,61.3
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,助手随机1k,assistant_random,160,INVEST_ADVICE__1,INVEST_ADVICE__1,57,35.62,28.62,43.3
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,助手随机1k,assistant_random,160,INVEST_ADVICE__4,INVEST_ADVICE__4,11,6.88,3.88,11.89
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,助手随机1k,assistant_random,160,INVEST_ADVICE__3,INVEST_ADVICE__3,6,3.75,1.73,7.94
QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手随机1k,assistant_random,79,QUOTE_LOOKUP__2,QUOTE_LOOKUP__2,41,51.9,41.05,62.57
QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手随机1k,assistant_random,79,QUOTE_LOOKUP__1,QUOTE_LOOKUP__1,35,44.3,33.87,55.27
QUOTE_LOOKUP,查询可报价品种实时行情与价格,助手随机1k,assistant_random,79,QUOTE_LOOKUP__3,QUOTE_LOOKUP__3,3,3.8,1.3,10.58
RATE_CALC,查询利率、费率、限额并试算利息/还款,助手随机1k,assistant_random,98,RATE_CALC__1,RATE_CALC__1,60,61.22,51.33,70.27
RATE_CALC,查询利率、费率、限额并试算利息/还款,助手随机1k,assistant_random,98,RATE_CALC__2,RATE_CALC__2,38,38.78,29.73,48.67
OTHER_INTENT,其他非金融意图或无明确意图,助手随机1k,assistant_random,100,OTHER_INTENT__4,OTHER_INTENT__4,50,50.0,40.38,59.62
OTHER_INTENT,其他非金融意图或无明确意图,助手随机1k,assistant_random,100,OTHER_INTENT__3,OTHER_INTENT__3,28,28.0,20.14,37.49
OTHER_INTENT,其他非金融意图或无明确意图,助手随机1k,assistant_random,100,OTHER_INTENT__1,OTHER_INTENT__1,12,12.0,7.0,19.81
OTHER_INTENT,其他非金融意图或无明确意图,助手随机1k,assistant_random,100,OTHER_INTENT__5,OTHER_INTENT__5,9,9.0,4.81,16.23
OTHER_INTENT,其他非金融意图或无明确意图,助手随机1k,assistant_random,100,OTHER_INTENT__2,OTHER_INTENT__2,1,1.0,0.18,5.45
FX_CONVERT,查询汇率并换算外币金额,助手随机1k,assistant_random,22,FX_CONVERT__2,FX_CONVERT__2,13,59.09,38.73,76.74
FX_CONVERT,查询汇率并换算外币金额,助手随机1k,assistant_random,22,FX_CONVERT__1,FX_CONVERT__1,9,40.91,23.26,61.27
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,助手随机1k,assistant_random,76,VERDICT_QUESTION__2,VERDICT_QUESTION__2,41,53.95,42.82,64.69
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,助手随机1k,assistant_random,76,VERDICT_QUESTION__1,VERDICT_QUESTION__1,35,46.05,35.31,57.18
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手随机1k,assistant_random,79,NEWS_EVENT__1,NEWS_EVENT__1,27,34.18,24.67,45.15
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手随机1k,assistant_random,79,NEWS_EVENT__5,NEWS_EVENT__5,26,32.91,23.55,43.85
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手随机1k,assistant_random,79,NEWS_EVENT__4,NEWS_EVENT__4,14,17.72,10.86,27.58
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手随机1k,assistant_random,79,NEWS_EVENT__2,NEWS_EVENT__2,6,7.59,3.53,15.6
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,助手随机1k,assistant_random,79,NEWS_EVENT__3,NEWS_EVENT__3,6,7.59,3.53,15.6
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手随机1k,assistant_random,139,CONCEPT_EXPLAIN__2,CONCEPT_EXPLAIN__2,83,59.71,51.4,67.5
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手随机1k,assistant_random,139,CONCEPT_EXPLAIN__3,CONCEPT_EXPLAIN__3,47,33.81,26.48,42.02
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,助手随机1k,assistant_random,139,CONCEPT_EXPLAIN__1,CONCEPT_EXPLAIN__1,9,6.47,3.44,11.85
MARKET_MOVEMENT_EXPLAIN,解释已发生市场现象的原因,助手随机1k,assistant_random,27,MARKET_MOVEMENT_EXPLAIN__1,MARKET_MOVEMENT_EXPLAIN__1,27,100.0,87.54,100.0
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手随机1k,assistant_random,83,HOWTO_OPERATE__5,HOWTO_OPERATE__5,22,26.51,18.2,36.89
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手随机1k,assistant_random,83,HOWTO_OPERATE__6,HOWTO_OPERATE__6,18,21.69,14.18,31.7
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手随机1k,assistant_random,83,HOWTO_OPERATE__1,HOWTO_OPERATE__1,18,21.69,14.18,31.7
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手随机1k,assistant_random,83,HOWTO_OPERATE__2,HOWTO_OPERATE__2,10,12.05,6.68,20.78
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手随机1k,assistant_random,83,HOWTO_OPERATE__4,HOWTO_OPERATE__4,9,10.84,5.81,19.34
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,助手随机1k,assistant_random,83,HOWTO_OPERATE__3,HOWTO_OPERATE__3,6,7.23,3.35,14.89
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,助手随机1k,assistant_random,34,CONTACT_BRANCH_LOOKUP__3,CONTACT_BRANCH_LOOKUP__3,17,50.0,34.07,65.93
