key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,助手语音1k_排名,主导意图,主导意图占比%,家族内部一致,家族审计意见
42,借款平台正规性查询,用户查询指定借款平台是否正规可靠，或寻找正规易通过的借款平台。,142,0.619,94,0.94,0.769,1.149,0.449,29,0.29,0.202,0.416,0.071,9,0.947,0.499,1.791,0.648,6,0.608,0.279,1.32,0.604,4,0.4,0.156,1.024,0.4,29.51,1.5185,1.4757,9.1,0.4684,0.4552,29.74,1.5301,1.487,19.08,0.9818,0.9542,12.56,0.646,0.6278,5,,,助手头部1k,2026搜索,0.657,3.27,27,52,33,28,34,核实金融平台真伪与合法性,84.5,是,
39,加密货币交易所App官方下载地址查询,用户查询某个数字货币/加密货币交易所的官方App下载安装地址，以获得官方正版的下载链接或安装包。,136,0.593,90,0.9,0.733,1.105,0.446,32,0.32,0.227,0.451,0.121,9,0.947,0.499,1.791,1.33,4,0.405,0.158,1.037,0.345,1,0.1,0.018,0.564,0.1,33.68,1.518,1.6839,11.97,0.5397,0.5987,35.44,1.5976,1.7722,15.16,0.6834,0.7581,3.74,0.1686,0.1871,5,,,助手头部1k,助手语音1k,0.847,9.47,31,51,33,35,43,查找官方渠道与客服入口,55.1,是,
48,查询农业银行及农村金融机构信息,用户针对农业银行、农村商业银行或农村信用社，查询其官方入口、网点营业时间、招聘、账户余额规则、存款产品或业务办理等具体信息。,131,0.571,48,0.48,0.362,0.636,0.453,19,0.19,0.122,0.297,0.176,28,2.947,2.047,4.227,4.57,14,1.418,0.847,2.367,1.209,22,2.2,1.457,3.309,2.2,6.63,0.8405,0.3317,2.63,0.3327,0.1313,40.73,5.1599,2.0366,19.6,2.4832,0.9801,30.4,3.8515,1.5202,5,,,助手头部1k,2026搜索,2.757,15.51,52,55,10,16,15,查找官方渠道与客服入口,40.5,是,
64,银行客服短号查询,用户查询以95开头的银行或机构客服短号码，希望识别该号码对应的银行或机构，或了解该号码主动来电的原因。,128,0.558,62,0.62,0.484,0.794,0.552,60,0.6,0.466,0.772,0.261,5,0.526,0.225,1.226,0.469,1,0.101,0.018,0.572,0.086,0,0.0,0.0,0.383,0.0,33.56,1.1111,1.678,32.47,1.0751,1.6237,28.48,0.943,1.4242,5.48,0.1815,0.2742,0.0,0.0,0.0,4,助手语音1k,,2025搜索,助手语音1k,0.62,inf,43,35,40,49,50,识别陌生电话号码归属,49.2,是,
55,黄金价格查询,用户查询黄金（现货、国际、实物或今日）的最新价格及行情走势。,126,0.549,51,0.51,0.388,0.67,3.128,54,0.54,0.414,0.704,3.798,15,1.579,0.959,2.589,3.705,3,0.304,0.103,0.89,0.259,3,0.3,0.102,0.878,0.3,15.78,0.9285,0.7889,16.7,0.983,0.8352,48.84,2.8739,2.4419,9.4,0.5532,0.4701,9.28,0.546,0.464,5,,,助手头部1k,助手语音1k,1.279,5.26,51,39,19,41,36,查询金融资产实时行情,81.7,是,
80,银行股票信息查询,用户查询某家银行股票或银行股相关词时，希望获得该银行股票的最新价格、行情、资讯或相关股吧讨论内容。,121,0.528,61,0.61,0.475,0.783,0.767,52,0.52,0.397,0.681,0.452,5,0.526,0.225,1.226,0.227,2,0.203,0.056,0.736,0.259,1,0.1,0.018,0.564,0.1,31.14,1.1564,1.5571,26.55,0.9857,1.3273,26.86,0.9976,1.3432,10.34,0.3841,0.5172,5.1,0.1895,0.2552,5,,,2025搜索,助手语音1k,0.51,6.1,44,42,40,44,43,查询金融资产实时行情,90.9,是,
4,国际原油价格行情查询,用户查询国际原油、布伦特原油或WTI原油的当前价格、实时行情或走势图。,120,0.523,60,0.6,0.467,0.772,0.415,56,0.56,0.432,0.727,0.312,3,0.316,0.107,0.924,0.148,0,0.0,0.0,0.388,0.0,1,0.1,0.018,0.564,0.1,38.08,1.1469,1.904,35.54,1.0704,1.7769,20.04,0.6035,1.0019,0.0,0.0,0.0,6.35,0.1911,0.3173,4,助手随机1k,,2025搜索,助手随机1k,0.6,inf,46,37,44,53,43,查询金融资产实时行情,72.5,是,
59,白银价格行情查询,用户希望获取白银或银价的最新价格、走势图、实时行情或未来价格预测等市场信息，得到相关白银行情数据后即可满足。,94,0.41,26,0.26,0.178,0.381,0.396,52,0.52,0.397,0.681,1.094,11,1.158,0.648,2.061,1.176,4,0.405,0.158,1.037,0.432,1,0.1,0.018,0.564,0.1,10.64,0.6345,0.5322,21.29,1.2688,1.0643,47.39,2.825,2.3696,16.59,0.9888,0.8294,4.09,0.244,0.2046,5,,,助手头部1k,助手语音1k,1.058,11.58,55,42,28,35,43,查询金融资产实时行情,70.2,是,
58,ST股票信息查询,用户输入ST股票名称或代码后，获取该股票对应的行情或基本资料即满足。,88,0.384,38,0.38,0.277,0.521,0.135,40,0.4,0.294,0.544,0.108,0,0.0,0.0,0.403,0.0,7,0.709,0.344,1.457,0.691,3,0.3,0.102,0.878,0.3,21.24,0.9905,1.0621,22.36,1.0426,1.1178,0.0,0.0,0.0,39.64,1.8483,1.9818,16.77,0.7818,0.8383,4,助手头部1k,,助手随机1k,助手头部1k,0.709,inf,53,48,51,24,36,查询金融资产实时行情,75.0,是,
62,金属行情报价查询,用户需要查询有色金属、贵金属等金属品种的市场行情、现货报价或相关行情网站入口，获得可查看的最新价格行情或网站入口后即满足。,85,0.371,38,0.38,0.277,0.521,0.411,41,0.41,0.302,0.556,0.383,6,0.632,0.29,1.371,0.898,0,0.0,0.0,0.388,0.0,0,0.0,0.0,0.383,0.0,26.73,1.0255,1.3367,28.84,1.1063,1.4421,44.42,1.7041,2.2212,0.0,0.0,0.0,0.0,0.0,0.0,3,助手随机1k / 助手语音1k,,助手头部1k,助手随机1k,0.632,inf,53,47,37,53,50,查询金融资产实时行情,56.5,是,
